Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR031854	(1, 45.2658)	(2, 42.5226)	(3, 42.7314)	(4, 44.417699999999996)	(5, 43.6915)	(6, 45.655699999999996)	(7, 44.3844)	(8, 43.478699999999996)	(9, 44.149)	(10, 44.4167)	(11, 44.017)	(12, 44.2778)	(13, 44.107600000000005)	(14, 43.8522)	(15, 44.1721)	(16, 44.3048)	(17, 44.1657)	(18, 44.492)	(19, 44.4718)	(20, 44.390800000000006)	(21, 44.6884)	(22, 44.663000000000004)	(23, 44.5587)	(24, 44.7687)	(25, 44.8228)	(26, 44.6631)	(27, 44.9192)	(28, 44.959700000000005)	(29, 44.8882)	(30, 45.0737)	(31, 44.967600000000004)	(32, 44.8964)	(33, 45.1434)	(34, 45.0194)	(35, 44.9664)	(36, 45.1873)	(37, 45.1327)	(38, 45.0722)	(39, 45.3086)	(40, 45.2889)	(41, 45.197199999999995)	(42, 45.3393)	(43, 45.2994)	(44, 45.238299999999995)	(45, 45.411699999999996)	(46, 45.4288)	(47, 45.342)	(48, 45.506099999999996)	(49, 45.479)	(50, 45.4397)	(51, 45.604)	(52, 45.540000000000006)	(53, 45.5128)	(54, 45.6276)	(55, 45.6152)	(56, 45.6488)	(57, 45.759100000000004)	(58, 45.731899999999996)	(59, 45.600699999999996)	(60, 45.7752)	(61, 45.771)	(62, 45.7335)	(63, 45.8631)	(64, 45.8685)	(65, 45.800999999999995)	(66, 45.9704)	(67, 45.9421)	(68, 45.8772)	(69, 46.0471)	(70, 46.0163)	(71, 45.9786)	(72, 46.133)	(73, 46.122600000000006)	(74, 46.0606)	(75, 46.2784)	(76, 45.9854)	(77, 45.9994)	(78, 46.1465)	(79, 46.1661)	(80, 46.0761)	(81, 46.2434)	(82, 46.202799999999996)	(83, 46.1491)	(84, 46.3239)	(85, 46.291399999999996)	(86, 46.239999999999995)	(87, 46.3538)	(88, 46.352399999999996)	(89, 46.3417)	(90, 46.5014)											
ERR031893	(1, 41.6375)	(2, 42.3738)	(3, 43.1084)	(4, 43.4691)	(5, 43.297200000000004)	(6, 44.9856)	(7, 43.9016)	(8, 43.533100000000005)	(9, 43.8069)	(10, 43.8764)	(11, 43.6703)	(12, 43.8466)	(13, 43.665)	(14, 43.6172)	(15, 43.8618)	(16, 43.9786)	(17, 43.910700000000006)	(18, 44.2607)	(19, 44.2198)	(20, 44.1812)	(21, 44.4771)	(22, 44.4422)	(23, 44.4445)	(24, 44.5811)	(25, 44.6393)	(26, 44.5389)	(27, 44.754599999999996)	(28, 44.783699999999996)	(29, 44.7579)	(30, 44.9038)	(31, 44.81)	(32, 44.8088)	(33, 45.0446)	(34, 44.9146)	(35, 44.9482)	(36, 45.124900000000004)	(37, 45.0373)	(38, 45.0314)	(39, 45.230199999999996)	(40, 45.2101)	(41, 45.1858)	(42, 45.2828)	(43, 45.2363)	(44, 45.273)	(45, 45.3777)	(46, 45.391999999999996)	(47, 45.3926)	(48, 45.5151)	(49, 45.4308)	(50, 45.467200000000005)	(51, 45.6062)	(52, 45.515)	(53, 45.5437)	(54, 45.6303)	(55, 45.5983)	(56, 45.6447)	(57, 45.757)	(58, 45.732)	(59, 45.6748)	(60, 45.811600000000006)	(61, 45.7968)	(62, 45.819700000000005)	(63, 45.9136)	(64, 45.9106)	(65, 45.887499999999996)	(66, 46.0336)	(67, 45.995000000000005)	(68, 45.9698)	(69, 46.131299999999996)	(70, 46.113)	(71, 46.130500000000005)	(72, 46.2519)	(73, 46.2333)	(74, 46.2346)	(75, 46.415800000000004)	(76, 46.178200000000004)	(77, 46.229)	(78, 46.3709)	(79, 46.3363)	(80, 46.3596)	(81, 46.469899999999996)	(82, 46.469)	(83, 46.4822)	(84, 46.613)	(85, 46.6097)	(86, 46.610099999999996)	(87, 46.7494)	(88, 46.7401)	(89, 46.7951)	(90, 46.9044)											
ERR031925	(1, 42.0898)	(2, 43.2087)	(3, 43.7843)	(4, 43.9215)	(5, 43.8992)	(6, 45.913199999999996)	(7, 44.4586)	(8, 44.2066)	(9, 44.6509)	(10, 44.482)	(11, 44.1307)	(12, 44.3095)	(13, 44.1543)	(14, 44.1302)	(15, 44.4635)	(16, 44.5466)	(17, 44.4562)	(18, 44.8164)	(19, 44.743100000000005)	(20, 44.7314)	(21, 45.022600000000004)	(22, 44.9475)	(23, 44.9355)	(24, 45.117200000000004)	(25, 45.1318)	(26, 45.0708)	(27, 45.286)	(28, 45.2564)	(29, 45.2264)	(30, 45.406)	(31, 45.3116)	(32, 45.3044)	(33, 45.5212)	(34, 45.3955)	(35, 45.4306)	(36, 45.612)	(37, 45.500099999999996)	(38, 45.5098)	(39, 45.710699999999996)	(40, 45.6378)	(41, 45.6243)	(42, 45.744099999999996)	(43, 45.7)	(44, 45.726099999999995)	(45, 45.8619)	(46, 45.8142)	(47, 45.8121)	(48, 45.9638)	(49, 45.8748)	(50, 45.9052)	(51, 46.027499999999996)	(52, 45.9499)	(53, 45.967)	(54, 46.0685)	(55, 46.0553)	(56, 46.1045)	(57, 46.2161)	(58, 46.1743)	(59, 46.143699999999995)	(60, 46.287800000000004)	(61, 46.254400000000004)	(62, 46.2627)	(63, 46.3825)	(64, 46.381699999999995)	(65, 46.3443)	(66, 46.5107)	(67, 46.4628)	(68, 46.4581)	(69, 46.617799999999995)	(70, 46.582)	(71, 46.6194)	(72, 46.719500000000004)	(73, 46.687400000000004)	(74, 46.705200000000005)	(75, 46.8878)	(76, 46.6503)	(77, 46.701)	(78, 46.8465)	(79, 46.8163)	(80, 46.8399)	(81, 46.9644)	(82, 46.9567)	(83, 46.9735)	(84, 47.1581)	(85, 47.1117)	(86, 47.1261)	(87, 47.266799999999996)	(88, 47.2822)	(89, 47.267900000000004)	(90, 47.4554)											
ERR031976	(1, 43.1239)	(2, 43.1975)	(3, 44.0587)	(4, 44.2202)	(5, 44.1132)	(6, 45.4591)	(7, 44.641799999999996)	(8, 44.2631)	(9, 44.4501)	(10, 44.5242)	(11, 44.3892)	(12, 44.573499999999996)	(13, 44.4231)	(14, 44.369)	(15, 44.5859)	(16, 44.658300000000004)	(17, 44.6169)	(18, 44.921)	(19, 44.8543)	(20, 44.8952)	(21, 45.1197)	(22, 45.0984)	(23, 45.1098)	(24, 45.266400000000004)	(25, 45.2752)	(26, 45.257799999999996)	(27, 45.4621)	(28, 45.434999999999995)	(29, 45.4151)	(30, 45.5732)	(31, 45.5258)	(32, 45.5231)	(33, 45.7128)	(34, 45.6334)	(35, 45.6428)	(36, 45.806200000000004)	(37, 45.7579)	(38, 45.7608)	(39, 45.933600000000006)	(40, 45.913399999999996)	(41, 45.866800000000005)	(42, 45.9899)	(43, 45.9651)	(44, 45.9662)	(45, 46.1021)	(46, 46.0696)	(47, 46.0663)	(48, 46.2154)	(49, 46.1299)	(50, 46.149499999999996)	(51, 46.2625)	(52, 46.2306)	(53, 46.2241)	(54, 46.3255)	(55, 46.3161)	(56, 46.328599999999994)	(57, 46.4578)	(58, 46.4715)	(59, 46.3709)	(60, 46.486)	(61, 46.4672)	(62, 46.508500000000005)	(63, 46.6107)	(64, 46.5883)	(65, 46.5476)	(66, 46.6919)	(67, 46.6825)	(68, 46.6648)	(69, 46.8222)	(70, 46.785900000000005)	(71, 46.8809)	(72, 47.0252)	(73, 46.9618)	(74, 46.9724)	(75, 47.1184)	(76, 46.9675)	(77, 47.025299999999994)	(78, 47.1143)	(79, 47.1393)	(80, 47.1239)	(81, 47.235)	(82, 47.2337)	(83, 47.2121)	(84, 47.355000000000004)	(85, 47.3634)	(86, 47.377)	(87, 47.5441)	(88, 47.5357)	(89, 47.5715)	(90, 47.7254)											
ERR031982	(1, 43.1578)	(2, 43.2455)	(3, 44.020900000000005)	(4, 44.255)	(5, 44.1678)	(6, 45.4666)	(7, 44.678200000000004)	(8, 44.278800000000004)	(9, 44.4454)	(10, 44.4889)	(11, 44.4013)	(12, 44.5396)	(13, 44.4161)	(14, 44.3462)	(15, 44.5641)	(16, 44.6447)	(17, 44.5925)	(18, 44.9099)	(19, 44.8452)	(20, 44.8621)	(21, 45.1089)	(22, 45.0689)	(23, 45.0951)	(24, 45.2359)	(25, 45.2576)	(26, 45.2159)	(27, 45.4181)	(28, 45.408300000000004)	(29, 45.3971)	(30, 45.5499)	(31, 45.4971)	(32, 45.4839)	(33, 45.6719)	(34, 45.5956)	(35, 45.6145)	(36, 45.7676)	(37, 45.712199999999996)	(38, 45.7325)	(39, 45.868700000000004)	(40, 45.858900000000006)	(41, 45.8361)	(42, 45.9512)	(43, 45.915099999999995)	(44, 45.933099999999996)	(45, 46.0526)	(46, 46.0403)	(47, 46.0248)	(48, 46.157199999999996)	(49, 46.1021)	(50, 46.108399999999996)	(51, 46.2337)	(52, 46.1878)	(53, 46.1826)	(54, 46.282000000000004)	(55, 46.262100000000004)	(56, 46.2896)	(57, 46.402100000000004)	(58, 46.3782)	(59, 46.3455)	(60, 46.4655)	(61, 46.4609)	(62, 46.469300000000004)	(63, 46.5555)	(64, 46.5581)	(65, 46.531099999999995)	(66, 46.6636)	(67, 46.6213)	(68, 46.631699999999995)	(69, 46.7447)	(70, 46.7572)	(71, 46.862300000000005)	(72, 46.9508)	(73, 46.9183)	(74, 46.929500000000004)	(75, 47.072399999999995)	(76, 46.9458)	(77, 46.9638)	(78, 47.0672)	(79, 47.064099999999996)	(80, 47.0622)	(81, 47.1738)	(82, 47.1644)	(83, 47.1685)	(84, 47.335300000000004)	(85, 47.3285)	(86, 47.3612)	(87, 47.4644)	(88, 47.4934)	(89, 47.519600000000004)	(90, 47.6918)											
ERR034521	(1, 40.2409)	(2, 41.1913)	(3, 42.803000000000004)	(4, 42.8613)	(5, 42.5877)	(6, 43.393100000000004)	(7, 43.2621)	(8, 42.711)	(9, 42.8547)	(10, 43.312)	(11, 43.2182)	(12, 43.3103)	(13, 43.1463)	(14, 43.186)	(15, 43.339)	(16, 43.3435)	(17, 43.473600000000005)	(18, 43.6663)	(19, 43.668)	(20, 43.759100000000004)	(21, 43.9038)	(22, 43.912099999999995)	(23, 43.977199999999996)	(24, 44.1387)	(25, 44.1511)	(26, 44.1712)	(27, 44.3604)	(28, 44.299699999999994)	(29, 44.3525)	(30, 44.4578)	(31, 44.4415)	(32, 44.4767)	(33, 44.583099999999995)	(34, 44.5334)	(35, 44.6288)	(36, 44.6779)	(37, 44.6413)	(38, 44.9144)	(39, 44.834)	(40, 44.751400000000004)	(41, 44.772400000000005)	(42, 44.8864)	(43, 44.8899)	(44, 44.8667)	(45, 44.9636)	(46, 44.965500000000006)	(47, 44.9557)	(48, 45.0512)	(49, 45.0304)	(50, 45.0181)	(51, 45.111200000000004)	(52, 45.095600000000005)	(53, 45.0857)	(54, 45.2149)	(55, 45.1897)	(56, 45.169599999999996)	(57, 45.2553)	(58, 45.2334)	(59, 45.236900000000006)	(60, 45.3202)	(61, 45.2904)	(62, 45.313199999999995)	(63, 45.380900000000004)	(64, 45.3504)	(65, 45.3671)	(66, 45.4439)	(67, 45.4364)	(68, 45.4374)	(69, 45.5259)	(70, 45.4868)	(71, 45.5262)	(72, 45.5833)	(73, 45.5434)	(74, 45.550200000000004)	(75, 45.6712)	(76, 45.5187)	(77, 45.5812)	(78, 45.6436)	(79, 45.6339)	(80, 45.629)	(81, 45.710499999999996)	(82, 45.720499999999994)	(83, 45.6837)	(84, 45.7986)	(85, 45.7389)	(86, 45.7631)	(87, 45.8328)	(88, 45.8253)	(89, 45.853100000000005)	(90, 45.9046)											
ERR034553	(1, 39.7773)	(2, 40.597100000000005)	(3, 42.235299999999995)	(4, 42.356899999999996)	(5, 42.1235)	(6, 42.8753)	(7, 42.790299999999995)	(8, 42.208800000000004)	(9, 42.376000000000005)	(10, 42.829)	(11, 42.7419)	(12, 42.831)	(13, 42.629)	(14, 42.702200000000005)	(15, 42.868)	(16, 42.8921)	(17, 43.0118)	(18, 43.2039)	(19, 43.2301)	(20, 43.3183)	(21, 43.4755)	(22, 43.511)	(23, 43.546)	(24, 43.7292)	(25, 43.7379)	(26, 43.7776)	(27, 43.9286)	(28, 43.9948)	(29, 43.94)	(30, 44.081900000000005)	(31, 44.0472)	(32, 44.0864)	(33, 44.2089)	(34, 44.169599999999996)	(35, 44.2184)	(36, 44.313599999999994)	(37, 44.2606)	(38, 44.288)	(39, 44.412600000000005)	(40, 44.363)	(41, 44.3951)	(42, 44.5)	(43, 44.473)	(44, 44.4772)	(45, 44.5971)	(46, 44.5635)	(47, 44.5778)	(48, 44.6749)	(49, 44.6443)	(50, 44.6419)	(51, 44.7258)	(52, 44.705600000000004)	(53, 44.7093)	(54, 44.8067)	(55, 44.7654)	(56, 44.7909)	(57, 44.8657)	(58, 44.8431)	(59, 44.8485)	(60, 44.9497)	(61, 44.9081)	(62, 44.922000000000004)	(63, 45.0034)	(64, 44.9681)	(65, 44.9791)	(66, 45.047399999999996)	(67, 45.040400000000005)	(68, 45.043299999999995)	(69, 45.1291)	(70, 45.1074)	(71, 45.1099)	(72, 45.2018)	(73, 45.1702)	(74, 45.1571)	(75, 45.2699)	(76, 45.1586)	(77, 45.1867)	(78, 45.2583)	(79, 45.229)	(80, 45.245999999999995)	(81, 45.3131)	(82, 45.2871)	(83, 45.286)	(84, 45.4319)	(85, 45.3382)	(86, 45.354299999999995)	(87, 45.423)	(88, 45.3907)	(89, 45.3996)	(90, 45.487300000000005)											
ERR034626	(1, 40.7087)	(2, 41.9069)	(3, 43.1968)	(4, 43.2089)	(5, 42.8138)	(6, 43.7794)	(7, 43.6059)	(8, 43.0501)	(9, 43.1636)	(10, 43.9098)	(11, 43.763000000000005)	(12, 43.7994)	(13, 43.5073)	(14, 43.5434)	(15, 43.6937)	(16, 43.7035)	(17, 43.8387)	(18, 44.0117)	(19, 44.0039)	(20, 44.1211)	(21, 44.2358)	(22, 44.271)	(23, 44.2834)	(24, 44.467800000000004)	(25, 44.446799999999996)	(26, 44.4905)	(27, 44.6453)	(28, 44.6191)	(29, 44.6603)	(30, 44.785199999999996)	(31, 44.7545)	(32, 44.79)	(33, 44.8702)	(34, 44.8226)	(35, 44.8836)	(36, 44.975)	(37, 44.940999999999995)	(38, 44.9974)	(39, 45.0635)	(40, 45.0513)	(41, 45.1173)	(42, 45.1527)	(43, 45.1365)	(44, 45.1985)	(45, 45.263799999999996)	(46, 45.2197)	(47, 45.2699)	(48, 45.3275)	(49, 45.2977)	(50, 45.318999999999996)	(51, 45.379799999999996)	(52, 45.3675)	(53, 45.3942)	(54, 45.4942)	(55, 45.444)	(56, 45.4495)	(57, 45.5599)	(58, 45.5054)	(59, 45.5278)	(60, 45.6196)	(61, 45.5789)	(62, 45.602900000000005)	(63, 45.657399999999996)	(64, 45.622099999999996)	(65, 45.6578)	(66, 45.717200000000005)	(67, 45.7199)	(68, 45.7395)	(69, 45.7916)	(70, 45.7714)	(71, 45.8047)	(72, 45.860099999999996)	(73, 45.867799999999995)	(74, 45.852399999999996)	(75, 45.9654)	(76, 45.7349)	(77, 45.8035)	(78, 45.884)	(79, 45.8545)	(80, 45.8575)	(81, 45.9308)	(82, 45.8844)	(83, 45.9363)	(84, 45.9704)	(85, 45.963300000000004)	(86, 45.957)	(87, 45.9933)	(88, 45.994299999999996)	(89, 46.011)	(90, 46.0816)											
ERR047840	(1, 43.2776)	(2, 43.8956)	(3, 44.0653)	(4, 44.2058)	(5, 44.455099999999995)	(6, 45.3311)	(7, 44.6915)	(8, 44.4774)	(9, 44.5816)	(10, 44.4894)	(11, 44.535599999999995)	(12, 44.6081)	(13, 44.4834)	(14, 44.4187)	(15, 44.6412)	(16, 44.631)	(17, 44.6618)	(18, 44.893699999999995)	(19, 44.8626)	(20, 44.9319)	(21, 45.0938)	(22, 45.0527)	(23, 45.0998)	(24, 45.2544)	(25, 45.2708)	(26, 45.2814)	(27, 45.4714)	(28, 45.407599999999995)	(29, 45.380199999999995)	(30, 45.5088)	(31, 45.4865)	(32, 45.495000000000005)	(33, 45.6203)	(34, 45.5925)	(35, 45.6104)	(36, 45.7286)	(37, 45.6834)	(38, 45.7121)	(39, 45.8271)	(40, 45.7916)	(41, 45.794000000000004)	(42, 45.9038)	(43, 45.8593)	(44, 45.8725)	(45, 45.9994)	(46, 45.9558)	(47, 45.9679)	(48, 46.084599999999995)	(49, 46.0453)	(50, 45.8424)	(51, 46.118900000000004)	(52, 46.1242)	(53, 46.1077)	(54, 46.2231)	(55, 46.1789)	(56, 46.1863)	(57, 46.2751)	(58, 46.258500000000005)	(59, 46.0976)	(60, 46.2146)	(61, 46.2897)	(62, 46.1865)	(63, 46.391799999999996)	(64, 46.3044)	(65, 46.2945)	(66, 46.448699999999995)	(67, 46.463)	(68, 46.480700000000006)	(69, 46.5698)	(70, 46.557700000000004)	(71, 46.558899999999994)	(72, 46.658699999999996)	(73, 46.6165)	(74, 46.612700000000004)	(75, 46.7619)	(76, 46.5171)	(77, 46.5708)	(78, 46.6746)	(79, 46.6383)	(80, 46.6496)	(81, 46.7432)	(82, 46.708800000000004)	(83, 46.6898)	(84, 46.8016)	(85, 46.7625)	(86, 46.764)	(87, 46.85)	(88, 46.821200000000005)	(89, 46.8491)	(90, 46.936099999999996)											
ERR050746	(1, 44.1041)	(2, 45.7513)	(3, 45.6401)	(4, 45.905499999999996)	(5, 45.8465)	(6, 46.909099999999995)	(7, 46.2592)	(8, 46.010400000000004)	(9, 46.1026)	(10, 46.1229)	(11, 46.158300000000004)	(12, 46.2916)	(13, 46.110099999999996)	(14, 46.0939)	(15, 46.2622)	(16, 46.2582)	(17, 46.318599999999996)	(18, 46.5092)	(19, 46.4788)	(20, 46.5539)	(21, 46.7138)	(22, 46.6926)	(23, 46.7223)	(24, 46.8715)	(25, 46.8399)	(26, 46.848299999999995)	(27, 46.9866)	(28, 46.9711)	(29, 46.961000000000006)	(30, 47.0812)	(31, 47.04)	(32, 47.0657)	(33, 47.2037)	(34, 47.1456)	(35, 47.178399999999996)	(36, 47.2806)	(37, 47.227999999999994)	(38, 47.2481)	(39, 47.361599999999996)	(40, 47.326800000000006)	(41, 47.3388)	(42, 47.4436)	(43, 47.4114)	(44, 47.4131)	(45, 47.5152)	(46, 47.4667)	(47, 47.477000000000004)	(48, 47.5737)	(49, 47.5336)	(50, 47.5464)	(51, 47.6345)	(52, 47.6074)	(53, 47.5964)	(54, 47.6946)	(55, 47.6494)	(56, 47.6701)	(57, 47.7358)	(58, 47.6885)	(59, 47.688199999999995)	(60, 47.7812)	(61, 47.7514)	(62, 47.7564)	(63, 47.8307)	(64, 47.778999999999996)	(65, 47.774)	(66, 47.8705)	(67, 47.8309)	(68, 47.831)	(69, 47.913)	(70, 47.8641)	(71, 47.8728)	(72, 47.9376)	(73, 47.900999999999996)	(74, 47.9014)	(75, 47.9832)	(76, 47.9731)	(77, 47.9122)	(78, 47.9769)	(79, 47.932399999999994)	(80, 47.941)	(81, 47.991499999999995)	(82, 47.9691)	(83, 47.9698)	(84, 48.0415)	(85, 47.9884)	(86, 47.9744)	(87, 48.0206)	(88, 48.001)	(89, 48.007)	(90, 48.075)											
