Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR031854	(1, 44.172200000000004)	(2, 42.1247)	(3, 42.9982)	(4, 44.593500000000006)	(5, 43.4771)	(6, 45.4094)	(7, 44.2744)	(8, 43.0226)	(9, 43.703399999999995)	(10, 43.9747)	(11, 43.7884)	(12, 43.986799999999995)	(13, 43.736799999999995)	(14, 43.332300000000004)	(15, 43.6564)	(16, 43.994299999999996)	(17, 43.6474)	(18, 44.092)	(19, 44.053799999999995)	(20, 43.8501)	(21, 44.3039)	(22, 44.254599999999996)	(23, 44.1214)	(24, 44.1869)	(25, 44.2924)	(26, 44.051899999999996)	(27, 44.2856)	(28, 44.443)	(29, 44.391000000000005)	(30, 44.5452)	(31, 44.318200000000004)	(32, 44.2293)	(33, 44.5158)	(34, 44.3143)	(35, 44.333)	(36, 44.5355)	(37, 44.4415)	(38, 44.3769)	(39, 44.628299999999996)	(40, 44.6011)	(41, 44.4766)	(42, 44.6045)	(43, 44.5512)	(44, 44.512)	(45, 44.6412)	(46, 44.6709)	(47, 44.5961)	(48, 44.7224)	(49, 44.6659)	(50, 44.6514)	(51, 44.7497)	(52, 44.6872)	(53, 44.6421)	(54, 44.7241)	(55, 44.7301)	(56, 44.7463)	(57, 44.8776)	(58, 44.8489)	(59, 44.6989)	(60, 44.8448)	(61, 44.839800000000004)	(62, 44.8204)	(63, 44.8972)	(64, 44.9224)	(65, 44.8211)	(66, 45.0165)	(67, 44.940400000000004)	(68, 44.8833)	(69, 45.0396)	(70, 45.0124)	(71, 44.9554)	(72, 45.0784)	(73, 45.061800000000005)	(74, 44.985)	(75, 45.1501)	(76, 45.111200000000004)	(77, 45.0583)	(78, 45.1931)	(79, 45.190599999999996)	(80, 45.12)	(81, 45.260400000000004)	(82, 45.218)	(83, 45.1646)	(84, 45.3069)	(85, 45.287)	(86, 45.2119)	(87, 45.3019)	(88, 45.3025)	(89, 45.268)	(90, 45.378299999999996)											
ERR031893	(1, 40.566)	(2, 41.5991)	(3, 43.079699999999995)	(4, 43.3473)	(5, 42.797000000000004)	(6, 44.495400000000004)	(7, 43.5366)	(8, 42.7521)	(9, 43.088100000000004)	(10, 43.1764)	(11, 43.113600000000005)	(12, 43.2535)	(13, 43.0347)	(14, 42.7973)	(15, 43.0558)	(16, 43.331900000000005)	(17, 43.1303)	(18, 43.5681)	(19, 43.5195)	(20, 43.3831)	(21, 43.7967)	(22, 43.7806)	(23, 43.7441)	(24, 43.7869)	(25, 43.8568)	(26, 43.7268)	(27, 43.8962)	(28, 44.019999999999996)	(29, 44.000699999999995)	(30, 44.1378)	(31, 43.926500000000004)	(32, 43.9037)	(33, 44.2087)	(34, 43.9899)	(35, 44.0632)	(36, 44.265)	(37, 44.128499999999995)	(38, 44.1302)	(39, 44.3678)	(40, 44.3309)	(41, 44.2907)	(42, 44.3578)	(43, 44.3063)	(44, 44.3575)	(45, 44.4302)	(46, 44.4837)	(47, 44.451499999999996)	(48, 44.5626)	(49, 44.4691)	(50, 44.5283)	(51, 44.631)	(52, 44.5137)	(53, 44.5717)	(54, 44.6191)	(55, 44.5993)	(56, 44.6969)	(57, 44.8027)	(58, 44.7657)	(59, 44.6649)	(60, 44.812400000000004)	(61, 44.798300000000005)	(62, 44.8553)	(63, 44.9005)	(64, 44.9319)	(65, 44.8594)	(66, 45.0779)	(67, 44.9697)	(68, 44.9808)	(69, 45.1034)	(70, 45.1011)	(71, 45.116099999999996)	(72, 45.2194)	(73, 45.1882)	(74, 45.1911)	(75, 45.324799999999996)	(76, 45.3031)	(77, 45.3228)	(78, 45.420500000000004)	(79, 45.425900000000006)	(80, 45.4296)	(81, 45.5333)	(82, 45.5389)	(83, 45.5325)	(84, 45.6883)	(85, 45.6748)	(86, 45.6863)	(87, 45.8159)	(88, 45.786100000000005)	(89, 45.8217)	(90, 45.974900000000005)											
ERR031925	(1, 41.152300000000004)	(2, 42.2994)	(3, 43.7359)	(4, 43.8726)	(5, 43.4176)	(6, 45.3321)	(7, 44.1608)	(8, 43.3613)	(9, 43.8427)	(10, 43.7126)	(11, 43.5894)	(12, 43.7273)	(13, 43.5252)	(14, 43.274699999999996)	(15, 43.5935)	(16, 43.8685)	(17, 43.6441)	(18, 44.1072)	(19, 44.0505)	(20, 43.8904)	(21, 44.3028)	(22, 44.2517)	(23, 44.2095)	(24, 44.2664)	(25, 44.3328)	(26, 44.1999)	(27, 44.3544)	(28, 44.454100000000004)	(29, 44.4264)	(30, 44.5878)	(31, 44.3668)	(32, 44.3297)	(33, 44.6524)	(34, 44.4535)	(35, 44.492399999999996)	(36, 44.7035)	(37, 44.5453)	(38, 44.553599999999996)	(39, 44.8193)	(40, 44.7326)	(41, 44.7022)	(42, 44.7847)	(43, 44.7245)	(44, 44.7729)	(45, 44.8806)	(46, 44.900800000000004)	(47, 44.8682)	(48, 45.0285)	(49, 44.893499999999996)	(50, 44.9499)	(51, 45.040200000000006)	(52, 44.917699999999996)	(53, 44.9509)	(54, 45.054300000000005)	(55, 45.0144)	(56, 45.1239)	(57, 45.2326)	(58, 45.1868)	(59, 45.0941)	(60, 45.2632)	(61, 45.2347)	(62, 45.294200000000004)	(63, 45.3861)	(64, 45.4133)	(65, 45.3491)	(66, 45.569700000000005)	(67, 45.4729)	(68, 45.4647)	(69, 45.6467)	(70, 45.6395)	(71, 45.647999999999996)	(72, 45.7819)	(73, 45.7668)	(74, 45.7688)	(75, 45.918)	(76, 45.908100000000005)	(77, 45.9252)	(78, 46.0601)	(79, 46.056200000000004)	(80, 46.0899)	(81, 46.2327)	(82, 46.213)	(83, 46.2149)	(84, 46.4101)	(85, 46.3908)	(86, 46.4099)	(87, 46.5542)	(88, 46.574)	(89, 46.6194)	(90, 46.7584)											
ERR031976	(1, 42.423899999999996)	(2, 42.7114)	(3, 44.2989)	(4, 44.515100000000004)	(5, 44.052400000000006)	(6, 45.4035)	(7, 44.722699999999996)	(8, 43.8985)	(9, 44.1575)	(10, 44.2266)	(11, 44.3146)	(12, 44.4624)	(13, 44.2517)	(14, 43.978699999999996)	(15, 44.2345)	(16, 44.4785)	(17, 44.2765)	(18, 44.6937)	(19, 44.6584)	(20, 44.507999999999996)	(21, 44.9133)	(22, 44.8951)	(23, 44.874700000000004)	(24, 44.874399999999994)	(25, 45.0004)	(26, 44.819700000000005)	(27, 45.015)	(28, 45.1802)	(29, 45.126)	(30, 45.266600000000004)	(31, 45.0623)	(32, 45.0124)	(33, 45.2955)	(34, 45.1208)	(35, 45.1673)	(36, 45.364599999999996)	(37, 45.2344)	(38, 45.252199999999995)	(39, 45.4447)	(40, 45.4235)	(41, 45.393499999999996)	(42, 45.452)	(43, 45.4044)	(44, 45.4339)	(45, 45.5092)	(46, 45.542500000000004)	(47, 45.5343)	(48, 45.7098)	(49, 45.5462)	(50, 45.5596)	(51, 45.7385)	(52, 45.5867)	(53, 45.5869)	(54, 45.6649)	(55, 45.6383)	(56, 45.7016)	(57, 45.8024)	(58, 45.7559)	(59, 45.6682)	(60, 45.8142)	(61, 45.7867)	(62, 45.805)	(63, 45.8722)	(64, 45.8842)	(65, 45.8202)	(66, 45.9783)	(67, 45.9104)	(68, 45.89)	(69, 46.0225)	(70, 46.0288)	(71, 46.0094)	(72, 46.1469)	(73, 46.0733)	(74, 46.0409)	(75, 46.1807)	(76, 46.1586)	(77, 46.153800000000004)	(78, 46.257999999999996)	(79, 46.2546)	(80, 46.238600000000005)	(81, 46.341)	(82, 46.3159)	(83, 46.3078)	(84, 46.431400000000004)	(85, 46.3914)	(86, 46.407199999999996)	(87, 46.514)	(88, 46.5182)	(89, 46.5494)	(90, 46.653099999999995)											
ERR031982	(1, 42.3665)	(2, 42.734100000000005)	(3, 44.202999999999996)	(4, 44.4979)	(5, 44.014900000000004)	(6, 45.3756)	(7, 44.670100000000005)	(8, 43.8908)	(9, 44.140499999999996)	(10, 44.1776)	(11, 44.2875)	(12, 44.3786)	(13, 44.1847)	(14, 43.9451)	(15, 44.185900000000004)	(16, 44.4313)	(17, 44.2393)	(18, 44.6463)	(19, 44.625)	(20, 44.4826)	(21, 44.873200000000004)	(22, 44.8556)	(23, 44.833099999999995)	(24, 44.8303)	(25, 44.9436)	(26, 44.798700000000004)	(27, 44.9826)	(28, 45.114)	(29, 45.071600000000004)	(30, 45.2057)	(31, 45.0258)	(32, 44.968)	(33, 45.236)	(34, 45.071099999999994)	(35, 45.129999999999995)	(36, 45.3148)	(37, 45.1894)	(38, 45.185199999999995)	(39, 45.3923)	(40, 45.3717)	(41, 45.3281)	(42, 45.3769)	(43, 45.3567)	(44, 45.3797)	(45, 45.4642)	(46, 45.495999999999995)	(47, 45.4688)	(48, 45.6525)	(49, 45.4826)	(50, 45.5102)	(51, 45.616299999999995)	(52, 45.5244)	(53, 45.5468)	(54, 45.595400000000005)	(55, 45.6057)	(56, 45.6501)	(57, 45.736900000000006)	(58, 45.7016)	(59, 45.622299999999996)	(60, 45.7285)	(61, 45.7395)	(62, 45.76)	(63, 45.8193)	(64, 45.8231)	(65, 45.7767)	(66, 46.2374)	(67, 45.8756)	(68, 45.8316)	(69, 45.9508)	(70, 45.9572)	(71, 45.9532)	(72, 46.0446)	(73, 46.0105)	(74, 45.9866)	(75, 46.1126)	(76, 46.083600000000004)	(77, 46.0674)	(78, 46.1726)	(79, 46.174)	(80, 46.1563)	(81, 46.2541)	(82, 46.239000000000004)	(83, 46.225500000000004)	(84, 46.3511)	(85, 46.3105)	(86, 46.3299)	(87, 46.4152)	(88, 46.4253)	(89, 46.4308)	(90, 46.5476)											
ERR034521	(1, 39.5198)	(2, 41.0002)	(3, 43.0791)	(4, 43.327799999999996)	(5, 42.2765)	(6, 43.4804)	(7, 43.1434)	(8, 42.3971)	(9, 42.584300000000006)	(10, 43.0178)	(11, 42.876599999999996)	(12, 42.9347)	(13, 42.734100000000005)	(14, 42.7765)	(15, 42.946200000000005)	(16, 42.9649)	(17, 43.0539)	(18, 43.267)	(19, 43.278800000000004)	(20, 43.3616)	(21, 43.505300000000005)	(22, 43.510799999999996)	(23, 43.5368)	(24, 43.7379)	(25, 43.6784)	(26, 43.739)	(27, 43.8866)	(28, 43.8433)	(29, 43.8624)	(30, 43.968)	(31, 43.9386)	(32, 43.9614)	(33, 44.095099999999995)	(34, 44.0361)	(35, 44.0717)	(36, 44.175)	(37, 44.1505)	(38, 44.1598)	(39, 44.264900000000004)	(40, 44.2125)	(41, 44.2147)	(42, 44.3552)	(43, 44.295899999999996)	(44, 44.3305)	(45, 44.4456)	(46, 44.3615)	(47, 44.3834)	(48, 44.486)	(49, 44.4276)	(50, 44.4405)	(51, 44.5002)	(52, 44.5052)	(53, 44.5156)	(54, 44.5756)	(55, 44.5445)	(56, 44.571600000000004)	(57, 44.636900000000004)	(58, 44.619)	(59, 44.6665)	(60, 44.7143)	(61, 44.6724)	(62, 44.752199999999995)	(63, 44.7849)	(64, 44.7273)	(65, 44.7528)	(66, 44.835300000000004)	(67, 44.8202)	(68, 44.8311)	(69, 44.91)	(70, 44.866499999999995)	(71, 44.8926)	(72, 44.9726)	(73, 44.9452)	(74, 44.957300000000004)	(75, 45.0132)	(76, 45.0064)	(77, 44.987500000000004)	(78, 45.0923)	(79, 45.0408)	(80, 45.075199999999995)	(81, 45.1352)	(82, 45.1255)	(83, 45.118399999999994)	(84, 45.2272)	(85, 45.1669)	(86, 45.1872)	(87, 45.2725)	(88, 45.2586)	(89, 45.2772)	(90, 45.3432)											
ERR034553	(1, 39.3642)	(2, 40.253499999999995)	(3, 42.5614)	(4, 42.782399999999996)	(5, 41.802299999999995)	(6, 42.9386)	(7, 42.6798)	(8, 41.8905)	(9, 42.0735)	(10, 42.507600000000004)	(11, 42.364200000000004)	(12, 42.4487)	(13, 42.2113)	(14, 42.288399999999996)	(15, 42.4548)	(16, 42.4885)	(17, 42.5645)	(18, 42.8161)	(19, 42.839)	(20, 42.8923)	(21, 43.052099999999996)	(22, 43.0757)	(23, 43.1246)	(24, 43.308099999999996)	(25, 43.261)	(26, 43.3056)	(27, 43.4669)	(28, 43.4093)	(29, 43.411100000000005)	(30, 43.5477)	(31, 43.5024)	(32, 43.5469)	(33, 43.6785)	(34, 43.6363)	(35, 43.6658)	(36, 43.796600000000005)	(37, 43.7023)	(38, 43.7359)	(39, 43.8537)	(40, 43.8129)	(41, 43.8092)	(42, 43.940400000000004)	(43, 43.8754)	(44, 43.898199999999996)	(45, 43.9919)	(46, 43.962)	(47, 43.9639)	(48, 44.0592)	(49, 44.0251)	(50, 44.0225)	(51, 44.1012)	(52, 44.083099999999995)	(53, 44.088899999999995)	(54, 44.188)	(55, 44.2124)	(56, 44.1689)	(57, 44.254599999999996)	(58, 44.2124)	(59, 44.2037)	(60, 44.3177)	(61, 44.2665)	(62, 44.301)	(63, 44.359300000000005)	(64, 44.3316)	(65, 44.323299999999996)	(66, 44.4299)	(67, 44.4041)	(68, 44.3962)	(69, 44.4865)	(70, 44.4516)	(71, 44.4654)	(72, 44.5369)	(73, 44.5331)	(74, 44.4977)	(75, 44.5909)	(76, 44.556400000000004)	(77, 44.5633)	(78, 44.6464)	(79, 44.6051)	(80, 44.600899999999996)	(81, 44.6964)	(82, 44.6675)	(83, 44.656800000000004)	(84, 44.752700000000004)	(85, 44.7034)	(86, 44.7129)	(87, 44.7826)	(88, 44.7616)	(89, 44.772600000000004)	(90, 44.8484)											
ERR034626	(1, 39.6635)	(2, 41.7478)	(3, 43.3902)	(4, 43.6824)	(5, 42.505900000000004)	(6, 43.8174)	(7, 43.4616)	(8, 42.743199999999995)	(9, 42.883300000000006)	(10, 43.5712)	(11, 43.3876)	(12, 43.391000000000005)	(13, 43.105199999999996)	(14, 43.100899999999996)	(15, 43.2781)	(16, 43.2763)	(17, 43.4359)	(18, 43.6369)	(19, 43.5907)	(20, 43.695299999999996)	(21, 43.803)	(22, 43.8086)	(23, 43.8703)	(24, 44.0486)	(25, 43.9922)	(26, 44.040600000000005)	(27, 44.2036)	(28, 44.1576)	(29, 44.1901)	(30, 44.3048)	(31, 44.2457)	(32, 44.277300000000004)	(33, 44.3913)	(34, 44.325399999999995)	(35, 44.393100000000004)	(36, 44.4851)	(37, 44.4255)	(38, 44.466899999999995)	(39, 44.5722)	(40, 44.5326)	(41, 44.5548)	(42, 44.6464)	(43, 44.5995)	(44, 44.640299999999996)	(45, 44.751000000000005)	(46, 44.675799999999995)	(47, 44.7487)	(48, 44.7872)	(49, 44.7599)	(50, 44.7802)	(51, 44.8037)	(52, 44.7644)	(53, 44.7965)	(54, 44.884299999999996)	(55, 44.8279)	(56, 44.8748)	(57, 44.9175)	(58, 44.8828)	(59, 44.8923)	(60, 45.0258)	(61, 44.9796)	(62, 45.001799999999996)	(63, 45.053)	(64, 45.008199999999995)	(65, 45.0262)	(66, 45.1036)	(67, 45.092)	(68, 45.127)	(69, 45.222)	(70, 45.1514)	(71, 45.1743)	(72, 45.2603)	(73, 45.1848)	(74, 45.2189)	(75, 45.293499999999995)	(76, 45.2486)	(77, 45.2824)	(78, 45.358599999999996)	(79, 45.311800000000005)	(80, 45.3547)	(81, 45.427)	(82, 45.3952)	(83, 45.3914)	(84, 45.4563)	(85, 45.441700000000004)	(86, 45.4563)	(87, 45.5287)	(88, 45.5187)	(89, 45.5916)	(90, 45.5857)											
ERR047840	(1, 42.5434)	(2, 43.5149)	(3, 44.2)	(4, 44.6525)	(5, 43.9642)	(6, 45.042100000000005)	(7, 44.4004)	(8, 43.8496)	(9, 44.0159)	(10, 43.9643)	(11, 44.0527)	(12, 44.0991)	(13, 43.9234)	(14, 43.7741)	(15, 44.0021)	(16, 44.1039)	(17, 44.0645)	(18, 44.3529)	(19, 44.3021)	(20, 44.304)	(21, 44.5504)	(22, 44.506499999999996)	(23, 44.5317)	(24, 44.6376)	(25, 44.5871)	(26, 44.5899)	(27, 44.7267)	(28, 44.7324)	(29, 44.7202)	(30, 44.856)	(31, 44.744)	(32, 44.7494)	(33, 44.903999999999996)	(34, 44.8481)	(35, 44.8806)	(36, 45.016600000000004)	(37, 44.958999999999996)	(38, 44.9803)	(39, 45.0892)	(40, 45.0438)	(41, 45.0251)	(42, 45.155)	(43, 45.1053)	(44, 45.110499999999995)	(45, 45.216899999999995)	(46, 45.1753)	(47, 45.1628)	(48, 45.3015)	(49, 45.242)	(50, 45.258900000000004)	(51, 45.3019)	(52, 45.3061)	(53, 45.294000000000004)	(54, 45.393699999999995)	(55, 45.3815)	(56, 45.3812)	(57, 45.482)	(58, 45.4522)	(59, 45.440599999999996)	(60, 45.5578)	(61, 45.5403)	(62, 45.5247)	(63, 45.6151)	(64, 45.5781)	(65, 45.5855)	(66, 45.7067)	(67, 45.6823)	(68, 45.6675)	(69, 45.7713)	(70, 45.7427)	(71, 45.739000000000004)	(72, 45.8437)	(73, 45.8106)	(74, 45.7908)	(75, 45.894800000000004)	(76, 45.8662)	(77, 45.853300000000004)	(78, 45.9453)	(79, 45.9233)	(80, 45.911)	(81, 46.0272)	(82, 45.9683)	(83, 45.9601)	(84, 46.0743)	(85, 46.0307)	(86, 46.0196)	(87, 46.1156)	(88, 46.0954)	(89, 46.1114)	(90, 46.197500000000005)											
ERR050746	(1, 43.6675)	(2, 45.596599999999995)	(3, 46.0817)	(4, 46.6005)	(5, 45.7824)	(6, 47.0245)	(7, 46.3456)	(8, 45.8305)	(9, 46.0118)	(10, 46.0565)	(11, 46.101)	(12, 46.220299999999995)	(13, 46.0156)	(14, 45.933800000000005)	(15, 46.1142)	(16, 46.1486)	(17, 46.1704)	(18, 46.4199)	(19, 46.3792)	(20, 46.3902)	(21, 46.585100000000004)	(22, 46.5674)	(23, 46.6016)	(24, 46.7253)	(25, 46.641)	(26, 46.6628)	(27, 46.8237)	(28, 46.7893)	(29, 46.7826)	(30, 46.9084)	(31, 46.8099)	(32, 46.829)	(33, 46.9803)	(34, 46.9097)	(35, 46.948)	(36, 47.0597)	(37, 46.9937)	(38, 47.0146)	(39, 47.1345)	(40, 47.0808)	(41, 47.0753)	(42, 47.1952)	(43, 47.1449)	(44, 47.146300000000004)	(45, 47.246700000000004)	(46, 47.1954)	(47, 47.2024)	(48, 47.3007)	(49, 47.2507)	(50, 47.2418)	(51, 47.3524)	(52, 47.311)	(53, 47.3005)	(54, 47.395700000000005)	(55, 47.3561)	(56, 47.3651)	(57, 47.432900000000004)	(58, 47.3915)	(59, 47.391)	(60, 47.4944)	(61, 47.4375)	(62, 47.4427)	(63, 47.526)	(64, 47.4671)	(65, 47.4788)	(66, 47.5699)	(67, 47.5209)	(68, 47.5152)	(69, 47.5973)	(70, 47.5673)	(71, 47.5659)	(72, 47.6442)	(73, 47.5893)	(74, 47.5941)	(75, 47.6718)	(76, 47.6289)	(77, 47.6189)	(78, 47.694199999999995)	(79, 47.6586)	(80, 47.6474)	(81, 47.714)	(82, 47.6782)	(83, 47.667300000000004)	(84, 47.746300000000005)	(85, 47.6841)	(86, 47.6808)	(87, 47.7365)	(88, 47.7147)	(89, 47.7074)	(90, 47.7909)											
