Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR031854	(1, 0.0)	(2, 7.13294e-06)	(3, 0.0)	(4, 0.0)	(5, 0.030634199999999997)	(6, 0.0012661)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00230751)	(16, 0.00788368)	(17, 0.0052231000000000005)	(18, 0.0)	(19, 0.0)	(20, 2.67485e-05)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.000649098)	(36, 5.34971e-05)	(37, 0.0)	(38, 0.0)	(39, 5.88468e-05)	(40, 1.42659e-05)	(41, 0.0)	(42, 0.000743609)	(43, 0.000256786)	(44, 0.00066158)	(45, 1.06994e-05)	(46, 0.0026712899999999998)	(47, 0.0)	(48, 1.6049100000000002e-05)	(49, 0.000258569)	(50, 0.000326332)	(51, 0.0)	(52, 0.000123043)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.000283534)	(71, 0.00045115799999999995)	(72, 3.56647e-06)	(73, 0.0)	(74, 3.56647e-06)	(75, 0.0)	(76, 0.0)	(77, 1.6049100000000002e-05)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)											
ERR031893	(1, 0.238311)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.000462102)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 8.512400000000001e-05)	(15, 0.000348603)	(16, 0.0)	(17, 6.08029e-05)	(18, 3.85085e-05)	(19, 0.00265303)	(20, 0.0011248500000000002)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000610056)	(28, 2.4321200000000004e-05)	(29, 0.00200041)	(30, 0.000383058)	(31, 0.0009647389999999999)	(32, 0.0016031700000000001)	(33, 0.00577627)	(34, 0.0076327899999999995)	(35, 0.0116904)	(36, 0.0013964399999999999)	(37, 0.00448725)	(38, 0.006268780000000001)	(39, 0.0181395)	(40, 0.0103547)	(41, 0.00932108)	(42, 0.0198501)	(43, 0.009090029999999999)	(44, 0.0106101)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 1.0133800000000001e-05)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.000125659)	(59, 0.0)	(60, 0.0026672199999999997)	(61, 0.0)	(62, 0.00104986)	(63, 8.10705e-06)	(64, 0.0)	(65, 0.000859347)	(66, 0.00416297)	(67, 0.000652618)	(68, 0.0)	(69, 0.00022902399999999998)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 1.62141e-05)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 4.05353e-06)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)											
ERR031925	(1, 0.086522)	(2, 0.0)	(3, 0.0)	(4, 0.32201199999999996)	(5, 0.00011168)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.006965829999999999)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.00255697)	(31, 0.0)	(32, 0.0011718100000000001)	(33, 2.00024e-05)	(34, 0.0037587799999999998)	(35, 0.0)	(36, 0.000508394)	(37, 8.33433e-06)	(38, 0.0031603799999999995)	(39, 0.007030840000000001)	(40, 0.0053223)	(41, 0.00412549)	(42, 0.00321372)	(43, 0.0)	(44, 0.005877370000000001)	(45, 0.0)	(46, 0.0124282)	(47, 0.014029999999999999)	(48, 0.00883106)	(49, 0.016337)	(50, 0.0254147)	(51, 0.0244546)	(52, 0.0189373)	(53, 0.016972)	(54, 0.0113647)	(55, 0.01358)	(56, 0.0158169)	(57, 0.011013)	(58, 0.0121831)	(59, 0.013516600000000002)	(60, 0.00849435)	(61, 0.0)	(62, 0.000626742)	(63, 0.007515900000000001)	(64, 0.00312371)	(65, 0.00238028)	(66, 0.00542065)	(67, 1.66687e-05)	(68, 0.0039004700000000005)	(69, 0.0041905)	(70, 0.00529563)	(71, 0.00494393)	(72, 0.014703399999999998)	(73, 0.008997739999999999)	(74, 0.0200074)	(75, 0.0188956)	(76, 0.0171954)	(77, 0.0174571)	(78, 0.0279533)	(79, 0.022849400000000002)	(80, 0.020964200000000002)	(81, 0.024643)	(82, 0.0157552)	(83, 0.0201157)	(84, 0.0172087)	(85, 0.0156002)	(86, 0.0138333)	(87, 0.00627075)	(88, 0.013955)	(89, 0.0110097)	(90, 0.00799596)											
ERR031976	(1, 0.12840600000000002)	(2, 0.079661)	(3, 0.0)	(4, 0.0600545)	(5, 0.0)	(6, 0.000366383)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.00171654)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 1.21453e-05)	(35, 4.4532799999999995e-05)	(36, 0.0)	(37, 0.00437028)	(38, 0.0)	(39, 5.8702299999999995e-05)	(40, 0.0036597799999999996)	(41, 0.010145399999999999)	(42, 0.0)	(43, 0.0)	(44, 0.00174488)	(45, 0.0011497599999999999)	(46, 0.0)	(47, 0.000524272)	(48, 0.00131372)	(49, 0.030883499999999998)	(50, 0.00191896)	(51, 0.00571436)	(52, 0.0032772099999999996)	(53, 0.000159913)	(54, 0.0)	(55, 0.0)	(56, 0.019556)	(57, 0.0)	(58, 0.0)	(59, 0.0316183)	(60, 0.0518503)	(61, 0.061194099999999994)	(62, 0.00159508)	(63, 0.0016639100000000002)	(64, 0.057481700000000004)	(65, 0.07995050000000001)	(66, 0.0963932)	(67, 0.011653400000000001)	(68, 0.0293997)	(69, 0.0428102)	(70, 0.0774486)	(71, 0.0691918)	(72, 1.21453e-05)	(73, 0.09598229999999999)	(74, 0.08258)	(75, 0.0475327)	(76, 0.09480419999999999)	(77, 0.000655846)	(78, 0.0221085)	(79, 0.00122263)	(80, 0.00147565)	(81, 0.0006194099999999999)	(82, 0.0006234589999999999)	(83, 0.08105369999999999)	(84, 0.09643979999999999)	(85, 0.11040100000000001)	(86, 0.0923023)	(87, 0.00218413)	(88, 0.0791084)	(89, 0.0827217)	(90, 0.07750320000000001)											
ERR031982	(1, 0.009328350000000001)	(2, 0.0112928)	(3, 0.0)	(4, 0.0786033)	(5, 0.0033189599999999997)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 2.07435e-06)	(17, 0.00222163)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.00020743499999999998)	(46, 0.00087745)	(47, 0.000657569)	(48, 0.000153502)	(49, 0.0009562749999999999)	(50, 0.000597413)	(51, 0.00103095)	(52, 0.000304929)	(53, 4.1487e-06)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 3.1115199999999996e-05)	(60, 1.24461e-05)	(61, 1.45204e-05)	(62, 4.1487e-06)	(63, 7.05279e-05)	(64, 0.000269665)	(65, 0.000568372)	(66, 0.00010786600000000001)	(67, 8.08996e-05)	(68, 0.0026987300000000003)	(69, 0.000555926)	(70, 0.00154124)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 6.84535e-05)	(78, 0.0006451229999999999)	(79, 0.00034849100000000004)	(80, 0.000628528)	(81, 0.000711502)	(82, 0.00043976199999999995)	(83, 1.45204e-05)	(84, 4.1487e-06)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.000118238)	(89, 0.0)	(90, 0.000410721)											
ERR034521	(1, 0.405097)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.000676755)	(7, 0.000628415)	(8, 0.0)	(9, 7.89547e-05)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.00148242)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.000275536)	(28, 0.0)	(29, 7.41208e-05)	(30, 0.000107959)	(31, 0.0)	(32, 6.12302e-05)	(33, 0.00040121899999999997)	(34, 0.000563962)	(35, 0.000591355)	(36, 3.22264e-05)	(37, 0.000617136)	(38, 0.000267479)	(39, 0.000422166)	(40, 0.00037704899999999996)	(41, 0.0008024379999999999)	(42, 0.000599411)	(43, 0.00035932499999999997)	(44, 0.000380272)	(45, 0.0)	(46, 0.0034724)	(47, 0.0008008259999999999)	(48, 0.000485008)	(49, 0.000594577)	(50, 0.00017885699999999999)	(51, 0.0)	(52, 0.0015307499999999998)	(53, 0.0015903700000000002)	(54, 0.0024621)	(55, 0.000214306)	(56, 0.00255878)	(57, 0.000454392)	(58, 0.000352879)	(59, 0.000655808)	(60, 0.00878331)	(61, 0.000555906)	(62, 0.000729928)	(63, 0.0009796829999999999)	(64, 0.00012246000000000002)	(65, 0.00022558500000000002)	(66, 0.00157426)	(67, 0.00188525)	(68, 0.00116015)	(69, 0.000199804)	(70, 0.00039799599999999996)	(71, 0.00037704899999999996)	(72, 0.00126489)	(73, 0.0022606799999999997)	(74, 0.00107475)	(75, 0.006395329999999999)	(76, 0.00148403)	(77, 0.000162743)	(78, 0.0123927)	(79, 0.00213983)	(80, 0.0007073699999999999)	(81, 0.00080566)	(82, 0.00126328)	(83, 1.77245e-05)	(84, 0.0)	(85, 0.0038655600000000005)	(86, 0.00340956)	(87, 0.000449559)	(88, 0.000747653)	(89, 0.000272313)	(90, 0.000552683)											
ERR034553	(1, 0.382378)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 7.30827e-06)	(17, 0.0)	(18, 0.000277714)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.00109478)	(24, 2.04632e-05)	(25, 9.06226e-05)	(26, 0.000162244)	(27, 0.002973)	(28, 0.000527657)	(29, 0.00011547099999999999)	(30, 0.000515964)	(31, 0.0005758919999999999)	(32, 0.0008521440000000001)	(33, 0.00053058)	(34, 0.00110793)	(35, 0.0011327800000000001)	(36, 1.4616500000000001e-05)	(37, 0.00124971)	(38, 0.0016019699999999999)	(39, 0.00131257)	(40, 0.00224364)	(41, 0.00292185)	(42, 0.00257251)	(43, 0.0031498599999999996)	(44, 0.0022641)	(45, 0.0023328)	(46, 0.00306801)	(47, 0.00304755)	(48, 0.00224949)	(49, 0.0035664399999999997)	(50, 0.0017992999999999998)	(51, 0.0038806900000000004)	(52, 0.00324633)	(53, 0.00213255)	(54, 0.00287215)	(55, 0.00290138)	(56, 0.00370968)	(57, 0.00512748)	(58, 0.00541835)	(59, 0.004475590000000001)	(60, 0.004313340000000001)	(61, 0.00438935)	(62, 0.00370676)	(63, 0.00530434)	(64, 0.006216419999999999)	(65, 0.00502517)	(66, 0.00593578)	(67, 0.004297260000000001)	(68, 0.0048819300000000005)	(69, 0.0032419499999999995)	(70, 0.00405317)	(71, 0.00535696)	(72, 0.004879)	(73, 0.00479715)	(74, 0.00499155)	(75, 0.0047167599999999995)	(76, 0.0042578)	(77, 0.00315863)	(78, 0.00312502)	(79, 0.00285461)	(80, 0.006048329999999999)	(81, 0.00278445)	(82, 0.0035766699999999997)	(83, 0.00170575)	(84, 0.00139149)	(85, 0.000714749)	(86, 0.0009223040000000001)	(87, 0.000817065)	(88, 0.00034056500000000003)	(89, 7.74677e-05)	(90, 0.000755675)											
ERR034626	(1, 0.0008227140000000001)	(2, 0.011061399999999999)	(3, 0.00034554)	(4, 0.172007)	(5, 0.00134308)	(6, 0.00539495)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 2.8794999999999998e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0009358369999999999)	(20, 2.05678e-06)	(21, 0.00041135700000000005)	(22, 0.0)	(23, 0.00021801900000000001)	(24, 0.0013801)	(25, 0.00661256)	(26, 0.0005018549999999999)	(27, 0.000643774)	(28, 0.00214111)	(29, 0.0008535659999999999)	(30, 0.00101194)	(31, 0.00128549)	(32, 0.000189224)	(33, 0.0487993)	(34, 0.0153909)	(35, 0.00891205)	(36, 0.013908)	(37, 0.0107919)	(38, 0.0161869)	(39, 0.012967999999999999)	(40, 0.0129166)	(41, 0.009181489999999999)	(42, 0.0167751)	(43, 0.0123654)	(44, 0.027523899999999997)	(45, 0.00913624)	(46, 0.0035541199999999996)	(47, 0.0)	(48, 4.9362799999999994e-05)	(49, 0.0216909)	(50, 2.8794999999999998e-05)	(51, 0.0343462)	(52, 0.005709629999999999)	(53, 0.00696839)	(54, 0.00685938)	(55, 0.00297617)	(56, 0.0292824)	(57, 0.00214111)	(58, 0.00144798)	(59, 0.000508026)	(60, 0.000600581)	(61, 6.17035e-05)	(62, 0.0)	(63, 0.000304404)	(64, 0.00031468800000000003)	(65, 0.00375569)	(66, 0.0438054)	(67, 0.0052448)	(68, 0.0056685)	(69, 0.00588652)	(70, 0.000765124)	(71, 0.00020156499999999999)	(72, 0.0072933600000000005)	(73, 0.00681618)	(74, 0.00392023)	(75, 0.00047717399999999997)	(76, 0.0516767)	(77, 0.0008535659999999999)	(78, 0.00299674)	(79, 0.0490399)	(80, 0.00336901)	(81, 0.0341776)	(82, 0.00213494)	(83, 0.00281162)	(84, 0.0217053)	(85, 0.0426104)	(86, 0.0031777299999999997)	(87, 0.00362817)	(88, 0.035039400000000005)	(89, 0.00393052)	(90, 0.0354651)											
ERR047840	(1, 0.025721499999999998)	(2, 4.6369700000000004e-05)	(3, 0.00021982699999999997)	(4, 0.49712999999999996)	(5, 0.00257266)	(6, 0.0148538)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00182388)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.000207805)	(38, 6.69785e-05)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.00044824100000000005)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.41387)	(51, 0.044138800000000006)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.351963)	(60, 0.316121)	(61, 0.0894678)	(62, 0.303445)	(63, 0.10947000000000001)	(64, 0.203223)	(65, 0.21001)	(66, 0.09086749999999999)	(67, 0.0460795)	(68, 0.00238546)	(69, 0.009912820000000001)	(70, 0.0)	(71, 0.00273066)	(72, 0.0016607199999999999)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 1.03044e-05)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 5.15219e-06)	(85, 0.0)	(86, 0.0)	(87, 0.000127087)	(88, 5.15219e-06)	(89, 9.789169999999998e-05)	(90, 0.000223262)											
ERR050746	(1, 0.349337)	(2, 0.00629709)	(3, 0.0)	(4, 0.326201)	(5, 0.0)	(6, 0.0)	(7, 1.61381e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0018074700000000003)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0039264)	(25, 0.0)	(26, 0.00862905)	(27, 0.0)	(28, 8.06906e-06)	(29, 0.000225934)	(30, 0.00613571)	(31, 0.00413458)	(32, 0.00025336799999999996)	(33, 0.0)	(34, 0.0038925099999999996)	(35, 1.61381e-05)	(36, 0.00253207)	(37, 0.00986361)	(38, 0.00319696)	(39, 4.68005e-05)	(40, 0.00442346)	(41, 0.00392963)	(42, 0.00397159)	(43, 0.00402323)	(44, 0.00039215599999999995)	(45, 0.0)	(46, 0.00229968)	(47, 0.0)	(48, 0.00165093)	(49, 0.000690711)	(50, 0.000363108)	(51, 5.9711000000000005e-05)	(52, 0.000521261)	(53, 0.0)	(54, 4.03453e-05)	(55, 1.12967e-05)	(56, 0.00025336799999999996)	(57, 0.0)	(58, 0.000182361)	(59, 0.00011942200000000001)	(60, 0.000193657)	(61, 0.0)	(62, 2.25934e-05)	(63, 0.000108125)	(64, 0.009231)	(65, 0.0)	(66, 0.0)	(67, 0.0023287299999999998)	(68, 0.0021350699999999998)	(69, 8.06906e-06)	(70, 0.0)	(71, 0.00406358)	(72, 0.0095586)	(73, 0.0035810499999999997)	(74, 0.0)	(75, 0.00285645)	(76, 0.0)	(77, 0.000219478)	(78, 0.000450253)	(79, 0.00039376999999999994)	(80, 0.00119261)	(81, 0.0036213900000000004)	(82, 0.00284192)	(83, 0.000275962)	(84, 4.51867e-05)	(85, 0.0188154)	(86, 0.00555797)	(87, 0.012269799999999999)	(88, 0.0021011800000000002)	(89, 9.03734e-05)	(90, 0.009694159999999999)											
