Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR031854	(1, 37.594)	(2, 37.3058)	(3, 37.2682)	(4, 37.2431)	(5, 37.2703)	(6, 37.3006)	(7, 37.2572)	(8, 37.2122)	(9, 37.1911)	(10, 37.1583)	(11, 37.1765)	(12, 37.1064)	(13, 37.0285)	(14, 37.0232)	(15, 36.9736)	(16, 36.8949)	(17, 36.8662)	(18, 36.8007)	(19, 36.7665)	(20, 36.7084)	(21, 36.7191)	(22, 36.6132)	(23, 36.5614)	(24, 36.514)	(25, 36.4381)	(26, 36.3863)	(27, 36.3365)	(28, 36.2182)	(29, 36.1925)	(30, 36.0929)	(31, 36.2904)	(32, 36.1727)	(33, 36.1472)	(34, 36.0613)	(35, 35.9791)	(36, 36.066)	(37, 35.9896)	(38, 35.9128)	(39, 35.8719)	(40, 35.7822)	(41, 35.8493)	(42, 35.6944)	(43, 35.6605)	(44, 35.6132)	(45, 35.4532)	(46, 35.2918)	(47, 35.135)	(48, 35.02)	(49, 34.9217)	(50, 34.8384)	(51, 35.7175)	(52, 35.6523)	(53, 35.5546)	(54, 35.5407)	(55, 35.4941)	(56, 35.9173)	(57, 35.781)	(58, 35.6652)	(59, 35.5133)	(60, 35.5008)	(61, 35.3373)	(62, 35.1794)	(63, 35.0655)	(64, 34.9293)	(65, 34.7874)	(66, 34.5916)	(67, 34.4024)	(68, 34.1927)	(69, 34.1241)	(70, 33.9672)	(71, 33.74)	(72, 33.5407)	(73, 33.3504)	(74, 33.1285)	(75, 32.914)	(76, 32.6103)	(77, 32.3422)	(78, 32.164)	(79, 31.9305)	(80, 31.6683)	(81, 31.2904)	(82, 30.9816)	(83, 30.6782)	(84, 30.4484)	(85, 30.0818)	(86, 29.6711)	(87, 29.3185)	(88, 28.9891)	(89, 28.6746)	(90, 28.3834)											
ERR031893	(1, 37.8955)	(2, 37.7147)	(3, 37.6583)	(4, 37.6257)	(5, 37.6154)	(6, 37.652)	(7, 37.5913)	(8, 37.5454)	(9, 37.5066)	(10, 37.4769)	(11, 37.4663)	(12, 37.3918)	(13, 37.3504)	(14, 37.2856)	(15, 37.256)	(16, 37.2205)	(17, 37.1443)	(18, 37.0892)	(19, 37.0474)	(20, 36.9805)	(21, 36.9379)	(22, 36.8146)	(23, 36.7567)	(24, 36.6751)	(25, 36.6129)	(26, 36.5658)	(27, 36.5881)	(28, 36.5261)	(29, 36.4755)	(30, 36.4267)	(31, 36.5714)	(32, 36.4455)	(33, 36.3733)	(34, 36.2814)	(35, 36.2061)	(36, 36.1821)	(37, 36.0545)	(38, 35.9544)	(39, 35.8847)	(40, 35.7653)	(41, 35.7427)	(42, 35.5937)	(43, 35.4594)	(44, 35.3461)	(45, 35.2778)	(46, 35.0133)	(47, 34.8728)	(48, 34.7143)	(49, 34.6018)	(50, 34.4919)	(51, 35.7134)	(52, 35.5669)	(53, 35.466)	(54, 35.389)	(55, 35.2826)	(56, 35.5658)	(57, 35.3812)	(58, 35.2259)	(59, 35.0685)	(60, 34.8604)	(61, 34.5934)	(62, 34.35)	(63, 34.1457)	(64, 33.9649)	(65, 33.7199)	(66, 33.4023)	(67, 33.1128)	(68, 32.9229)	(69, 32.6818)	(70, 32.3975)	(71, 31.9697)	(72, 31.6425)	(73, 31.3764)	(74, 31.0805)	(75, 30.7338)	(76, 30.2074)	(77, 29.8618)	(78, 29.5296)	(79, 29.2241)	(80, 28.8034)	(81, 28.2345)	(82, 27.8145)	(83, 27.4721)	(84, 27.0012)	(85, 26.5801)	(86, 25.9644)	(87, 25.5028)	(88, 25.1002)	(89, 24.6496)	(90, 24.2999)											
ERR031925	(1, 37.7828)	(2, 37.5364)	(3, 37.4729)	(4, 37.4236)	(5, 37.3893)	(6, 37.4163)	(7, 37.3396)	(8, 37.2824)	(9, 37.2218)	(10, 37.1917)	(11, 37.1819)	(12, 37.0857)	(13, 37.0234)	(14, 36.9934)	(15, 36.9273)	(16, 36.8849)	(17, 36.781)	(18, 36.6916)	(19, 36.6493)	(20, 36.547)	(21, 36.5071)	(22, 36.3648)	(23, 36.282)	(24, 36.177)	(25, 36.1266)	(26, 36.0541)	(27, 36.0756)	(28, 35.9495)	(29, 35.9089)	(30, 35.772)	(31, 35.9108)	(32, 35.75)	(33, 35.6343)	(34, 35.5325)	(35, 35.4214)	(36, 35.3663)	(37, 35.1999)	(38, 35.0519)	(39, 34.9493)	(40, 34.8132)	(41, 34.7436)	(42, 34.505)	(43, 34.4083)	(44, 34.2508)	(45, 34.1285)	(46, 33.9305)	(47, 33.6999)	(48, 33.55)	(49, 33.3917)	(50, 33.2989)	(51, 34.8745)	(52, 34.7337)	(53, 34.5959)	(54, 34.4519)	(55, 34.3635)	(56, 34.6471)	(57, 34.3929)	(58, 34.2203)	(59, 34.0055)	(60, 33.7965)	(61, 33.4624)	(62, 33.1309)	(63, 32.8594)	(64, 32.5812)	(65, 32.2789)	(66, 31.8762)	(67, 31.4665)	(68, 31.2163)	(69, 30.882)	(70, 30.5438)	(71, 29.9912)	(72, 29.5326)	(73, 29.1738)	(74, 28.8077)	(75, 28.4616)	(76, 27.8312)	(77, 27.3866)	(78, 26.9555)	(79, 26.5938)	(80, 26.0818)	(81, 25.3943)	(82, 24.9182)	(83, 24.4411)	(84, 23.9433)	(85, 23.3676)	(86, 22.5858)	(87, 22.0186)	(88, 21.5049)	(89, 20.9809)	(90, 20.5196)											
ERR031976	(1, 38.2031)	(2, 38.0535)	(3, 38.0237)	(4, 37.954)	(5, 37.9249)	(6, 37.9993)	(7, 37.9608)	(8, 37.932)	(9, 37.89)	(10, 37.8643)	(11, 37.8846)	(12, 37.8125)	(13, 37.7708)	(14, 37.7571)	(15, 37.7219)	(16, 37.7141)	(17, 37.6412)	(18, 37.5935)	(19, 37.5843)	(20, 37.5391)	(21, 37.4987)	(22, 37.4119)	(23, 37.3423)	(24, 37.3201)	(25, 37.262)	(26, 37.1956)	(27, 37.0906)	(28, 37.0549)	(29, 37.0074)	(30, 36.9322)	(31, 36.9074)	(32, 36.9774)	(33, 36.9651)	(34, 36.9497)	(35, 36.8837)	(36, 37.0637)	(37, 36.9706)	(38, 36.8874)	(39, 36.8202)	(40, 36.7903)	(41, 36.7402)	(42, 36.6638)	(43, 36.6123)	(44, 36.5239)	(45, 36.4732)	(46, 36.0947)	(47, 36.0063)	(48, 35.5234)	(49, 35.8402)	(50, 35.7034)	(51, 36.4872)	(52, 36.4728)	(53, 36.4305)	(54, 36.4219)	(55, 36.3872)	(56, 36.8569)	(57, 36.7608)	(58, 36.6933)	(59, 36.609)	(60, 36.5128)	(61, 36.4155)	(62, 36.2899)	(63, 36.2084)	(64, 36.1072)	(65, 35.9921)	(66, 35.8018)	(67, 35.6611)	(68, 35.5319)	(69, 35.4204)	(70, 35.2616)	(71, 35.0349)	(72, 34.8252)	(73, 34.6932)	(74, 34.5555)	(75, 34.3564)	(76, 34.1223)	(77, 33.928)	(78, 33.7677)	(79, 33.5474)	(80, 33.3723)	(81, 33.059)	(82, 32.7556)	(83, 32.6202)	(84, 32.3478)	(85, 32.065)	(86, 31.6385)	(87, 31.3708)	(88, 31.1122)	(89, 30.7971)	(90, 30.5597)											
ERR031982	(1, 38.1557)	(2, 37.9648)	(3, 37.92)	(4, 37.8745)	(5, 37.8733)	(6, 37.9132)	(7, 37.8774)	(8, 37.841)	(9, 37.823)	(10, 37.8017)	(11, 37.7979)	(12, 37.7476)	(13, 37.7046)	(14, 37.6897)	(15, 37.6589)	(16, 37.6471)	(17, 37.5626)	(18, 37.5338)	(19, 37.4893)	(20, 37.4596)	(21, 37.4182)	(22, 37.3487)	(23, 37.3015)	(24, 37.2322)	(25, 37.2039)	(26, 37.1117)	(27, 37.035)	(28, 36.9557)	(29, 36.9243)	(30, 36.8548)	(31, 36.8172)	(32, 36.8778)	(33, 36.8447)	(34, 36.8403)	(35, 36.8028)	(36, 36.9946)	(37, 36.8968)	(38, 36.8299)	(39, 36.7384)	(40, 36.7063)	(41, 36.7024)	(42, 36.6213)	(43, 36.5605)	(44, 36.4703)	(45, 36.4036)	(46, 36.0393)	(47, 35.9406)	(48, 35.7245)	(49, 35.8029)	(50, 35.7181)	(51, 36.4802)	(52, 36.4374)	(53, 36.3989)	(54, 36.3647)	(55, 36.3244)	(56, 36.803)	(57, 36.7042)	(58, 36.6157)	(59, 36.541)	(60, 36.4738)	(61, 36.3245)	(62, 36.189)	(63, 36.098)	(64, 35.9687)	(65, 35.8575)	(66, 35.3574)	(67, 35.4314)	(68, 35.3797)	(69, 35.2497)	(70, 35.1024)	(71, 34.9692)	(72, 34.7671)	(73, 34.6099)	(74, 34.4818)	(75, 34.3189)	(76, 34.0442)	(77, 33.8838)	(78, 33.7161)	(79, 33.5594)	(80, 33.3366)	(81, 33.0512)	(82, 32.7715)	(83, 32.6086)	(84, 32.3448)	(85, 32.0639)	(86, 31.6247)	(87, 31.3827)	(88, 31.1145)	(89, 30.8904)	(90, 30.5699)											
ERR034521	(1, 37.7893)	(2, 37.5782)	(3, 37.5581)	(4, 37.5215)	(5, 37.5222)	(6, 37.547)	(7, 37.4924)	(8, 37.4582)	(9, 37.4349)	(10, 37.42)	(11, 37.4131)	(12, 37.3512)	(13, 37.2809)	(14, 37.2756)	(15, 37.2414)	(16, 37.2303)	(17, 37.1764)	(18, 37.1165)	(19, 37.0692)	(20, 37.0248)	(21, 36.9998)	(22, 36.9164)	(23, 36.8675)	(24, 36.8053)	(25, 36.7636)	(26, 36.6728)	(27, 36.5903)	(28, 36.5345)	(29, 36.4448)	(30, 36.4703)	(31, 36.7186)	(32, 36.6382)	(33, 36.5624)	(34, 36.5304)	(35, 36.4626)	(36, 36.558)	(37, 36.4371)	(38, 36.3901)	(39, 36.3037)	(40, 36.2781)	(41, 36.2549)	(42, 36.1169)	(43, 36.0465)	(44, 35.9629)	(45, 35.9174)	(46, 35.7299)	(47, 35.6194)	(48, 35.4964)	(49, 35.4514)	(50, 35.3922)	(51, 36.1484)	(52, 36.0616)	(53, 35.9863)	(54, 35.9497)	(55, 35.8697)	(56, 36.2387)	(57, 36.1034)	(58, 36.005)	(59, 35.8943)	(60, 35.8436)	(61, 35.7111)	(62, 35.4941)	(63, 35.404)	(64, 35.3091)	(65, 35.1982)	(66, 35.0319)	(67, 34.8252)	(68, 34.685)	(69, 34.5544)	(70, 34.3861)	(71, 34.17)	(72, 33.96)	(73, 33.7616)	(74, 33.5591)	(75, 33.3919)	(76, 33.0935)	(77, 32.8831)	(78, 32.6741)	(79, 32.465)	(80, 32.2176)	(81, 31.9088)	(82, 31.652)	(83, 31.3981)	(84, 31.152)	(85, 30.8575)	(86, 30.4637)	(87, 30.1453)	(88, 29.8366)	(89, 29.5715)	(90, 29.3226)											
ERR034553	(1, 37.6373)	(2, 37.3001)	(3, 37.3494)	(4, 37.3197)	(5, 37.3237)	(6, 37.3543)	(7, 37.2919)	(8, 37.2554)	(9, 37.2221)	(10, 37.2204)	(11, 37.1872)	(12, 37.1367)	(13, 37.1051)	(14, 37.0567)	(15, 37.012)	(16, 36.9846)	(17, 36.9155)	(18, 36.8576)	(19, 36.7439)	(20, 36.7586)	(21, 36.7397)	(22, 36.6724)	(23, 36.5899)	(24, 36.546)	(25, 36.489)	(26, 36.4023)	(27, 36.2924)	(28, 36.3604)	(29, 36.2971)	(30, 36.3424)	(31, 36.575)	(32, 36.5033)	(33, 36.4381)	(34, 36.3747)	(35, 36.3147)	(36, 36.3632)	(37, 36.2708)	(38, 36.2185)	(39, 36.1674)	(40, 36.0946)	(41, 36.0819)	(42, 35.9766)	(43, 35.8786)	(44, 35.8149)	(45, 35.7629)	(46, 35.5198)	(47, 35.3963)	(48, 35.275)	(49, 35.1765)	(50, 35.1436)	(51, 35.8279)	(52, 35.7671)	(53, 35.7233)	(54, 35.6709)	(55, 35.54)	(56, 36.123)	(57, 36.0023)	(58, 35.9455)	(59, 35.8804)	(60, 35.8043)	(61, 35.6865)	(62, 35.5461)	(63, 35.4502)	(64, 35.3548)	(65, 35.2346)	(66, 35.1315)	(67, 34.9699)	(68, 34.8372)	(69, 34.7111)	(70, 34.5496)	(71, 34.3794)	(72, 34.2024)	(73, 34.0437)	(74, 33.8959)	(75, 33.6941)	(76, 33.5334)	(77, 33.3266)	(78, 33.1307)	(79, 32.8943)	(80, 32.6885)	(81, 32.4232)	(82, 32.1717)	(83, 31.9366)	(84, 31.7661)	(85, 31.4682)	(86, 31.1176)	(87, 30.8388)	(88, 30.5987)	(89, 30.3285)	(90, 30.063)											
ERR034626	(1, 37.9103)	(2, 37.5319)	(3, 37.6899)	(4, 37.6536)	(5, 37.6334)	(6, 37.646)	(7, 37.6478)	(8, 37.5932)	(9, 37.6012)	(10, 37.5548)	(11, 37.5241)	(12, 37.5303)	(13, 37.4814)	(14, 37.4246)	(15, 37.3983)	(16, 37.4016)	(17, 37.2266)	(18, 37.2011)	(19, 37.2513)	(20, 37.1905)	(21, 37.1981)	(22, 37.0853)	(23, 37.0377)	(24, 36.9997)	(25, 36.9655)	(26, 36.8563)	(27, 36.6418)	(28, 36.618)	(29, 36.5968)	(30, 36.5753)	(31, 36.9942)	(32, 36.9495)	(33, 36.8838)	(34, 36.8219)	(35, 36.7954)	(36, 36.8751)	(37, 36.6113)	(38, 36.731)	(39, 36.5781)	(40, 36.5918)	(41, 36.5028)	(42, 36.4157)	(43, 36.3484)	(44, 36.1139)	(45, 36.0283)	(46, 35.1025)	(47, 34.7393)	(48, 34.8234)	(49, 34.7484)	(50, 34.7319)	(51, 35.1862)	(52, 35.1852)	(53, 35.1027)	(54, 35.0679)	(55, 35.1637)	(56, 36.1774)	(57, 36.1373)	(58, 36.031)	(59, 35.9744)	(60, 35.7952)	(61, 35.9169)	(62, 35.5979)	(63, 35.6597)	(64, 35.5047)	(65, 35.4305)	(66, 35.2615)	(67, 35.1412)	(68, 34.9238)	(69, 34.8339)	(70, 34.752)	(71, 34.399)	(72, 34.1585)	(73, 34.0744)	(74, 33.9667)	(75, 33.7288)	(76, 33.5293)	(77, 33.464)	(78, 33.2778)	(79, 33.0055)	(80, 32.7878)	(81, 32.2573)	(82, 32.2278)	(83, 31.9973)	(84, 31.6275)	(85, 31.4446)	(86, 30.7364)	(87, 30.3634)	(88, 30.0187)	(89, 29.8356)	(90, 29.3632)											
ERR047840	(1, 31.9046)	(2, 32.0894)	(3, 32.1152)	(4, 35.637)	(5, 35.6277)	(6, 35.6557)	(7, 35.6444)	(8, 35.6067)	(9, 37.1764)	(10, 37.1613)	(11, 37.1348)	(12, 37.092)	(13, 37.0587)	(14, 38.3087)	(15, 38.2757)	(16, 38.2287)	(17, 38.1693)	(18, 38.1161)	(19, 38.1277)	(20, 38.0797)	(21, 37.9926)	(22, 37.912)	(23, 37.837)	(24, 37.6171)	(25, 37.8144)	(26, 37.818)	(27, 37.9697)	(28, 37.9847)	(29, 37.9712)	(30, 37.9459)	(31, 37.8738)	(32, 37.8289)	(33, 37.7951)	(34, 37.7528)	(35, 37.7364)	(36, 37.6809)	(37, 37.6239)	(38, 37.582)	(39, 37.5339)	(40, 37.4669)	(41, 37.4102)	(42, 37.3381)	(43, 37.2359)	(44, 37.1814)	(45, 37.1096)	(46, 37.0547)	(47, 36.9873)	(48, 36.93)	(49, 36.8337)	(50, 36.7382)	(51, 35.8424)	(52, 36.1578)	(53, 36.3948)	(54, 36.4462)	(55, 36.3832)	(56, 36.2693)	(57, 36.1676)	(58, 36.0025)	(59, 35.8435)	(60, 35.657)	(61, 35.4278)	(62, 35.207)	(63, 35.0077)	(64, 34.7835)	(65, 34.5404)	(66, 34.2975)	(67, 34.0551)	(68, 33.7791)	(69, 33.5338)	(70, 33.2734)	(71, 32.9682)	(72, 32.639)	(73, 32.3523)	(74, 32.0088)	(75, 31.7034)	(76, 31.4305)	(77, 31.2044)	(78, 30.903)	(79, 30.5889)	(80, 30.2378)	(81, 29.875)	(82, 29.5664)	(83, 29.2318)	(84, 28.8674)	(85, 28.4673)	(86, 28.0203)	(87, 27.5791)	(88, 27.155)	(89, 26.6783)	(90, 26.1921)											
ERR050746	(1, 32.5353)	(2, 32.7276)	(3, 32.7864)	(4, 36.1612)	(5, 36.1658)	(6, 36.1585)	(7, 36.1352)	(8, 36.1336)	(9, 37.8717)	(10, 37.8413)	(11, 37.8326)	(12, 37.7918)	(13, 37.756)	(14, 39.2127)	(15, 39.1786)	(16, 39.1499)	(17, 39.0839)	(18, 39.057)	(19, 39.0435)	(20, 39.0115)	(21, 38.958)	(22, 38.896)	(23, 38.8148)	(24, 38.7605)	(25, 38.89)	(26, 38.8812)	(27, 38.8132)	(28, 38.8028)	(29, 38.7705)	(30, 38.8594)	(31, 38.8951)	(32, 38.903)	(33, 38.8947)	(34, 38.8729)	(35, 38.8201)	(36, 38.7987)	(37, 38.7479)	(38, 38.6914)	(39, 38.6589)	(40, 38.6117)	(41, 38.5737)	(42, 38.5133)	(43, 38.4585)	(44, 38.4176)	(45, 38.346)	(46, 38.2975)	(47, 38.2322)	(48, 38.1521)	(49, 38.0601)	(50, 37.9903)	(51, 36.7911)	(52, 37.2492)	(53, 37.577)	(54, 37.6644)	(55, 37.6505)	(56, 37.5552)	(57, 37.4575)	(58, 37.3525)	(59, 37.2065)	(60, 37.0454)	(61, 36.8961)	(62, 36.731)	(63, 36.5534)	(64, 36.3582)	(65, 36.1958)	(66, 36.019)	(67, 35.7849)	(68, 35.5954)	(69, 35.3778)	(70, 35.1587)	(71, 34.9378)	(72, 34.7478)	(73, 34.5443)	(74, 34.3044)	(75, 34.0516)	(76, 33.8262)	(77, 33.5959)	(78, 33.3717)	(79, 33.145)	(80, 32.9048)	(81, 32.6724)	(82, 32.4313)	(83, 32.2222)	(84, 32.0011)	(85, 31.748)	(86, 31.5271)	(87, 31.2814)	(88, 30.997)	(89, 30.7032)	(90, 30.3372)											
