Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR031854	(1, 36.4555)	(2, 36.0467)	(3, 35.9929)	(4, 35.959)	(5, 35.9798)	(6, 35.9454)	(7, 35.8791)	(8, 35.8161)	(9, 35.7726)	(10, 35.7184)	(11, 35.6996)	(12, 35.6106)	(13, 35.5143)	(14, 35.4862)	(15, 35.4117)	(16, 35.2935)	(17, 35.2406)	(18, 35.1556)	(19, 35.1023)	(20, 35.0171)	(21, 34.9861)	(22, 34.8565)	(23, 34.7828)	(24, 34.7156)	(25, 34.6101)	(26, 34.505)	(27, 34.4389)	(28, 34.2967)	(29, 34.251)	(30, 34.1257)	(31, 34.27)	(32, 34.1319)	(33, 34.0865)	(34, 33.9737)	(35, 33.8634)	(36, 33.8977)	(37, 33.799)	(38, 33.6997)	(39, 33.6352)	(40, 33.5152)	(41, 33.5295)	(42, 33.354)	(43, 33.2975)	(44, 33.2227)	(45, 33.0279)	(46, 32.8176)	(47, 32.6403)	(48, 32.5055)	(49, 32.3819)	(50, 32.2619)	(51, 32.9985)	(52, 32.9186)	(53, 32.8051)	(54, 32.7648)	(55, 32.6903)	(56, 33.0599)	(57, 32.9176)	(58, 32.7954)	(59, 32.6392)	(60, 32.6089)	(61, 32.4331)	(62, 32.2768)	(63, 32.1633)	(64, 32.029)	(65, 31.8868)	(66, 31.6917)	(67, 31.5111)	(68, 31.3105)	(69, 31.2407)	(70, 31.0876)	(71, 30.8678)	(72, 30.6779)	(73, 30.4973)	(74, 30.2858)	(75, 30.0798)	(76, 29.7896)	(77, 29.5364)	(78, 29.3662)	(79, 29.1447)	(80, 28.8955)	(81, 28.5359)	(82, 28.2464)	(83, 27.961)	(84, 27.7438)	(85, 27.3988)	(86, 27.012)	(87, 26.6825)	(88, 26.3751)	(89, 26.082)	(90, 25.8099)											
ERR031893	(1, 36.8859)	(2, 36.6189)	(3, 36.5466)	(4, 36.5037)	(5, 36.4864)	(6, 36.4849)	(7, 36.399)	(8, 36.3321)	(9, 36.2698)	(10, 36.2191)	(11, 36.1778)	(12, 36.0795)	(13, 36.018)	(14, 35.9289)	(15, 35.8736)	(16, 35.7943)	(17, 35.692)	(18, 35.6135)	(19, 35.5469)	(20, 35.4479)	(21, 35.3513)	(22, 35.1993)	(23, 35.1162)	(24, 35.0053)	(25, 34.91)	(26, 34.7997)	(27, 34.7898)	(28, 34.7023)	(29, 34.6181)	(30, 34.5361)	(31, 34.6476)	(32, 34.4883)	(33, 34.3867)	(34, 34.2585)	(35, 34.141)	(36, 34.0487)	(37, 33.8861)	(38, 33.7534)	(39, 33.6458)	(40, 33.4765)	(41, 33.3764)	(42, 33.1932)	(43, 33.0249)	(44, 32.8709)	(45, 32.7489)	(46, 32.4136)	(47, 32.2421)	(48, 32.053)	(49, 31.9031)	(50, 31.7446)	(51, 32.7759)	(52, 32.6079)	(53, 32.4787)	(54, 32.361)	(55, 32.2137)	(56, 32.4301)	(57, 32.2368)	(58, 32.0741)	(59, 31.9079)	(60, 31.6904)	(61, 31.4124)	(62, 31.1778)	(63, 30.9799)	(64, 30.8034)	(65, 30.5646)	(66, 30.2581)	(67, 29.985)	(68, 29.8028)	(69, 29.5732)	(70, 29.3026)	(71, 28.8962)	(72, 28.5908)	(73, 28.341)	(74, 28.0632)	(75, 27.7367)	(76, 27.2443)	(77, 26.9233)	(78, 26.6147)	(79, 26.3292)	(80, 25.9378)	(81, 25.4093)	(82, 25.0233)	(83, 24.7071)	(84, 24.2744)	(85, 23.8846)	(86, 23.319)	(87, 22.8978)	(88, 22.5298)	(89, 22.1192)	(90, 21.7995)											
ERR031925	(1, 36.5637)	(2, 36.192)	(3, 36.1087)	(4, 36.0412)	(5, 35.9962)	(6, 35.9723)	(7, 35.8641)	(8, 35.778)	(9, 35.6831)	(10, 35.6251)	(11, 35.5834)	(12, 35.4551)	(13, 35.3659)	(14, 35.31)	(15, 35.2104)	(16, 35.113)	(17, 34.9736)	(18, 34.8521)	(19, 34.779)	(20, 34.6342)	(21, 34.5286)	(22, 34.3492)	(23, 34.2318)	(24, 34.0871)	(25, 33.9977)	(26, 33.8458)	(27, 33.8243)	(28, 33.6591)	(29, 33.5794)	(30, 33.3977)	(31, 33.4843)	(32, 33.2823)	(33, 33.1274)	(34, 32.9796)	(35, 32.8106)	(36, 32.6656)	(37, 32.4553)	(38, 32.267)	(39, 32.1161)	(40, 31.9178)	(41, 31.752)	(42, 31.4763)	(43, 31.3363)	(44, 31.1313)	(45, 30.9468)	(46, 30.6685)	(47, 30.4077)	(48, 30.2227)	(49, 30.0245)	(50, 29.8761)	(51, 31.1974)	(52, 31.028)	(53, 30.8553)	(54, 30.6634)	(55, 30.5141)	(56, 30.6835)	(57, 30.4196)	(58, 30.2326)	(59, 30.0046)	(60, 29.7777)	(61, 29.43)	(62, 29.1203)	(63, 28.8663)	(64, 28.6051)	(65, 28.3223)	(66, 27.9469)	(67, 27.5781)	(68, 27.3507)	(69, 27.0481)	(70, 26.7401)	(71, 26.2401)	(72, 25.8317)	(73, 25.5121)	(74, 25.1845)	(75, 24.8734)	(76, 24.3118)	(77, 23.9173)	(78, 23.5353)	(79, 23.2138)	(80, 22.7597)	(81, 22.1512)	(82, 21.7321)	(83, 21.3122)	(84, 20.8754)	(85, 20.3687)	(86, 19.6838)	(87, 19.1883)	(88, 18.7404)	(89, 18.2834)	(90, 17.8813)											
ERR031976	(1, 37.5106)	(2, 37.3078)	(3, 37.2695)	(4, 37.1897)	(5, 37.1529)	(6, 37.2072)	(7, 37.1529)	(8, 37.1117)	(9, 37.0529)	(10, 37.0154)	(11, 37.0154)	(12, 36.9275)	(13, 36.8745)	(14, 36.8493)	(15, 36.7966)	(16, 36.7648)	(17, 36.6738)	(18, 36.6118)	(19, 36.5891)	(20, 36.5228)	(21, 36.4464)	(22, 36.3413)	(23, 36.255)	(24, 36.2153)	(25, 36.1357)	(26, 36.0287)	(27, 35.9097)	(28, 35.8578)	(29, 35.7924)	(30, 35.6966)	(31, 35.6307)	(32, 35.6802)	(33, 35.6462)	(34, 35.6159)	(35, 35.5277)	(36, 35.6829)	(37, 35.5717)	(38, 35.4676)	(39, 35.3796)	(40, 35.3253)	(41, 35.2314)	(42, 35.1346)	(43, 35.063)	(44, 34.9533)	(45, 34.8732)	(46, 34.4575)	(47, 34.3526)	(48, 33.8735)	(49, 34.1495)	(50, 33.985)	(51, 34.685)	(52, 34.6569)	(53, 34.6012)	(54, 34.5762)	(55, 34.5236)	(56, 34.9661)	(57, 34.8623)	(58, 34.7897)	(59, 34.6988)	(60, 34.5921)	(61, 34.4822)	(62, 34.3552)	(63, 34.2709)	(64, 34.1688)	(65, 34.0505)	(66, 33.8564)	(67, 33.717)	(68, 33.5881)	(69, 33.4768)	(70, 33.317)	(71, 33.0909)	(72, 32.887)	(73, 32.756)	(74, 32.6193)	(75, 32.4224)	(76, 32.1907)	(77, 32.001)	(78, 31.8444)	(79, 31.6282)	(80, 31.4557)	(81, 31.1479)	(82, 30.8551)	(83, 30.7214)	(84, 30.457)	(85, 30.1812)	(86, 29.7665)	(87, 29.5076)	(88, 29.2581)	(89, 28.9555)	(90, 28.7249)											
ERR031982	(1, 37.4572)	(2, 37.1889)	(3, 37.1365)	(4, 37.0826)	(5, 37.0798)	(6, 37.092)	(7, 37.0424)	(8, 36.9951)	(9, 36.9627)	(10, 36.9268)	(11, 36.903)	(12, 36.8384)	(13, 36.7839)	(14, 36.757)	(15, 36.7099)	(16, 36.6697)	(17, 36.5682)	(18, 36.5241)	(19, 36.4643)	(20, 36.4145)	(21, 36.3365)	(22, 36.2508)	(23, 36.1874)	(24, 36.0999)	(25, 36.0495)	(26, 35.9132)	(27, 35.8195)	(28, 35.7235)	(29, 35.6774)	(30, 35.5818)	(31, 35.4997)	(32, 35.5404)	(33, 35.4867)	(34, 35.4649)	(35, 35.4073)	(36, 35.5769)	(37, 35.4596)	(38, 35.3741)	(39, 35.2609)	(40, 35.2033)	(41, 35.156)	(42, 35.0548)	(43, 34.9756)	(44, 34.8634)	(45, 34.7674)	(46, 34.3637)	(47, 34.2472)	(48, 34.0212)	(49, 34.0717)	(50, 33.9577)	(51, 34.6273)	(52, 34.5745)	(53, 34.523)	(54, 34.4707)	(55, 34.4133)	(56, 34.8654)	(57, 34.7599)	(58, 34.6655)	(59, 34.5843)	(60, 34.5076)	(61, 34.3458)	(62, 34.2088)	(63, 34.1169)	(64, 33.9869)	(65, 33.8732)	(66, 33.3881)	(67, 33.4497)	(68, 33.395)	(69, 33.2656)	(70, 33.1175)	(71, 32.9811)	(72, 32.7842)	(73, 32.6301)	(74, 32.5028)	(75, 32.3422)	(76, 32.0708)	(77, 31.9141)	(78, 31.7501)	(79, 31.5959)	(80, 31.3771)	(81, 31.0961)	(82, 30.8263)	(83, 30.6671)	(84, 30.4111)	(85, 30.1374)	(86, 29.7116)	(87, 29.4775)	(88, 29.2187)	(89, 29.0018)	(90, 28.6935)											
ERR034521	(1, 36.8964)	(2, 36.6278)	(3, 36.599)	(4, 36.555)	(5, 36.5503)	(6, 36.5332)	(7, 36.4625)	(8, 36.4163)	(9, 36.3791)	(10, 36.3494)	(11, 36.3207)	(12, 36.2467)	(13, 36.1633)	(14, 36.1423)	(15, 36.0888)	(16, 36.0435)	(17, 35.9741)	(18, 35.897)	(19, 35.8315)	(20, 35.7655)	(21, 35.6952)	(22, 35.5953)	(23, 35.5286)	(24, 35.4497)	(25, 35.3842)	(26, 35.2469)	(27, 35.1485)	(28, 35.0758)	(29, 34.9694)	(30, 34.9702)	(31, 35.1908)	(32, 35.0931)	(33, 35.0004)	(34, 34.9482)	(35, 34.8566)	(36, 34.9159)	(37, 34.7773)	(38, 34.71)	(39, 34.603)	(40, 34.5482)	(41, 34.4813)	(42, 34.3252)	(43, 34.2334)	(44, 34.1271)	(45, 34.0491)	(46, 33.8161)	(47, 33.6871)	(48, 33.5457)	(49, 33.4742)	(50, 33.3794)	(51, 34.0047)	(52, 33.907)	(53, 33.8171)	(54, 33.7594)	(55, 33.6596)	(56, 33.9921)	(57, 33.8534)	(58, 33.7519)	(59, 33.6377)	(60, 33.5771)	(61, 33.4357)	(62, 33.2254)	(63, 33.1355)	(64, 33.0407)	(65, 32.9298)	(66, 32.765)	(67, 32.5663)	(68, 32.4304)	(69, 32.3038)	(70, 32.1407)	(71, 31.9317)	(72, 31.7302)	(73, 31.5403)	(74, 31.3466)	(75, 31.1849)	(76, 30.8986)	(77, 30.6973)	(78, 30.4982)	(79, 30.2977)	(80, 30.0604)	(81, 29.7651)	(82, 29.5209)	(83, 29.2796)	(84, 29.0452)	(85, 28.7643)	(86, 28.3906)	(87, 28.0895)	(88, 27.7978)	(89, 27.5466)	(90, 27.3105)											
ERR034553	(1, 36.583)	(2, 36.1322)	(3, 36.1961)	(4, 36.1602)	(5, 36.1597)	(6, 36.1364)	(7, 36.0606)	(8, 36.0109)	(9, 35.9598)	(10, 35.9396)	(11, 35.8799)	(12, 35.8143)	(13, 35.7683)	(14, 35.7014)	(15, 35.6338)	(16, 35.5607)	(17, 35.4748)	(18, 35.3984)	(19, 35.2656)	(20, 35.2513)	(21, 35.1827)	(22, 35.0991)	(23, 34.9987)	(24, 34.9362)	(25, 34.8537)	(26, 34.7099)	(27, 34.5848)	(28, 34.6329)	(29, 34.5525)	(30, 34.5686)	(31, 34.7756)	(32, 34.6851)	(33, 34.6017)	(34, 34.5176)	(35, 34.4311)	(36, 34.4334)	(37, 34.3214)	(38, 34.2482)	(39, 34.1766)	(40, 34.0725)	(41, 34.0082)	(42, 33.8831)	(43, 33.7652)	(44, 33.6797)	(45, 33.5928)	(46, 33.3065)	(47, 33.1675)	(48, 33.0287)	(49, 32.9073)	(50, 32.8377)	(51, 33.3797)	(52, 33.3093)	(53, 33.253)	(54, 33.1817)	(55, 33.0396)	(56, 33.5692)	(57, 33.448)	(58, 33.3866)	(59, 33.3159)	(60, 33.2317)	(61, 33.1031)	(62, 32.9673)	(63, 32.8725)	(64, 32.7788)	(65, 32.6594)	(66, 32.5519)	(67, 32.3979)	(68, 32.2703)	(69, 32.1493)	(70, 31.994)	(71, 31.8298)	(72, 31.6631)	(73, 31.513)	(74, 31.3719)	(75, 31.179)	(76, 31.0237)	(77, 30.8292)	(78, 30.6449)	(79, 30.4221)	(80, 30.2251)	(81, 29.9726)	(82, 29.7364)	(83, 29.515)	(84, 29.3541)	(85, 29.0722)	(86, 28.742)	(87, 28.4808)	(88, 28.2555)	(89, 28.0023)	(90, 27.7523)											
ERR034626	(1, 36.7806)	(2, 36.2424)	(3, 36.4741)	(4, 36.444)	(5, 36.4211)	(6, 36.3859)	(7, 36.3743)	(8, 36.3071)	(9, 36.3068)	(10, 36.2395)	(11, 36.167)	(12, 36.1813)	(13, 36.1194)	(14, 36.0408)	(15, 36.0063)	(16, 35.958)	(17, 35.7076)	(18, 35.7118)	(19, 35.7578)	(20, 35.6747)	(21, 35.6496)	(22, 35.4992)	(23, 35.4576)	(24, 35.4065)	(25, 35.3505)	(26, 35.191)	(27, 34.9182)	(28, 34.8661)	(29, 34.8524)	(30, 34.8493)	(31, 35.2353)	(32, 35.1741)	(33, 35.0873)	(34, 34.994)	(35, 34.9254)	(36, 34.9213)	(37, 34.5912)	(38, 34.7344)	(39, 34.5159)	(40, 34.5196)	(41, 34.2971)	(42, 34.1928)	(43, 34.1043)	(44, 33.8191)	(45, 33.6674)	(46, 32.6315)	(47, 32.2417)	(48, 32.2926)	(49, 32.1754)	(50, 32.122)	(51, 32.3634)	(52, 32.3528)	(53, 32.2658)	(54, 32.2167)	(55, 32.2907)	(56, 33.2176)	(57, 33.1726)	(58, 33.0697)	(59, 33.0105)	(60, 32.8361)	(61, 32.9292)	(62, 32.6334)	(63, 32.6854)	(64, 32.5423)	(65, 32.4695)	(66, 32.3082)	(67, 32.1955)	(68, 31.9936)	(69, 31.9079)	(70, 31.8288)	(71, 31.5046)	(72, 31.2812)	(73, 31.2021)	(74, 31.0994)	(75, 30.8772)	(76, 30.692)	(77, 30.6287)	(78, 30.4552)	(79, 30.2042)	(80, 30.0)	(81, 29.5141)	(82, 29.4823)	(83, 29.2692)	(84, 28.9281)	(85, 28.7569)	(86, 28.1058)	(87, 27.7624)	(88, 27.4447)	(89, 27.274)	(90, 26.8403)											
ERR047840	(1, 31.3457)	(2, 31.4301)	(3, 31.4252)	(4, 34.8811)	(5, 34.8673)	(6, 34.937)	(7, 34.923)	(8, 34.9154)	(9, 36.4014)	(10, 36.3761)	(11, 36.3337)	(12, 36.2742)	(13, 36.2227)	(14, 37.3787)	(15, 37.3251)	(16, 37.2568)	(17, 37.1744)	(18, 37.0963)	(19, 37.0832)	(20, 37.0118)	(21, 36.8985)	(22, 36.7876)	(23, 36.6809)	(24, 36.3417)	(25, 36.4528)	(26, 36.4126)	(27, 36.5273)	(28, 36.5092)	(29, 36.3442)	(30, 36.2855)	(31, 36.1816)	(32, 36.104)	(33, 36.0389)	(34, 35.9626)	(35, 35.9168)	(36, 35.8274)	(37, 35.7316)	(38, 35.6534)	(39, 35.5686)	(40, 35.4608)	(41, 35.3642)	(42, 35.2499)	(43, 35.1022)	(44, 35.0072)	(45, 34.8893)	(46, 34.79)	(47, 34.6771)	(48, 34.5721)	(49, 34.4225)	(50, 34.2767)	(51, 33.3743)	(52, 33.6251)	(53, 33.7989)	(54, 33.7933)	(55, 33.6925)	(56, 33.5502)	(57, 33.4235)	(58, 33.2407)	(59, 33.0698)	(60, 32.8748)	(61, 32.6426)	(62, 32.4224)	(63, 32.2256)	(64, 32.0082)	(65, 31.7745)	(66, 31.5411)	(67, 31.3093)	(68, 31.0478)	(69, 30.8164)	(70, 30.5707)	(71, 30.2841)	(72, 29.9763)	(73, 29.7089)	(74, 29.3891)	(75, 29.1033)	(76, 28.8482)	(77, 28.6379)	(78, 28.3582)	(79, 28.0656)	(80, 27.739)	(81, 27.4024)	(82, 27.1145)	(83, 26.8022)	(84, 26.4626)	(85, 26.0916)	(86, 25.6776)	(87, 25.2675)	(88, 24.874)	(89, 24.4334)	(90, 23.9835)											
ERR050746	(1, 32.1357)	(2, 32.321)	(3, 32.3762)	(4, 35.7156)	(5, 35.7128)	(6, 35.6886)	(7, 35.6543)	(8, 35.6428)	(9, 37.3187)	(10, 37.2743)	(11, 37.248)	(12, 37.1923)	(13, 37.1409)	(14, 38.5316)	(15, 38.4766)	(16, 38.43)	(17, 38.3426)	(18, 38.2939)	(19, 38.2584)	(20, 38.2032)	(21, 38.1272)	(22, 38.0411)	(23, 37.9367)	(24, 37.8582)	(25, 37.96)	(26, 37.9272)	(27, 37.8356)	(28, 37.8027)	(29, 37.7472)	(30, 37.8177)	(31, 37.8318)	(32, 37.8187)	(33, 37.7874)	(34, 37.7425)	(35, 37.6688)	(36, 37.6251)	(37, 37.5497)	(38, 37.4709)	(39, 37.4155)	(40, 37.3448)	(41, 37.2835)	(42, 37.1961)	(43, 37.118)	(44, 37.0539)	(45, 36.9596)	(46, 36.8865)	(47, 36.7968)	(48, 36.6888)	(49, 36.5731)	(50, 36.4784)	(51, 35.2911)	(52, 35.7131)	(53, 36.0079)	(54, 36.0669)	(55, 36.035)	(56, 35.928)	(57, 35.8181)	(58, 35.7047)	(59, 35.5534)	(60, 35.3889)	(61, 35.2367)	(62, 35.0707)	(63, 34.8941)	(64, 34.7012)	(65, 34.5397)	(66, 34.3657)	(67, 34.1385)	(68, 33.9544)	(69, 33.7435)	(70, 33.5313)	(71, 33.3173)	(72, 33.1345)	(73, 32.9384)	(74, 32.7069)	(75, 32.465)	(76, 32.2488)	(77, 32.0283)	(78, 31.8133)	(79, 31.5955)	(80, 31.3647)	(81, 31.1408)	(82, 30.9092)	(83, 30.7085)	(84, 30.4959)	(85, 30.2527)	(86, 30.04)	(87, 29.8033)	(88, 29.5301)	(89, 29.2477)	(90, 28.8965)											
