Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
ERR031854	97544206.0	14585198.0	26304.0	nan	0.0	0.0
ERR031893	84425864.0	14246998.0	6670.0	nan	0.0	0.0
ERR031925	100055680.0	19905142.0	24810.0	nan	0.0	0.0
ERR031976	89704046.0	9016924.0	82660.0	nan	0.0	0.0
ERR031982	87451822.0	8940392.0	23568.0	nan	0.0	0.0
ERR034521	112745510.0	11371860.0	4398.0	nan	0.0	0.0
ERR034553	123081478.0	13739708.0	10080.0	nan	0.0	0.0
ERR034626	86845814.0	10337362.0	55970.0	nan	0.0	0.0
ERR047840	104072458.0	12131020.0	251806.0	nan	0.0	0.0
ERR050746	116536736.0	7366420.0	27078.0	nan	0.0	0.0
ERR250439	78745726.0	6429548.0	67178.0	nan	0.0	0.0
ERR250457	64792872.0	4330220.0	57762.0	nan	0.0	0.0
ERR250529	61850922.0	3969576.0	26604.0	nan	0.0	0.0
ERR250603	63790844.0	4846820.0	1685182.0	nan	0.0	0.0
ERR250643	66831248.0	5874146.0	33830.0	nan	0.0	0.0
ERR250681	149271812.0	12836552.0	26986.0	nan	0.0	0.0
ERR250992	54589248.0	3408156.0	13604.0	nan	0.0	0.0
HG00097	54329488.0	3771330.0	154082.0	nan	0.0	0.0
HG00105	54122476.0	3689506.0	211850.0	nan	0.0	0.0
HG00106	61701560.0	3909492.0	249742.0	nan	0.0	0.0
HG00125	93022630.0	9221580.0	74910.0	nan	0.0	0.0
HG00145	177596056.0	58968018.0	82202.0	nan	0.0	0.0
HG00171	114999800.0	16284926.0	52466.0	nan	0.0	0.0
HG00173	67463386.0	2945504.0	175388.0	nan	0.0	0.0
HG00407	77875668.0	7389238.0	17468.0	nan	0.0	0.0
HG00956	75214010.0	4845718.0	17774.0	nan	0.0	0.0
HG01501	60976020.0	4350546.0	79578.0	nan	0.0	0.0
HG01503	48865006.0	5428786.0	71140.0	nan	0.0	0.0
HG01504	56112264.0	4852110.0	1093324.0	nan	0.0	0.0
HG01596	244774.0	0.0	0.0	nan	0.0	0.0
HG01880	110085962.0	8562196.0	9518.0	nan	0.0	0.0
HG01882	118018526.0	8738582.0	2.0	nan	0.0	0.0
HG01886	341372266.0	25458816.0	3420.0	nan	0.0	0.0
