Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length
ERR031854	2.14989	87.8454	7707.165604	97.544206	44.4752	86.97212807037873	0.1752723989758952	90.0	90.0
ERR031893	1.6692200000000001	85.49799999999999	6493.117119	84.42586399999999	44.2763	85.55559829773007	0.14624106648580376	90.0	90.0
ERR031925	1.6806	84.47	7600.41634	100.05568	44.796200000000006	83.3897178622187	0.2134205535542789	90.0	90.0
ERR031976	1.90654	90.8828	7332.7107829999995	89.70404599999999	45.306000000000004	90.7902331118806	0.17907641652437262	90.0	90.0
ERR031982	1.82362	90.6657	7131.897183	87.45182199999999	45.2555	90.70280838462732	0.16814052288659548	90.0	90.0
ERR034521	3.0900600000000003	90.1633	9146.673643	112.74551	44.0945	90.83459881106431	0.06954944438110164	90.0	90.0
ERR034553	3.75961	90.2505	9994.886819	123.08147799999999	43.6653	89.95128204105048	0.06730479275109535	90.0	90.0
ERR034626	2.53987	90.7473	7090.772655	86.84581399999999	44.4212	89.31157622466162	0.07648565732981653	90.0	90.0
ERR047840	4.740670000000001	88.91369999999999	8324.906366	104.072458	45.0787	89.36688351556465	0.11947933594837999	90.0	90.0
ERR050746	6.597359999999999	93.5693	9809.379434	116.53673599999999	46.9824	94.03414504970596	0.16593368168739195	90.0	90.0
ERR250439	6.83251	88.8149	6989.969247999999	78.74572599999999	45.1918	92.37853223649644	0.3022930405615268	100.0	100.0
ERR250457	6.15662	90.0992	5833.937449	64.792872	45.391799999999996	93.65723065517521	0.47496378116407756	100.0	100.0
ERR250529	6.58651	91.0675	5628.299731	61.850922	45.2853	93.93112243572997	0.503466348450688	100.0	100.0
ERR250603	3.2464199999999996	88.6926	5653.349497	63.790844	44.8056	90.71140835227288	0.48297248948087224	100.0	100.0
ERR250643	7.15717	88.9561	5939.7606829999995	66.831248	45.4598	91.87786770999922	0.37447196302231656	100.0	100.0
ERR250681	3.08627	88.9975	13261.036671	149.27181199999998	43.3203	92.0661731078386	1.0451169347091798	100.0	100.0
ERR250992	5.929	89.42179999999999	4878.563708	54.589248	46.0333	94.10153328140755	0.38322381848631215	100.0	100.0
HG00097	3.07822	87.16850000000001	4768.496564	54.329488	47.539300000000004	93.26166210911013	3.265335619836271	101.0	101.0
HG00105	2.34869	88.5833	4832.628282	54.122476	45.8841	93.27628688846335	2.199703046155242	101.0	101.0
HG00106	2.42998	89.1517	5540.83573	61.70156	46.6625	93.68481041998977	2.9906866898689377	101.0	101.0
HG00125	2.4816700000000003	90.4036	7564.599015999999	93.02262999999999	44.9245	90.91422013793708	0.15153375048573522	90.0	90.0
HG00145	7.67866	86.91879999999999	11716.012440999999	177.596056	44.5449	75.04705292721361	0.9041308556235214	76.0	76.0
HG00171	3.62305	88.6121	9168.856283	114.9998	43.9036	87.56072689600369	0.07165525512377331	90.0	90.0
HG00173	3.85253	90.2098	6119.357101	67.463386	49.1622	95.57848845602699	4.76890901965449	101.0	101.0
HG00407	2.00957	91.393	6401.923268	77.87566799999999	44.8187	91.31507994840763	0.16753520487129028	90.0	90.0
HG00956	6.21435	93.6734	6338.838255	75.21401	46.0843	93.92651883671395	0.09434110469629785	90.0	90.0
HG01501	1.98003	84.1391	5174.616805	60.97602	46.2295	93.22674640474142	1.4384673097377518	101.0	101.0
HG01503	2.2449	82.66329999999999	4074.744651	48.865006	46.2389	89.88332037277266	1.3949102336778423	101.0	101.0
HG01504	2.20357	85.65169999999999	4844.918707	56.112263999999996	46.2475	90.4195060538662	2.102727046046729	101.0	101.0
HG01596	0.011439099999999999	90.52019999999999	19.934514	0.244774	44.8654	100.0		89.0	89.0
HG01880	4.70313	91.18260000000001	9031.104985	110.085962	45.5318	92.77609819359685	0.10583217557707772	90.0	90.0
HG01882	5.98833	90.2151	9578.273204	118.018526	45.2235	93.1060403633374	0.19095891346844368	90.0	90.0
HG01886	17.569000000000003	92.2313	31462.317057999997	341.37226599999997	44.8901	93.0589309726379	0.1902956227383432	100.0	100.0
HG01890	2.3394600000000003	85.6031	5934.198211999999	68.728796	46.529900000000005	90.0893432441299	1.3429039524603066	101.0	101.0
HG02013	3.63126	90.2647	7985.435431	98.33523199999999	45.4204	93.03714259904073	0.11561234407859414	90.0	90.0
HG02651	6.6492700000000005	89.1057	6168.095351	69.26062999999999	44.9351	93.71007869924341	0.3570556945348741	100.0	100.0
HG02691	6.258039999999999	92.1391	5535.804757	60.113006	45.0497	94.98453635532648	0.3093518984501593	100.0	100.0
HG02813	0.0357513	88.15849999999999	20.208531999999998	0.22936199999999998	45.4762	100.0		99.0	99.0
HG02814	0.030574399999999998	88.3996	20.226792	0.22895	44.883	100.0		99.0	99.0
HG02840	0.05009399999999999	88.003	39.677645	0.451152	45.001999999999995	100.0		99.0	99.0
HG02878	0.015657900000000002	90.68	17.357532	0.191596	44.503	100.0		99.0	99.0
HG02977	8.062859999999999	89.63940000000001	6651.609428	74.24513	45.7713	92.49299996960299	0.3094289998340623	100.0	100.0
HG02981	6.576840000000001	91.2786	5386.038772999999	59.039552	45.5132	94.23731568715567	0.3772553958854437	100.0	100.0
HG02982	0.050394800000000003	92.59230000000001	33.055023999999996	0.35718	45.895	100.0		99.0	99.0
HG03139	3.73442	87.967	5685.975769	64.680076	45.1982	93.03084440638322	0.35484005056568524	100.0	100.0
HG03157	3.74586	87.6266	6028.538191	68.84734999999999	44.946000000000005	91.91896646047543	0.3441626632869448	100.0	100.0
HG03267	7.05776	89.645	5679.539030999999	63.390636	45.4915	92.77896513691559	0.3042428702078477	100.0	100.0
HG03603	8.426680000000001	91.9276	7632.960759	83.109138	45.345200000000006	94.54877163137014	0.6258508738235546	100.0	100.0
HG03672	4.76841	89.9367	4944.241306	55.015578	45.346599999999995	91.52597645121176	0.5042085868647505	100.0	100.0
HG03723	5.19449	87.4959	5435.826562	62.165859999999995	44.804100000000005	88.93510395170262	0.3543878598431336	100.0	100.0
HG03790	6.83651	90.15140000000001	6550.3561629999995	72.706226	44.8926	93.95412887996677	0.49656255545338795	100.0	100.0
HG03814	7.44779	90.98819999999999	4209.078084	46.285058	45.2636	95.21271833790749	0.4030299843677307	100.0	100.0
NA06989	0.45330099999999995	86.5885	31.248379999999997	0.475622	44.0419	100.0		75.0	75.0
NA18488	10.4144	87.6776	12062.910517999999	181.349908	43.8763	76.27714225798138	1.274497267342127	76.0	76.0
NA18498	3.3375299999999997	86.9252	5231.1942899999995	79.37409	45.5844	78.00939213382306	1.9559859427969906	76.0	76.0
NA18499	0.22215	88.4704	39.623628	0.589692	48.0784	100.0		75.0	75.0
NA18530	3.71348	89.1788	9095.403013	113.351028	43.8334	88.96786222691313	0.06812042995034673	90.0	90.0
NA18946	0.0207968	91.83019999999999	14.226348999999999	0.15387	47.8248	100.0		100.0	100.0
NA19001	0.0233265	94.23089999999999	23.628221999999997	0.24864399999999998	46.176899999999996	100.0		100.0	100.0
NA19020	2.36596	88.6988	4145.574265	46.423998	48.615	96.1046043100176	3.454159940061727	101.0	101.0
NA19922	4.02461	94.6669	6256.386259	65.51996199999999	45.12	95.70426092502312	1.4442704504655521	101.0	101.0
NA20274	1.3384399999999999	79.601	3932.726566	49.457451999999996	46.124700000000004	82.45980019357877	0.5519222393033992	100.0	100.0
NA20342	3.2071799999999997	94.6484	4797.488452	50.72577	44.5691	95.86052836500686	0.3446504552044551	100.0	100.0
NA20351	4.28518	94.316	7539.314794999999	79.277582	45.793299999999995	95.65583073131403	1.829620765187938	101.0	101.0
NA20355	1.3517700000000001	79.1814	3631.829808	45.915499999999994	47.5804	82.28349470746282	0.44289058993155606	100.0	100.0
NA20503	3.68179	91.5253	6897.800743	74.85904599999999	46.9614	93.02379500962608	3.411345081073644	101.0	101.0
NA20507	3.0824399999999996	92.416	5043.316468	54.142185999999995	49.3481	95.73160375081578	2.4171236307653463	101.0	101.0
NA20511	1.76212	80.17410000000001	4672.233712	58.332837999999995	45.7526	83.14353593380585	0.4344490939021281	100.0	100.0
NA20864	4.84458	90.837	8667.366654	106.06026	45.4476	92.08018099554111	0.1256301890149881	90.0	90.0
