Sample	missense_variant	synonymous_variant	frameshift_variant	stop_gained	start_lost
ACB_CALU	11.0	nan	nan	nan	nan
ACB_CYP2C9	35.0	17.0	nan	nan	nan
ACB_CYP2D6	33.0	nan	nan	nan	nan
ACB_CYP4F2	117.0	82.0	nan	nan	nan
ACB_DRD2	9.0	42.0	nan	nan	nan
ACB_GGCX	23.0	90.0	1.0	nan	nan
ACB_OPRM1	44.0	22.0	nan	3.0	nan
ACB_UGT2B7	9.0	54.0	nan	nan	nan
ACB_VKORC1	6.0	5.0	nan	nan	nan
AFR_CALU	62.0	48.0	nan	nan	nan
AFR_CYP2C9	103.0	33.0	16.0	nan	nan
AFR_CYP2D6	62.0	4.0	nan	nan	nan
AFR_CYP4F2	183.0	85.0	nan	nan	nan
AFR_DRD2	9.0	50.0	nan	nan	nan
AFR_GGCX	41.0	109.0	1.0	nan	nan
AFR_OPRM1	189.0	51.0	nan	5.0	nan
AFR_UGT2B7	37.0	69.0	nan	9.0	nan
AFR_VKORC1	9.0	11.0	nan	nan	nan
ASW_CALU	37.0	24.0	nan	nan	nan
ASW_CYP2C9	19.0	17.0	nan	nan	nan
ASW_CYP2D6	33.0	nan	nan	nan	nan
ASW_CYP4F2	103.0	82.0	nan	nan	nan
ASW_DRD2	nan	42.0	nan	nan	nan
ASW_GGCX	23.0	23.0	nan	nan	nan
ASW_OPRM1	52.0	34.0	nan	2.0	nan
ASW_UGT2B7	16.0	55.0	nan	nan	nan
ASW_VKORC1	5.0	4.0	nan	nan	nan
BEB_CALU	35.0	nan	nan	nan	nan
BEB_CYP2C9	16.0	17.0	nan	nan	nan
BEB_CYP4F2	52.0	34.0	nan	nan	nan
BEB_DRD2	nan	16.0	nan	nan	nan
BEB_GGCX	23.0	23.0	nan	nan	nan
BEB_OPRM1	17.0	17.0	nan	1.0	nan
BEB_UGT2B7	9.0	33.0	nan	nan	nan
CDX_CALU	24.0	11.0	nan	nan	nan
CDX_DRD2	nan	8.0	nan	nan	nan
CDX_GGCX	23.0	46.0	nan	nan	nan
CDX_OPRM1	69.0	3.0	nan	nan	nan
CDX_UGT2B7	16.0	24.0	nan	nan	nan
CEU_CALU	35.0	nan	nan	nan	nan
CEU_CYP2C9	33.0	17.0	nan	nan	nan
CEU_CYP4F2	86.0	34.0	nan	nan	19.0
CEU_DRD2	8.0	25.0	nan	nan	nan
CEU_GGCX	23.0	46.0	nan	nan	nan
CEU_OPRM1	1.0	17.0	nan	2.0	nan
CEU_UGT2B7	9.0	24.0	nan	nan	nan
CHB_CALU	24.0	nan	nan	nan	nan
CHB_CYP2C9	16.0	17.0	nan	nan	nan
CHB_CYP4F2	69.0	19.0	nan	nan	nan
CHB_DRD2	nan	8.0	nan	nan	nan
CHB_GGCX	23.0	23.0	nan	nan	nan
CHB_OPRM1	35.0	36.0	nan	1.0	nan
CHB_UGT2B7	18.0	17.0	nan	nan	nan
CHB_VKORC1	nan	1.0	nan	nan	nan
CHS_CALU	11.0	nan	nan	nan	nan
CHS_CYP4F2	52.0	52.0	nan	nan	nan
CHS_DRD2	nan	8.0	nan	nan	nan
CHS_GGCX	23.0	23.0	nan	nan	nan
CHS_OPRM1	2.0	19.0	nan	nan	nan
CHS_UGT2B7	9.0	17.0	nan	nan	nan
EAS_CALU	59.0	11.0	nan	1.0	nan
EAS_CYP2C9	35.0	17.0	nan	nan	nan
EAS_CYP4F2	88.0	52.0	nan	nan	nan
EAS_DRD2	nan	8.0	nan	nan	nan
EAS_GGCX	23.0	46.0	nan	nan	nan
EAS_OPRM1	89.0	54.0	nan	1.0	nan
EAS_UGT2B7	25.0	32.0	nan	nan	nan
EAS_VKORC1	nan	1.0	nan	nan	nan
ESN_CALU	35.0	nan	nan	nan	nan
ESN_CYP2C9	51.0	17.0	16.0	nan	nan
ESN_CYP2D6	29.0	4.0	nan	nan	nan
ESN_CYP4F2	85.0	82.0	nan	nan	nan
ESN_DRD2	nan	32.0	nan	nan	nan
ESN_GGCX	23.0	46.0	nan	nan	nan
ESN_OPRM1	19.0	2.0	nan	4.0	nan
ESN_UGT2B7	9.0	49.0	nan	nan	nan
ESN_VKORC1	5.0	4.0	nan	nan	nan
EUR_CALU	35.0	nan	nan	nan	nan
EUR_CYP2C9	33.0	17.0	nan	nan	nan
EUR_CYP2D6	nan	nan	20.0	nan	nan
EUR_CYP4F2	101.0	52.0	nan	nan	19.0
EUR_DRD2	16.0	34.0	nan	nan	nan
EUR_GGCX	23.0	112.0	nan	nan	nan
EUR_OPRM1	64.0	40.0	nan	2.0	nan
EUR_UGT2B7	9.0	65.0	nan	nan	nan
EUR_VKORC1	6.0	6.0	nan	nan	nan
FIN_CALU	11.0	nan	nan	nan	nan
FIN_CYP2C9	16.0	17.0	nan	nan	nan
FIN_CYP4F2	67.0	52.0	nan	nan	nan
FIN_DRD2	8.0	16.0	nan	nan	nan
FIN_GGCX	23.0	66.0	nan	nan	nan
FIN_OPRM1	31.0	25.0	nan	1.0	nan
FIN_UGT2B7	9.0	33.0	nan	nan	nan
FIN_VKORC1	6.0	6.0	nan	nan	nan
GBR_CALU	35.0	nan	nan	nan	nan
GBR_CYP2C9	16.0	17.0	nan	nan	nan
GBR_CYP4F2	86.0	52.0	nan	nan	nan
GBR_DRD2	nan	25.0	nan	nan	nan
GBR_GGCX	23.0	112.0	nan	nan	nan
GBR_OPRM1	34.0	17.0	nan	2.0	nan
GBR_UGT2B7	9.0	33.0	nan	nan	nan
GIH_CALU	24.0	nan	nan	nan	nan
GIH_CYP2C9	33.0	17.0	nan	nan	nan
GIH_CYP4F2	52.0	52.0	nan	nan	nan
GIH_DRD2	8.0	25.0	nan	nan	nan
GIH_GGCX	nan	23.0	nan	nan	nan
GIH_OPRM1	16.0	2.0	nan	nan	nan
GIH_UGT2B7	15.0	40.0	nan	nan	nan
GWD_CALU	24.0	nan	nan	nan	nan
GWD_CYP2C9	18.0	33.0	nan	nan	nan
GWD_CYP4F2	51.0	68.0	nan	nan	nan
GWD_DRD2	nan	8.0	nan	nan	nan
GWD_GGCX	23.0	23.0	nan	nan	nan
GWD_OPRM1	13.0	2.0	nan	1.0	nan
GWD_UGT2B7	23.0	40.0	nan	9.0	nan
GWD_VKORC1	6.0	4.0	nan	nan	nan
IBS_CALU	35.0	nan	nan	nan	nan
IBS_CYP2C9	33.0	17.0	nan	nan	nan
IBS_CYP4F2	69.0	52.0	nan	nan	nan
IBS_DRD2	nan	16.0	nan	nan	nan
IBS_GGCX	23.0	46.0	nan	nan	nan
