Sample	missense_variant	5_prime_UTR_variant	3_prime_UTR_variant	non_coding_transcript_exon_variant	intron_variant	upstream_gene_variant	downstream_gene_variant	regulatory_region_variant	splice_polypyrimidine_tract_variant	synonymous_variant	NMD_transcript_variant	non_coding_transcript_variant	splice_acceptor_variant	splice_region_variant	splice_donor_region_variant	frameshift_variant	stop_gained	splice_donor_variant	start_lost	splice_donor_5th_base_variant
ACB_CALU	11.0	48.0	102.0	1.0	1630.0	37.0	167.0	14.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ACB_CYP2C9	35.0	nan	21.0	8.0	1664.0	36.0	62.0	nan	32.0	17.0	94.0	26.0	nan	nan	nan	nan	nan	nan	nan	nan
ACB_CYP2D6	33.0	nan	nan	1.0	1.0	3.0	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan
ACB_CYP4F2	117.0	21.0	82.0	27.0	2086.0	271.0	95.0	nan	42.0	82.0	105.0	176.0	1.0	21.0	nan	nan	nan	nan	nan	nan
ACB_DRD2	9.0	5.0	43.0	11.0	1408.0	144.0	172.0	7.0	nan	42.0	nan	218.0	nan	nan	1.0	nan	nan	nan	nan	nan
ACB_GGCX	23.0	27.0	94.0	91.0	1087.0	49.0	700.0	1.0	27.0	90.0	269.0	207.0	nan	nan	nan	1.0	nan	nan	nan	nan
ACB_OPRM1	44.0	51.0	82.0	36.0	6564.0	286.0	548.0	18.0	nan	22.0	790.0	492.0	nan	nan	nan	nan	3.0	nan	nan	nan
ACB_UGT2B7	9.0	2.0	21.0	22.0	1255.0	286.0	120.0	17.0	1.0	54.0	nan	408.0	nan	9.0	nan	nan	nan	nan	nan	nan
ACB_VKORC1	6.0	1.0	15.0	7.0	59.0	63.0	10.0	3.0	nan	5.0	nan	6.0	nan	nan	nan	nan	nan	nan	nan	nan
AFR_CALU	62.0	113.0	336.0	5.0	3613.0	78.0	434.0	24.0	25.0	48.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
AFR_CYP2C9	103.0	nan	136.0	16.0	3958.0	74.0	155.0	nan	52.0	33.0	229.0	71.0	nan	36.0	nan	16.0	nan	nan	nan	nan
AFR_CYP2D6	62.0	nan	nan	2.0	2.0	6.0	11.0	nan	nan	4.0	2.0	2.0	nan	nan	nan	nan	nan	nan	nan	nan
AFR_CYP4F2	183.0	23.0	191.0	43.0	4451.0	579.0	266.0	nan	60.0	85.0	218.0	374.0	1.0	40.0	nan	nan	nan	nan	nan	nan
AFR_DRD2	9.0	19.0	112.0	17.0	3284.0	315.0	361.0	29.0	8.0	50.0	nan	521.0	nan	3.0	1.0	nan	nan	nan	nan	nan
AFR_GGCX	41.0	31.0	248.0	183.0	2677.0	261.0	1489.0	6.0	55.0	109.0	641.0	518.0	31.0	nan	nan	1.0	nan	nan	nan	nan
AFR_OPRM1	189.0	85.0	317.0	109.0	15423.0	726.0	1426.0	47.0	13.0	51.0	1929.0	1150.0	2.0	14.0	1.0	nan	5.0	nan	nan	nan
AFR_UGT2B7	37.0	6.0	50.0	32.0	2317.0	427.0	225.0	28.0	12.0	69.0	nan	770.0	nan	9.0	nan	nan	9.0	2.0	nan	nan
AFR_VKORC1	9.0	27.0	37.0	26.0	270.0	227.0	33.0	16.0	nan	11.0	nan	25.0	nan	nan	nan	nan	nan	1.0	nan	nan
