Sample	missense_variant	5_prime_UTR_variant	3_prime_UTR_variant	non_coding_transcript_exon_variant	intron_variant	splice_polypyrimidine_tract_variant	synonymous_variant	downstream_gene_variant	splice_acceptor_variant	splice_region_variant	splice_donor_region_variant	frameshift_variant	stop_gained	splice_donor_variant	upstream_gene_variant	start_lost	splice_donor_5th_base_variant
ACB_CALU	1.0	4.0	9.0	1.0	63.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ACB_CYP2C9	3.0	nan	3.0	4.0	82.0	1.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan
ACB_CYP2D6	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ACB_CYP4F2	7.0	6.0	5.0	2.0	96.0	3.0	4.0	nan	1.0	1.0	nan	nan	nan	nan	nan	nan	nan
ACB_DRD2	1.0	5.0	6.0	6.0	175.0	nan	5.0	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan
ACB_GGCX	1.0	1.0	17.0	10.0	15.0	1.0	4.0	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan
ACB_OPRM1	8.0	8.0	46.0	17.0	472.0	nan	4.0	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan
ACB_UGT2B7	1.0	2.0	2.0	11.0	258.0	nan	7.0	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan
ACB_VKORC1	2.0	1.0	2.0	3.0	3.0	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
AFR_CALU	5.0	11.0	24.0	5.0	132.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
AFR_CYP2C9	7.0	nan	18.0	7.0	193.0	3.0	2.0	2.0	nan	nan	nan	1.0	nan	nan	nan	nan	nan
AFR_CYP2D6	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
AFR_CYP4F2	12.0	8.0	14.0	4.0	212.0	3.0	4.0	1.0	1.0	1.0	nan	nan	nan	nan	nan	nan	nan
AFR_DRD2	1.0	13.0	16.0	10.0	409.0	1.0	6.0	nan	nan	1.0	1.0	nan	nan	nan	nan	nan	nan
AFR_GGCX	2.0	3.0	37.0	33.0	36.0	2.0	5.0	nan	1.0	nan	nan	1.0	nan	nan	nan	nan	nan
AFR_OPRM1	20.0	17.0	135.0	46.0	1087.0	1.0	7.0	nan	1.0	2.0	1.0	nan	3.0	nan	nan	nan	nan
AFR_UGT2B7	5.0	5.0	5.0	16.0	474.0	2.0	9.0	nan	nan	3.0	nan	nan	1.0	1.0	nan	nan	nan
