Sample	Benign	Possibly damaging	Probably damaging	Unknown
ACB_CALU	9.0	nan	nan	nan
ACB_CYP2C9	2.0	1.0	2.0	nan
ACB_CYP2D6	3.0	nan	nan	nan
ACB_CYP4F2	24.0	4.0	9.0	nan
ACB_DRD2	nan	2.0	7.0	nan
ACB_GGCX	9.0	nan	nan	nan
ACB_OPRM1	40.0	nan	nan	3.0
ACB_UGT2B7	4.0	nan	nan	nan
ACB_VKORC1	nan	2.0	1.0	3.0
AFR_CALU	51.0	1.0	nan	nan
AFR_CYP2C9	6.0	1.0	6.0	nan
AFR_CYP2D6	6.0	nan	nan	nan
AFR_CYP4F2	32.0	8.0	18.0	1.0
AFR_DRD2	nan	2.0	7.0	nan
AFR_GGCX	9.0	nan	6.0	nan
AFR_OPRM1	96.0	25.0	63.0	4.0
AFR_UGT2B7	13.0	2.0	nan	nan
AFR_VKORC1	nan	2.0	1.0	6.0
ASW_CALU	30.0	1.0	nan	nan
ASW_CYP2C9	3.0	nan	nan	nan
ASW_CYP2D6	3.0	nan	nan	nan
ASW_CYP4F2	19.0	4.0	9.0	nan
ASW_GGCX	9.0	nan	nan	nan
ASW_OPRM1	28.0	4.0	18.0	2.0
ASW_UGT2B7	7.0	nan	nan	nan
ASW_VKORC1	nan	2.0	1.0	2.0
BEB_CALU	29.0	nan	nan	nan
BEB_CYP2C9	1.0	nan	nan	nan
BEB_CYP4F2	13.0	nan	4.0	nan
BEB_GGCX	9.0	nan	nan	nan
BEB_OPRM1	10.0	3.0	2.0	2.0
BEB_UGT2B7	4.0	nan	nan	nan
CDX_CALU	20.0	nan	nan	nan
CDX_GGCX	9.0	nan	nan	nan
CDX_OPRM1	37.0	10.0	19.0	3.0
CDX_UGT2B7	7.0	nan	nan	nan
CEU_CALU	29.0	nan	nan	nan
CEU_CYP2C9	1.0	1.0	2.0	nan
CEU_CYP4F2	18.0	4.0	12.0	nan
CEU_DRD2	1.0	7.0	nan	nan
CEU_GGCX	9.0	nan	nan	nan
CEU_OPRM1	nan	nan	nan	1.0
CEU_UGT2B7	4.0	nan	nan	nan
CHB_CALU	20.0	nan	nan	nan
CHB_CYP2C9	1.0	nan	nan	nan
CHB_CYP4F2	17.0	nan	5.0	nan
CHB_GGCX	9.0	nan	nan	nan
CHB_OPRM1	12.0	5.0	17.0	1.0
CHB_UGT2B7	8.0	nan	nan	nan
