Sample	00-10%	10-20%	20-30%	30-40%	40-50%	50-60%	60-70%	70-80%	80-90%	90-100%
ACB_CALU	0.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ACB_CYP2C9	0.0	0.0	11.0	5.0	5.0	11.0	1.0	0.0	16.0	3.0
ACB_CYP2D6	32.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACB_CYP4F2	20.0	44.0	18.0	16.0	10.0	6.0	15.0	4.0	20.0	46.0
ACB_DRD2	15.0	2.0	8.0	1.0	0.0	0.0	17.0	8.0	0.0	0.0
ACB_GGCX	9.0	14.0	6.0	13.0	15.0	23.0	4.0	19.0	5.0	6.0
ACB_OPRM1	18.0	5.0	3.0	2.0	9.0	0.0	0.0	14.0	4.0	14.0
ACB_UGT2B7	0.0	2.0	9.0	2.0	9.0	8.0	13.0	9.0	2.0	9.0
ACB_VKORC1	0.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	5.0
AFR_CALU	50.0	22.0	12.0	1.0	0.0	0.0	0.0	1.0	20.0	4.0
AFR_CYP2C9	0.0	0.0	29.0	19.0	7.0	25.0	21.0	30.0	16.0	5.0
AFR_CYP2D6	32.0	1.0	32.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AFR_CYP4F2	20.0	47.0	32.0	29.0	11.0	6.0	16.0	6.0	37.0	64.0
AFR_DRD2	15.0	2.0	8.0	1.0	0.0	0.0	17.0	16.0	0.0	0.0
AFR_GGCX	10.0	14.0	14.0	19.0	18.0	23.0	9.0	32.0	5.0	7.0
AFR_OPRM1	56.0	27.0	11.0	30.0	29.0	23.0	31.0	16.0	4.0	18.0
AFR_UGT2B7	1.0	15.0	12.0	7.0	20.0	11.0	19.0	17.0	4.0	9.0
AFR_VKORC1	0.0	2.0	4.0	2.0	2.0	0.0	3.0	2.0	0.0	5.0
ASW_CALU	26.0	22.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ASW_CYP2C9	0.0	0.0	4.0	12.0	1.0	1.0	0.0	0.0	14.0	4.0
ASW_CYP2D6	32.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASW_CYP4F2	20.0	44.0	15.0	16.0	2.0	3.0	15.0	4.0	20.0	46.0
ASW_DRD2	15.0	2.0	1.0	0.0	0.0	0.0	9.0	15.0	0.0	0.0
ASW_GGCX	2.0	3.0	3.0	10.0	12.0	10.0	2.0	1.0	1.0	2.0
ASW_OPRM1	33.0	7.0	6.0	5.0	12.0	3.0	0.0	14.0	3.0	5.0
ASW_UGT2B7	0.0	9.0	5.0	0.0	14.0	8.0	14.0	10.0	2.0	9.0
ASW_VKORC1	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	5.0
BEB_CALU	24.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
BEB_CYP2C9	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	17.0
BEB_CYP4F2	19.0	30.0	0.0	1.0	0.0	1.0	1.0	2.0	19.0	13.0
