Sample	Tolerated	Tolerated low confidence	Deleterious low confidence	Deleterious
ACB_CALU	9.0	nan	nan	nan
ACB_CYP2C9	nan	2.0	3.0	nan
ACB_CYP2D6	1.0	nan	nan	2.0
ACB_CYP4F2	2.0	15.0	20.0	nan
ACB_DRD2	nan	nan	1.0	8.0
ACB_GGCX	9.0	nan	nan	nan
ACB_OPRM1	20.0	18.0	5.0	nan
ACB_UGT2B7	nan	4.0	nan	nan
ACB_VKORC1	1.0	2.0	3.0	nan
AFR_CALU	48.0	2.0	2.0	nan
AFR_CYP2C9	nan	5.0	8.0	nan
AFR_CYP2D6	4.0	nan	nan	2.0
AFR_CYP4F2	3.0	20.0	36.0	nan
AFR_DRD2	nan	nan	1.0	8.0
AFR_GGCX	9.0	nan	nan	6.0
AFR_OPRM1	22.0	61.0	90.0	15.0
AFR_UGT2B7	nan	10.0	5.0	nan
AFR_VKORC1	1.0	2.0	6.0	nan
ASW_CALU	28.0	1.0	2.0	nan
ASW_CYP2C9	nan	3.0	nan	nan
ASW_CYP2D6	1.0	nan	nan	2.0
ASW_CYP4F2	2.0	10.0	20.0	nan
ASW_GGCX	9.0	nan	nan	nan
ASW_OPRM1	nan	16.0	34.0	2.0
ASW_UGT2B7	nan	7.0	nan	nan
ASW_VKORC1	1.0	1.0	3.0	nan
BEB_CALU	28.0	1.0	nan	nan
BEB_CYP2C9	nan	nan	1.0	nan
BEB_CYP4F2	2.0	10.0	5.0	nan
BEB_GGCX	9.0	nan	nan	nan
BEB_OPRM1	nan	1.0	14.0	2.0
BEB_UGT2B7	nan	4.0	nan	nan
CDX_CALU	19.0	1.0	nan	nan
CDX_GGCX	9.0	nan	nan	nan
CDX_OPRM1	nan	19.0	48.0	2.0
CDX_UGT2B7	nan	7.0	nan	nan
CEU_CALU	28.0	1.0	nan	nan
CEU_CYP2C9	nan	2.0	2.0	nan
CEU_CYP4F2	2.0	10.0	20.0	2.0
CEU_DRD2	2.0	nan	nan	6.0
CEU_GGCX	9.0	nan	nan	nan
CEU_OPRM1	nan	1.0	nan	nan
CEU_UGT2B7	nan	4.0	nan	nan
CHB_CALU	19.0	1.0	nan	nan
CHB_CYP2C9	nan	nan	1.0	nan
CHB_CYP4F2	2.0	5.0	15.0	nan
CHB_GGCX	9.0	nan	nan	nan
CHB_OPRM1	1.0	2.0	30.0	2.0
CHB_UGT2B7	nan	8.0	nan	nan
CHS_CALU	9.0	nan	nan	nan
CHS_CYP4F2	2.0	10.0	5.0	nan
CHS_GGCX	9.0	nan	nan	nan
CHS_OPRM1	1.0	1.0	nan	nan
CHS_UGT2B7	nan	4.0	nan	nan
EAS_CALU	28.0	1.0	1.0	19.0
EAS_CYP2C9	nan	2.0	2.0	nan
EAS_CYP4F2	4.0	10.0	15.0	nan
EAS_GGCX	9.0	nan	nan	nan
EAS_OPRM1	2.0	20.0	65.0	2.0
EAS_UGT2B7	nan	11.0	nan	nan
ESN_CALU	28.0	1.0	nan	nan
ESN_CYP2C9	nan	3.0	3.0	nan
ESN_CYP2D6	3.0	nan	nan	nan
