Sample	sequence_alteration	deletion	insertion	SNV
ACB_CALU	1.0	1.0	1.0	75.0
ACB_CYP2C9	nan	1.0	1.0	93.0
ACB_CYP2D6	nan	nan	nan	1.0
ACB_CYP4F2	nan	4.0	4.0	117.0
ACB_DRD2	nan	3.0	3.0	193.0
ACB_GGCX	1.0	5.0	3.0	41.0
ACB_OPRM1	2.0	16.0	14.0	524.0
ACB_UGT2B7	1.0	4.0	12.0	267.0
ACB_VKORC1	nan	nan	nan	12.0
AFR_CALU	2.0	2.0	1.0	174.0
AFR_CYP2C9	nan	4.0	2.0	227.0
AFR_CYP2D6	nan	nan	nan	2.0
AFR_CYP4F2	nan	11.0	10.0	239.0
AFR_DRD2	nan	8.0	4.0	446.0
AFR_GGCX	2.0	7.0	4.0	107.0
AFR_OPRM1	5.0	40.0	26.0	1249.0
AFR_UGT2B7	2.0	8.0	14.0	497.0
AFR_VKORC1	nan	1.0	nan	46.0
ASW_CALU	nan	nan	nan	40.0
ASW_CYP2C9	nan	nan	1.0	34.0
ASW_CYP2D6	nan	nan	nan	1.0
ASW_CYP4F2	nan	1.0	8.0	96.0
ASW_DRD2	nan	nan	nan	96.0
ASW_GGCX	nan	1.0	2.0	28.0
ASW_OPRM1	nan	6.0	2.0	216.0
ASW_UGT2B7	nan	3.0	5.0	139.0
ASW_VKORC1	nan	1.0	nan	12.0
BEB_CALU	nan	nan	nan	12.0
BEB_CYP2C9	nan	nan	nan	13.0
BEB_CYP4F2	nan	nan	2.0	29.0
BEB_DRD2	nan	nan	nan	30.0
BEB_GGCX	nan	3.0	nan	8.0
BEB_OPRM1	nan	2.0	nan	49.0
BEB_UGT2B7	1.0	1.0	3.0	41.0
BEB_VKORC1	nan	nan	nan	2.0
CDX_CALU	nan	1.0	1.0	16.0
CDX_CYP2C9	nan	nan	nan	10.0
CDX_CYP4F2	nan	nan	nan	14.0
CDX_DRD2	nan	1.0	nan	74.0
CDX_GGCX	1.0	2.0	3.0	17.0
CDX_OPRM1	nan	2.0	4.0	142.0
CDX_UGT2B7	nan	3.0	5.0	105.0
CDX_VKORC1	nan	nan	nan	4.0
CEU_CALU	nan	nan	1.0	32.0
CEU_CYP2C9	nan	nan	nan	43.0
CEU_CYP4F2	nan	1.0	4.0	57.0
CEU_DRD2	nan	2.0	1.0	90.0
CEU_GGCX	nan	4.0	2.0	21.0
CEU_OPRM1	2.0	5.0	1.0	191.0
CEU_UGT2B7	1.0	1.0	6.0	81.0
CEU_VKORC1	nan	nan	nan	8.0
