Sample	Overlapped regulatory features	Overlapped transcripts	Overlapped genes	Existing variants	Novel variants	Variants filtered out	Variants processed	Lines of input read
ACB_CALU	5	27	3	54	24	0	78	78
ACB_CYP2C9	0	23	3	72	23	0	95	95
ACB_CYP2D6	0	38	3	1	0	0	1	1
ACB_CYP4F2	0	27	4	112	13	0	125	125
ACB_DRD2	5	15	3	117	82	0	199	199
ACB_GGCX	1	52	3	43	7	0	50	50
ACB_OPRM1	9	49	5	375	181	0	556	556
ACB_UGT2B7	5	15	4	248	36	0	284	284
ACB_VKORC1	1	15	4	8	4	0	12	12
AFR_CALU	5	27	3	94	85	0	179	179
AFR_CYP2C9	0	23	3	160	73	0	233	233
AFR_CYP2D6	0	49	3	2	0	0	2	2
AFR_CYP4F2	0	27	4	201	59	0	260	260
AFR_DRD2	9	15	3	252	206	0	458	458
AFR_GGCX	3	52	3	77	43	0	120	120
AFR_OPRM1	14	49	5	824	496	0	1320	1320
AFR_UGT2B7	7	15	4	408	113	0	521	521
AFR_VKORC1	2	15	4	23	24	0	47	47
ASW_CALU	1	27	3	26	14	0	40	40
ASW_CYP2C9	0	23	3	27	8	0	35	35
ASW_CYP2D6	0	38	3	1	0	0	1	1
ASW_CYP4F2	0	27	4	91	14	0	105	105
ASW_DRD2	5	15	3	78	18	0	96	96
ASW_GGCX	1	52	3	23	8	0	31	31
ASW_OPRM1	4	49	5	165	59	0	224	224
ASW_UGT2B7	3	15	4	130	17	0	147	147
ASW_VKORC1	1	15	4	9	4	0	13	13
BEB_CALU	1	27	3	10	2	0	12	12
BEB_CYP2C9	0	23	3	13	0	0	13	13
BEB_CYP4F2	0	26	3	30	1	0	31	31
BEB_DRD2	0	15	3	24	6	0	30	30
BEB_GGCX	0	47	3	11	0	0	11	11
BEB_OPRM1	1	49	5	38	13	0	51	51
BEB_UGT2B7	1	15	4	42	4	0	46	46
BEB_VKORC1	0	15	4	2	0	0	2	2
CDX_CALU	1	27	3	9	9	0	18	18
CDX_CYP2C9	1	22	2	3	7	0	10	10
CDX_CYP4F2	0	25	2	7	7	0	14	14
CDX_DRD2	3	15	3	51	24	0	75	75
CDX_GGCX	0	52	3	20	3	0	23	23
CDX_OPRM1	4	49	5	97	51	0	148	148
CDX_UGT2B7	3	15	4	101	12	0	113	113
CDX_VKORC1	0	15	4	3	1	0	4	4
CEU_CALU	2	27	3	22	11	0	33	33
CEU_CYP2C9	1	23	3	36	7	0	43	43
CEU_CYP4F2	0	27	4	55	7	0	62	62
CEU_DRD2	4	15	3	76	17	0	93	93
CEU_GGCX	0	52	3	24	3	0	27	27
CEU_OPRM1	3	49	5	138	61	0	199	199
CEU_UGT2B7	5	15	4	82	7	0	89	89
CEU_VKORC1	1	15	4	6	2	0	8	8
CHB_CALU	2	27	3	12	15	0	27	27
CHB_CYP2C9	0	23	3	9	5	0	14	14
CHB_CYP4F2	0	27	4	33	6	0	39	39
CHB_DRD2	3	15	3	67	29	0	96	96
CHB_GGCX	1	52	3	20	3	0	23	23
CHB_OPRM1	2	49	5	120	69	0	189	189
CHB_UGT2B7	4	15	4	117	6	0	123	123
CHB_VKORC1	1	15	4	5	2	0	7	7
CHS_CALU	1	27	3	9	5	0	14	14
CHS_CYP2C9	1	23	3	3	7	0	10	10
CHS_CYP4F2	0	27	4	47	3	0	50	50
CHS_DRD2	3	15	3	56	22	0	78	78
CHS_GGCX	0	51	3	15	4	0	19	19
CHS_OPRM1	2	49	5	92	56	0	148	148
CHS_UGT2B7	3	15	4	81	3	0	84	84
CHS_VKORC1	0	15	4	5	2	0	7	7
EAS_CALU	2	27	3	29	33	0	62	62
EAS_CYP2C9	1	23	3	26	24	0	50	50
EAS_CYP4F2	0	27	4	70	19	0	89	89
EAS_DRD2	6	15	3	110	84	0	194	194
EAS_GGCX	1	52	3	32	11	0	43	43
EAS_OPRM1	7	49	5	276	187	0	463	463
EAS_UGT2B7	4	15	4	203	27	0	230	230
EAS_VKORC1	1	15	4	9	6	0	15	15
ESN_CALU	1	27	3	17	4	0	21	21
ESN_CYP2C9	0	23	3	38	14	0	52	52
ESN_CYP2D6	0	49	3	1	0	0	1	1
ESN_CYP4F2	0	27	4	71	8	0	79	79
ESN_DRD2	1	15	3	42	19	0	61	61
ESN_GGCX	0	51	3	22	7	0	29	29
ESN_OPRM1	2	49	5	160	38	0	198	198
ESN_UGT2B7	3	15	4	117	10	0	127	127
ESN_VKORC1	1	15	4	6	0	0	6	6
EUR_CALU	4	27	3	76	52	0	128	128
EUR_CYP2C9	1	23	3	95	73	0	168	168
EUR_CYP2D6	0	50	3	2	0	0	2	2
EUR_CYP4F2	0	27	4	106	40	0	146	146
EUR_DRD2	8	15	3	186	136	0	322	322
EUR_GGCX	3	52	3	50	33	0	83	83
EUR_OPRM1	16	49	5	470	432	0	902	902
EUR_UGT2B7	5	15	4	267	80	0	347	347
EUR_VKORC1	2	15	4	16	16	0	32	32
