Sample	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct
HG00097	0.33812820000000005	0.0	54.277426999999996	99.90417542679585	99.12338581213945	11.018425205847697	54.329488	174.4	54.339008	54.286947	99.9
HG00105	0.3635509	0.0	54.049591	99.86533321202822	99.36222060498488	10.340685448315408	54.122476	182.9	54.131996	54.059110999999994	99.87
HG00106	0.38422399999999995	0.0	61.616659999999996	99.86240218237594	99.06187461062574	10.535401373968503	61.70156	176.5	61.715219999999995	61.63032	99.86
HG00125	0.41415949999999996	0.0	92.95544799999999	99.9277788641323	93.77113504531101	6.253360069479867	93.02262999999999	248.2	93.099401	93.032219	99.93
HG00145	0.5226911	0.0	176.961063	99.6424509562307	99.13980634795179	8.966807798929949	177.596056	189.2	177.656813	177.02182	99.64
HG00171	0.4079467	0.0	114.97196299999999	99.97579387094586	99.34413103327137	5.786710063843589	114.9998	256.8	115.03681999999999	115.008983	99.98
HG00173	0.23512429999999998	0.0	67.377752	99.87306596203162	98.74813873113337	11.391672514035985	67.463386	163.8	67.47827699999999	67.39264299999999	99.87
HG00313	0.4050348	0.0	89.621532	99.9080152973256	97.63876648328662	5.972982534143443	89.70404599999999	258.9	89.762923	89.680409	99.91
HG00324	0.4864353	0.0	84.371101	99.93513480655643	95.66803367271433	5.881332763144716	84.42586399999999	255.5	84.49615899999999	84.441396	99.94
HG00376	0.3990623	0.0	87.376368	99.91371935052422	98.41054655213472	6.069680286363845	87.45182199999999	240.9	87.515084	87.43963	99.91
HG00407	0.37972890000000004	0.0	77.83604	99.94911375912692	95.57185949274938	6.123372193738357	77.87566799999999	266.2	77.927936	77.888308	99.95
HG00699	0.6641353	0.0	99.958548	99.90292205300089	94.28827428887595	6.245770355066299	100.05568	241.5	100.16148299999999	100.064351	99.9
HG00956	0.27074909999999996	0.0	74.714019	99.33524219756399	98.26367720588226	6.047459775113706	75.21401	243.3	75.238238	74.738247	99.34
HG01501	0.44025699999999995	0.0	60.896246999999995	99.86917316020298	99.32103472807835	10.120471949464724	60.97602	185.9	60.990857999999996	60.911085	99.87
HG01503	0.3846314	0.0	48.834421999999996	99.93741124272042	99.4499785797632	10.329705065420436	48.865006	184.7	48.876732999999994	48.846149	99.94
HG01504	0.327747	0.0	56.062495	99.91130459466045	99.36727557455175	10.149091471340382	56.112263999999996	175.2	56.125187	56.075418	99.91
HG01522	0.4563382	0.0	141.128139	99.18226646323292	97.41232422921404	8.119083202221217	142.291706	333.4	142.36825299999998	141.20468599999998	99.18
HG01596	0.3799439	0.0	0.24465299999999998	99.95056664515022	98.9565885265592	6.333188982489971	0.244774	231.6	0.24492399999999998	0.244803	99.95
HG01770	0.2628971	0.0	70.056015	99.88675197912062	99.35860958857292	10.118048446889377	70.135442	189.0	70.15334	70.07391299999999	99.89
HG01880	0.3739893	0.0	110.069355	99.98491451616692	98.83403480636342	6.24159236579138	110.085962	226.2	110.161417	110.14480999999999	99.98
HG01882	0.3522364	0.0	118.00519399999999	99.9887034684707	98.41609443588543	6.454351920985693	118.018526	203.5	118.08852999999999	118.075198	99.99
HG01886	0.3026941	0.0	341.293145	99.97682266315097	98.09246835535257	8.857026481465837	341.37226599999997	282.7	341.499141	341.42001999999997	99.98
HG01890	0.3465863	0.0	68.666477	99.90932621604487	99.36457202014714	10.306257947542106	68.728796	182.4	68.747748	68.685429	99.91
HG01986	0.2867508	0.0	116.506897	99.97439519843768	98.38450941340935	6.44950790452892	116.53673599999999	225.4	116.616141	116.58630199999999	99.97
HG02013	0.45569319999999996	0.0	98.276619	99.94039471020926	98.15968095748225	6.269551486897392	98.33523199999999	229.0	98.42590799999999	98.367295	99.94
HG02085	0.3603066	0.0	61.449301999999996	99.86972744014744	99.26102063177609	9.931303149135493	61.529458	188.0	61.547110999999994	61.466955	99.87
HG02372	0.3823682	0.0	104.045194	99.9738028672293	99.27324287853372	6.40941429479834	104.072458	222.8	104.148234	104.12097	99.97
HG02511	0.26361599999999996	0.0	59.969877	99.90704477554054	99.32669477397287	10.425080774603215	60.025673999999995	185.0	60.039766	59.983968999999995	99.91
HG02651	0.2998025	0.0	69.258575	99.9970329464228	99.56069414904253	8.645442584048109	69.26062999999999	230.9	69.326746	69.324691	100.0
HG02691	0.2609339	0.0	60.111061	99.99676442731878	99.32789253626744	8.376556647325206	60.113006	247.6	60.16818	60.166235	100.0
HG02813	0.3383867	0.0	0.229342	99.99128015974748	99.4070508628282	8.664905258935656	0.22936199999999998	239.6	0.229598	0.22957799999999998	99.99
HG02814	0.3368542	0.0	0.228901	99.97859794715002	99.37104171216423	8.460362524568684	0.22895	249.4	0.229179	0.22913	99.98
HG02840	0.3347889	0.0	0.451117	99.99224208249105	99.34523176224421	8.288115756995424	0.451152	243.0	0.451521	0.451486	99.99
HG02852	0.3726392	0.0	78.71271899999999	99.95808407430265	99.36758980417552	8.53459399180598	78.74572599999999	238.6	78.826167	78.79316	99.96
HG02878	0.3403339	0.0	0.191488	99.94363139105201	98.9477859663041	8.698511451178522	0.191596	226.0	0.19197	0.191862	99.94
HG02895	0.3621707	0.0	64.783659	99.98578084330016	99.39944011125175	8.73709533974663	64.792872	220.6	64.86483799999999	64.855625	99.99
HG02977	0.32285539999999996	0.0	74.234033	99.98505356512946	99.43647212955247	8.986936920980542	74.24513	230.5	74.31116399999999	74.300067	99.99
