Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
HG00097	54339008	0	0	0	9520	0	0	0	54286947	0	99.9	nan	54329488	0	27164744	0	27164744	0	53853228	0	99.12	nan	54277134	0	293	0	0.0	nan	52434	0	30380	0	54339008
HG00105	54131996	0	0	0	9520	0	0	0	54059111	0	99.87	nan	54122476	0	27061238	0	27061238	0	53777294	0	99.36	nan	54049314	0	277	0	0.0	nan	36858	0	21241	0	54131996
HG00106	61715220	0	0	0	13660	0	0	0	61630320	0	99.86	nan	61701560	0	30850780	0	30850780	0	61122722	0	99.06	nan	61616340	0	320	0	0.0	nan	61002	0	34299	0	61715220
HG00125	93099401	0	0	0	76771	0	0	0	93032219	0	99.93	nan	93022630	0	46511315	0	46511315	0	87228376	0	93.77	nan	92914166	0	41282	0	0.04	nan	5094768	0	4587971	0	93099401
HG00145	177656813	0	0	0	60757	0	0	0	177021820	0	99.64	nan	177596056	0	88798028	0	88798028	0	176068386	0	99.14	nan	176948198	0	12865	0	0.01	nan	413570	0	284545	0	177656813
HG00171	115036820	0	0	0	37020	0	0	0	115008983	0	99.98	nan	114999800	0	57499900	0	57499900	0	114245552	0	99.34	nan	114969342	0	2621	0	0.0	nan	316418	0	269509	0	115036820
HG00173	67478277	0	0	0	14891	0	0	0	67392643	0	99.87	nan	67463386	0	33731693	0	33731693	0	66618838	0	98.75	nan	67377374	0	378	0	0.0	nan	115592	0	75279	0	67478277
HG00313	89762923	0	0	0	58877	0	0	0	89680409	0	99.91	nan	89704046	0	44852023	0	44852023	0	87585924	0	97.64	nan	89600532	0	21000	0	0.02	nan	1250438	0	1105681	0	89762923
HG00324	84496159	0	0	0	70295	0	0	0	84441396	0	99.94	nan	84425864	0	42212932	0	42212932	0	80768564	0	95.67	nan	84332476	0	38625	0	0.05	nan	3046254	0	2740741	0	84496159
HG00376	87515084	0	0	0	63262	0	0	0	87439630	0	99.91	nan	87451822	0	43725911	0	43725911	0	86061816	0	98.41	nan	87354812	0	21556	0	0.02	nan	987982	0	873132	0	87515084
HG00407	77927936	0	0	0	52268	0	0	0	77888308	0	99.95	nan	77875668	0	38937834	0	38937834	0	74427224	0	95.57	nan	77808206	0	27834	0	0.04	nan	3094636	0	2787301	0	77927936
HG00699	100161483	0	0	0	105803	0	0	0	100064351	0	99.9	nan	100055680	0	50027840	0	50027840	0	94340774	0	94.29	nan	99901902	0	56646	0	0.06	nan	4954980	0	4436086	0	100161483
HG00956	75238238	0	0	0	24228	0	0	0	74738247	0	99.34	nan	75214010	0	37607005	0	37607005	0	73908052	0	98.26	nan	74711480	0	2539	0	0.0	nan	165312	0	125657	0	75238238
HG01501	60990858	0	0	0	14838	0	0	0	60911085	0	99.87	nan	60976020	0	30488010	0	30488010	0	60562014	0	99.32	nan	60895644	0	603	0	0.0	nan	57078	0	34544	0	60990858
HG01503	48876733	0	0	0	11727	0	0	0	48846149	0	99.94	nan	48865006	0	24432503	0	24432503	0	48596238	0	99.45	nan	48834114	0	308	0	0.0	nan	44484	0	27904	0	48876733
HG01504	56125187	0	0	0	12923	0	0	0	56075418	0	99.91	nan	56112264	0	28056132	0	28056132	0	55757228	0	99.37	nan	56062178	0	317	0	0.0	nan	48098	0	28374	0	56125187
HG01522	142368253	0	0	0	76547	0	0	0	141204686	0	99.18	nan	142291706	0	71145853	0	71145853	0	138609658	0	97.41	nan	141108554	0	19585	0	0.01	nan	2090618	0	1835531	0	142368253
HG01596	244924	0	0	0	150	0	0	0	244803	0	99.95	nan	244774	0	122387	0	122387	0	242220	0	98.96	nan	244644	0	9	0	0.0	nan	1040	0	873	0	244924
HG01770	70153340	0	0	0	17898	0	0	0	70073913	0	99.89	nan	70135442	0	35067721	0	35067721	0	69685600	0	99.36	nan	70055564	0	451	0	0.0	nan	74008	0	47155	0	70153340
HG01880	110161417	0	0	0	75455	0	0	0	110144810	0	99.98	nan	110085962	0	55042981	0	55042981	0	108802398	0	98.83	nan	110065318	0	4037	0	0.0	nan	446326	0	369744	0	110161417
HG01882	118088530	0	0	0	70004	0	0	0	118075198	0	99.99	nan	118018526	0	59009263	0	59009263	0	116149224	0	98.42	nan	117999178	0	6016	0	0.01	nan	526344	0	431290	0	118088530
HG01886	341499141	0	0	0	126875	0	0	0	341420020	0	99.98	nan	341372266	0	170686133	0	170686133	0	334860482	0	98.09	nan	341274380	0	18765	0	0.01	nan	5801962	0	5028913	0	341499141
HG01890	68747748	0	0	0	18952	0	0	0	68685429	0	99.91	nan	68728796	0	34364398	0	34364398	0	68292074	0	99.36	nan	68666014	0	463	0	0.0	nan	65004	0	35421	0	68747748
