Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent	reads_mapped_MQ1
HG00097	54329488.0	0.0	54329488.0	1.0	27164744.0	27164744.0	54277427.0	54277134.0	52061.0	53853228.0	54329488.0	0.0	5986254.0	0.0	0.0	9520.0	5470433446.0	2735216723.0	2735216723.0	5465178824.0	5460740109.0	0.0	0.0	18464303.0	0.003381282	101.0	101.0	101.0	101.0	101.0	101.0	34.7	174.4	57.0	27094155.0	11031.0	7164.0	26217.0	99.1	99.90417542679585	99.90363612482415	0.09582457320415019	99.12338581213945	100.0	0.0	11.018425205847697	0.0	48291173.0
HG00105	54122476.0	0.0	54122476.0	1.0	27061238.0	27061238.0	54049591.0	54049314.0	72885.0	53777294.0	54122476.0	0.0	5596635.0	0.0	0.0	9520.0	5455464050.0	2727732025.0	2727732025.0	5448110411.0	5441134308.0	0.0	0.0	19781291.0	0.003635509	101.0	101.0	101.0	101.0	101.0	101.0	35.1	182.9	58.6	26997176.0	4603.0	4449.0	18429.0	99.4	99.86533321202822	99.86482140987046	0.13466678797178458	99.36222060498488	100.0	0.0	10.340685448315408	0.0	48452956.0
HG00106	61701560.0	0.0	61701560.0	1.0	30850780.0	30850780.0	61616660.0	61616340.0	84900.0	61122722.0	61701560.0	0.0	6500507.0	0.0	0.0	13660.0	6215064632.0	3107532316.0	3107532316.0	6206497636.0	6198290350.0	0.0	0.0	23815315.0	0.00384224	101.0	101.0	101.0	101.0	101.0	101.0	35.2	176.5	58.1	30762052.0	7537.0	8080.0	30501.0	99.1	99.86240218237594	99.86188355691493	0.1375978176240601	99.06187461062574	100.0	0.0	10.535401373968503	0.0	55116153.0
HG00125	93022630.0	0.0	93022630.0	1.0	46511315.0	46511315.0	92955448.0	92914166.0	67182.0	87228376.0	93022630.0	0.0	5817040.0	0.0	0.0	76771.0	8367589360.0	4183794680.0	4183794680.0	8361625853.0	8322926263.0	0.0	0.0	34470189.0	0.004141595	90.0	90.0	90.0	90.0	90.0	90.0	35.5	248.2	85.9	43798255.0	40138.0	71306.0	2547384.0	93.8	99.9277788641323	99.88340041557629	0.07222113586769155	93.77113504531101	100.0	0.0	6.253360069479867	0.0	87138408.0
HG00145	177596056.0	0.0	177596056.0	1.0	88798028.0	88798028.0	176961063.0	176948198.0	634993.0	176068386.0	177596056.0	0.0	15924697.0	0.0	0.0	60757.0	13479265336.0	6739632668.0	6739632668.0	13431085026.0	13359080495.0	0.0	0.0	69826719.0	0.005226911	76.0	76.0	76.0	76.0	76.0	76.0	34.4	189.2	78.0	88177990.0	70459.0	18865.0	206785.0	99.1	99.6424509562307	99.63520698905612	0.35754904376930535	99.13980634795179	100.0	0.0	8.966807798929949	0.0	161036366.0
HG00171	114999800.0	0.0	114999800.0	1.0	57499900.0	57499900.0	114971963.0	114969342.0	27837.0	114245552.0	114999800.0	0.0	6654705.0	0.0	0.0	37020.0	10347178158.0	5173589079.0	5173589079.0	10344679651.0	10302053108.0	0.0	0.0	42026883.0	0.004079467	90.0	90.0	90.0	90.0	90.0	90.0	35.1	256.8	90.1	57306302.0	7414.0	12746.0	158209.0	99.3	99.97579387094586	99.97351473654736	0.024206129054137486	99.34413103327137	100.0	0.0	5.786710063843589	0.0	108317258.0
HG00173	67463386.0	0.0	67463386.0	1.0	33731693.0	33731693.0	67377752.0	67377374.0	85634.0	66618838.0	67463386.0	0.0	7685208.0	0.0	0.0	14891.0	6783472594.0	3391736297.0	3391736297.0	6774843040.0	6769517891.0	0.0	0.0	15916784.0	0.002351243	101.0	101.0	101.0	101.0	101.0	101.0	35.4	163.8	52.7	33608447.0	9920.0	12524.0	57796.0	98.7	99.87306596203162	99.87250565810616	0.1269340379683878	98.74813873113337	100.0	0.0	11.391672514035985	0.0	59692544.0
HG00313	89704046.0	0.0	89704046.0	1.0	44852023.0	44852023.0	89621532.0	89600532.0	82514.0	87585924.0	89704046.0	0.0	5358007.0	0.0	0.0	58877.0	8068315362.0	4034157681.0	4034157681.0	8060983233.0	8025457091.0	0.0	0.0	32505896.0	0.004050348	90.0	90.0	90.0	90.0	90.0	90.0	35.7	258.9	100.2	44135566.0	14396.0	25085.0	625219.0	97.6	99.9080152973256	99.88460498203169	0.09198470267439218	97.63876648328662	100.0	0.0	5.972982534143443	0.0	84263525.0
HG00324	84425864.0	0.0	84425864.0	1.0	42212932.0	42212932.0	84371101.0	84332476.0	54763.0	80768564.0	84425864.0	0.0	4965366.0	0.0	0.0	70295.0	7594468662.0	3797234331.0	3797234331.0	7589624087.0	7543780676.0	0.0	0.0	36695616.0	0.004864353	90.0	90.0	90.0	90.0	90.0	90.0	34.0	255.5	90.7	40570476.0	25240.0	47395.0	1523127.0	95.7	99.93513480655643	99.88938460848917	0.06486519344356369	95.66803367271433	100.0	0.0	5.881332763144716	0.0	79405735.0
HG00376	87451822.0	0.0	87451822.0	1.0	43725911.0	43725911.0	87376368.0	87354812.0	75454.0	86061816.0	87451822.0	0.0	5308046.0	0.0	0.0	63262.0	7866147008.0	3933073504.0	3933073504.0	7859483322.0	7824492054.0	0.0	0.0	31224596.0	0.003990623	90.0	90.0	90.0	90.0	90.0	90.0	35.6	240.9	77.8	43148354.0	14895.0	20166.0	493991.0	98.4	99.91371935052422	99.8890703500723	0.0862806494757765	98.41054655213472	100.0	0.0	6.069680286363845	0.0	82068322.0
