Sample	Total Reads	Total Passed QC	Mapped	Supplementary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
HG00097	100.0	100.0	99.90419221491861	0.017519642611068646	0.0	99.98248035738894	99.10601974920117	99.88613336481961	0.0005392074879246967	0.09649421645680392	0.0559082712735573
HG00105	100.0	100.0	99.86535689539325	0.01758664136456376	0.0	99.98241335863544	99.34474612759522	99.84725854187974	0.0005117121489479162	0.06808912052679528	0.039239269876544
HG00106	100.0	100.0	99.86243263817256	0.02213392417624048	0.0	99.97786607582377	99.03994833041185	99.83978020332748	0.0005185106688431151	0.09884433693989911	0.05557624197078128
HG00125	100.0	100.0	99.92783841863816	0.08246132539563815	0.0	99.91753867460437	93.69381012451412	99.80103523974337	0.04434185349914335	5.472396111334809	4.9280349290324645
HG00145	100.0	100.0	99.64257323472306	0.034199082474816206	0.0	99.96580091752519	99.10590144381347	99.60113266244397	0.007241489804277869	0.23279152260825484	0.1601655434402057
HG00171	100.0	100.0	99.97580166072045	0.03218100083086441	0.0	99.96781899916914	99.31216109763812	99.94134225893936	0.00227840095023489	0.27505802055376705	0.2342806416241339
HG00173	100.0	100.0	99.87309397363539	0.022067842662906168	0.0	99.9779321573371	98.72634714724562	99.85046595069403	0.0005601802784620598	0.1713025363703344	0.11156034704324178
HG00313	100.0	100.0	99.908075631628	0.06559166973651248	0.0	99.9344083302635	97.57472358604008	99.81908900181425	0.023394960077224757	1.3930450994783226	1.2317791834831404
HG00324	100.0	100.0	99.93518876994159	0.0831931307078704	0.0	99.91680686929213	95.58844444041533	99.80628350218853	0.045712137045188055	3.605198196050545	3.2436279144949065
HG00376	100.0	100.0	99.91378172018895	0.07228696712443308	0.0	99.92771303287556	98.33940855270161	99.81686357062743	0.024631182437075648	1.1289276714857521	0.9976931519599525
HG00407	100.0	100.0	99.94914788966052	0.06707222426627596	0.0	99.93292777573373	95.50775732081497	99.84635805059689	0.03571761479734302	3.971150987496961	3.5767673867302223
HG00699	100.0	100.0	99.90302459878714	0.10563242159663312	0.0	99.89436757840336	94.18867530146294	99.74083750337442	0.05655467381608158	4.946991449797125	4.4289340244692665
HG00956	100.0	100.0	99.33545626095072	0.032201711050171056	0.0	99.96779828894982	98.23203462048114	99.2998799360506	0.0033746138499415683	0.2197180641045847	0.1670121514541582
HG01501	100.0	100.0	99.86920498806559	0.024328236208777387	0.0	99.97567176379121	99.2968716721447	99.8438880790954	0.0009886727614161453	0.09358451720748051	0.05663799646825759
