Sample	Total Reads	Total Passed QC	Mapped	Supplementary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
HG00097	54.339008	54.339008	54.286947	0.009519999999999999	0.0	54.329488	53.853227999999994	54.277134	0.00029299999999999997	0.052433999999999995	0.030379999999999997
HG00105	54.131996	54.131996	54.059110999999994	0.009519999999999999	0.0	54.122476	53.777294	54.049313999999995	0.000277	0.036857999999999995	0.021241
HG00106	61.715219999999995	61.715219999999995	61.63032	0.013659999999999999	0.0	61.70156	61.122721999999996	61.616339999999994	0.00031999999999999997	0.061002	0.034298999999999996
HG00125	93.099401	93.099401	93.032219	0.07677099999999999	0.0	93.02262999999999	87.228376	92.914166	0.041282	5.094768	4.587971
HG00145	177.656813	177.656813	177.02182	0.060757	0.0	177.596056	176.068386	176.948198	0.012865	0.41357	0.284545
HG00171	115.03681999999999	115.03681999999999	115.008983	0.03702	0.0	114.9998	114.24555199999999	114.969342	0.002621	0.316418	0.269509
HG00173	67.47827699999999	67.47827699999999	67.39264299999999	0.014891	0.0	67.463386	66.618838	67.377374	0.00037799999999999997	0.115592	0.075279
HG00313	89.762923	89.762923	89.680409	0.058877	0.0	89.70404599999999	87.58592399999999	89.600532	0.020999999999999998	1.250438	1.105681
HG00324	84.49615899999999	84.49615899999999	84.441396	0.070295	0.0	84.42586399999999	80.768564	84.332476	0.038625	3.046254	2.740741
HG00376	87.515084	87.515084	87.43963	0.063262	0.0	87.45182199999999	86.061816	87.354812	0.021556	0.9879819999999999	0.8731319999999999
HG00407	77.927936	77.927936	77.888308	0.052267999999999995	0.0	77.87566799999999	74.427224	77.808206	0.027833999999999998	3.094636	2.787301
HG00699	100.16148299999999	100.16148299999999	100.064351	0.105803	0.0	100.05568	94.340774	99.90190199999999	0.056645999999999995	4.95498	4.4360859999999995
HG00956	75.238238	75.238238	74.738247	0.024228	0.0	75.21401	73.908052	74.71148	0.002539	0.165312	0.125657
HG01501	60.990857999999996	60.990857999999996	60.911085	0.014837999999999999	0.0	60.97602	60.562014	60.895644	0.000603	0.057078	0.034544
HG01503	48.876732999999994	48.876732999999994	48.846149	0.011727	0.0	48.865006	48.596238	48.834114	0.000308	0.044483999999999996	0.027903999999999998
HG01504	56.125187	56.125187	56.075418	0.012922999999999999	0.0	56.112263999999996	55.757228	56.062177999999996	0.000317	0.048097999999999995	0.028374
HG01522	142.36825299999998	142.36825299999998	141.20468599999998	0.07654699999999999	0.0	142.291706	138.609658	141.108554	0.019584999999999998	2.090618	1.835531
HG01596	0.24492399999999998	0.24492399999999998	0.244803	0.00015	0.0	0.244774	0.24222	0.244644	9e-06	0.00104	0.000873
HG01770	70.15334	70.15334	70.07391299999999	0.017898	0.0	70.135442	69.6856	70.05556399999999	0.00045099999999999996	0.07400799999999999	0.047154999999999996
HG01880	110.161417	110.161417	110.14480999999999	0.075455	0.0	110.085962	108.802398	110.06531799999999	0.004037	0.446326	0.36974399999999996
HG01882	118.08852999999999	118.08852999999999	118.075198	0.070004	0.0	118.018526	116.14922399999999	117.999178	0.006016	0.5263439999999999	0.43129
HG01886	341.499141	341.499141	341.42001999999997	0.126875	0.0	341.37226599999997	334.860482	341.27438	0.018765	5.801962	5.028913
HG01890	68.747748	68.747748	68.685429	0.018952	0.0	68.728796	68.292074	68.66601399999999	0.000463	0.06500399999999999	0.035421
HG01986	116.616141	116.616141	116.58630199999999	0.07940499999999999	0.0	116.53673599999999	114.654096	116.503006	0.003891	0.37901999999999997	0.288717
HG02013	98.42590799999999	98.42590799999999	98.367295	0.09067599999999999	0.0	98.33523199999999	96.52555	98.260446	0.016173	0.44723199999999996	0.35026799999999997
HG02085	61.547110999999994	61.547110999999994	61.466955	0.017653	0.0	61.529458	61.074768	61.448794	0.000508	0.065284	0.036295999999999995
HG02372	104.148234	104.148234	104.12097	0.075776	0.0	104.072458	103.316104	104.040908	0.004286	0.48701999999999995	0.42027899999999996
HG02511	60.039766	60.039766	59.983968999999995	0.014091999999999999	0.0	60.025673999999995	59.621517999999995	59.969556	0.000321	0.058112	0.036612
HG02651	69.326746	69.326746	69.324691	0.066116	0.0	69.26062999999999	68.956364	69.257318	0.0012569999999999999	0.227188	0.19061899999999998
HG02691	60.16818	60.16818	60.166235	0.055174	0.0	60.113006	59.708982	60.109936	0.001125	0.20052399999999998	0.163901
HG02813	0.229598	0.229598	0.22957799999999998	0.000236	0.0	0.22936199999999998	0.22800199999999998	0.22933599999999998	6e-06	0.000962	0.000781
HG02814	0.229179	0.229179	0.22913	0.00022899999999999998	0.0	0.22895	0.22751	0.228896	4.9999999999999996e-06	0.0009639999999999999	0.000815
HG02840	0.451521	0.451521	0.451486	0.00036899999999999997	0.0	0.451152	0.448198	0.451106	1.1e-05	0.002134	0.0018089999999999998
HG02852	78.826167	78.826167	78.79316	0.080441	0.0	78.74572599999999	78.24772999999999	78.710208	0.0025109999999999998	0.319382	0.268414
HG02878	0.19197	0.19197	0.191862	0.000374	0.0	0.191596	0.18958	0.19148199999999999	6e-06	0.001468	0.00113
HG02895	64.86483799999999	64.86483799999999	64.855625	0.071966	0.0	64.792872	64.403752	64.781836	0.001823	0.293858	0.241481
HG02977	74.31116399999999	74.31116399999999	74.300067	0.066034	0.0	74.24513	73.82673799999999	74.23243	0.0016029999999999998	0.274818	0.227787
HG02981	59.104884	59.104884	59.098149	0.065332	0.0	59.039552	56.67035	59.029987999999996	0.002829	2.17699	1.9159469999999998
HG02982	0.35752799999999996	0.35752799999999996	0.35750499999999996	0.000348	0.0	0.35718	0.35403599999999996	0.35715199999999997	4.9999999999999996e-06	0.0026019999999999997	0.002225
HG03076	8.795454	8.795454	8.794208	0.0023	0.0	8.793154	8.72979	8.791636	0.000272	0.0406	0.034041999999999996
HG03078	7.055829999999999	7.055829999999999	7.024274999999999	0.0024879999999999998	0.0	7.053342	6.94212	6.995051999999999	0.026735	0.023492	0.017789
HG03105	61.919366	61.919366	61.914184	0.06844399999999999	0.0	61.850922	61.418254	61.844553999999995	0.001186	0.333248	0.285038
