Sample	Chromosome X	Chromosome Y
HG00097	3494759.0	57307.0
HG00105	1873357.0	221083.0
HG00106	3932828.0	63584.0
HG00125	4427502.0	59543.0
HG00145	4709173.0	968453.0
HG00171	5460727.0	65153.0
HG00173	4198406.0	73752.0
HG00313	4142083.0	54982.0
HG00324	4037990.0	50556.0
HG00376	3883358.0	54058.0
HG00407	3774388.0	49019.0
HG00699	4757135.0	67719.0
HG00956	3545854.0	45500.0
HG01501	3784869.0	62870.0
HG01503	1671495.0	196160.0
HG01504	3555424.0	61036.0
HG01522	7185239.0	70298.0
HG01596	6213.0	1002.0
HG01770	4420279.0	74523.0
HG01880	5252899.0	66850.0
HG01882	3083902.0	528597.0
HG01886	18162889.0	243775.0
HG01890	2323990.0	281278.0
HG01986	2820296.0	471573.0
HG02013	2464314.0	419445.0
HG02085	2097704.0	279887.0
HG02372	4923780.0	433525.0
HG02511	3887017.0	58594.0
HG02651	1802466.0	418730.0
HG02691	3122701.0	48792.0
HG02813	5922.0	1372.0
HG02814	11205.0	207.0
HG02840	22147.0	366.0
HG02852	3777010.0	66215.0
HG02878	4837.0	1315.0
HG02895	1674082.0	385579.0
HG02977	1915506.0	413348.0
HG02981	1518331.0	336012.0
HG02982	9014.0	2173.0
HG03076	401642.0	5891.0
HG03078	175435.0	23778.0
HG03105	2892366.0	51804.0
HG03139	1674061.0	355945.0
HG03157	1768560.0	382578.0
HG03267	3103645.0	50109.0
HG03303	3051730.0	52160.0
HG03436	98833.0	12772.0
HG03437	164939.0	2252.0
HG03446	3106590.0	63644.0
HG03558	1402630.0	31580.0
HG03572	151976.0	1884.0
HG03603	2148735.0	461913.0
HG03619	7705167.0	209110.0
HG03672	1444695.0	329147.0
HG03723	3166323.0	47199.0
HG03790	1887501.0	429206.0
HG03814	2179849.0	34098.0
NA06989	23737.0	629.0
NA11840	2435252.0	35609.0
NA12046	3105181.0	65311.0
NA12234	4238539.0	62994.0
NA12347	2826473.0	475637.0
NA18488	8944419.0	248310.0
NA18498	2014976.0	546259.0
NA18499	29041.0	351.0
NA18526	4482873.0	57723.0
NA18530	2853234.0	477312.0
NA18645	1569978.0	194651.0
NA18858	5949484.0	65560.0
NA18870	6749813.0	82117.0
NA18946	11473.0	197.0
NA18993	3876065.0	57744.0
NA19001	15670.0	257.0
NA19020	1568979.0	195633.0
NA19036	3761933.0	67355.0
NA19175	1875167.0	257937.0
NA19184	2168275.0	252117.0
NA19201	2586832.0	40138.0
NA19307	2579182.0	305258.0
NA19324	2524165.0	38066.0
NA19347	3413580.0	532603.0
NA19372	2434037.0	279201.0
NA19922	2250524.0	259896.0
NA20274	2382833.0	39825.0
NA20339	4539105.0	66753.0
NA20342	1298154.0	232559.0
NA20351	2749980.0	323184.0
NA20355	2233763.0	39621.0
NA20503	4715196.0	75430.0
NA20506	1756995.0	38362.0
NA20507	3425112.0	62473.0
NA20511	1520151.0	295095.0
NA20761	4091545.0	53289.0
NA20864	2643076.0	443588.0
NA20900	2526749.0	40879.0
NA21092	1570793.0	260179.0
