Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
HG00097	54.329488	54.277134	53.853227999999994	0.0	0.0	5.986254	5460.740108999999	0.0	0.0	0.026216999999999997	0.007163999999999999	27.094154999999997	0.011031
HG00105	54.122476	54.049313999999995	53.777294	0.0	0.0	5.596635	5441.134308	0.0	0.0	0.018428999999999997	0.004449	26.997176	0.0046029999999999995
HG00106	61.70156	61.616339999999994	61.122721999999996	0.0	0.0	6.500507	6198.290349999999	0.0	0.0	0.030501	0.00808	30.762051999999997	0.007536999999999999
HG00125	93.02262999999999	92.914166	87.228376	0.0	0.0	5.8170399999999995	8322.926263	0.0	0.0	2.547384	0.071306	43.798255	0.040138
HG00145	177.596056	176.948198	176.068386	0.0	0.0	15.924697	13359.080495	0.0	0.0	0.206785	0.018865	88.17799	0.070459
HG00171	114.9998	114.969342	114.24555199999999	0.0	0.0	6.654705	10302.053108	0.0	0.0	0.158209	0.012745999999999999	57.306301999999995	0.007414
HG00173	67.463386	67.377374	66.618838	0.0	0.0	7.685207999999999	6769.5178909999995	0.0	0.0	0.057796	0.012523999999999999	33.608447	0.00992
HG00313	89.70404599999999	89.600532	87.58592399999999	0.0	0.0	5.358007	8025.457090999999	0.0	0.0	0.625219	0.025085	44.135566	0.014395999999999999
HG00324	84.42586399999999	84.332476	80.768564	0.0	0.0	4.9653659999999995	7543.780675999999	0.0	0.0	1.523127	0.047395	40.570476	0.02524
HG00376	87.45182199999999	87.354812	86.061816	0.0	0.0	5.308046	7824.492053999999	0.0	0.0	0.49399099999999996	0.020166	43.148354	0.014894999999999999
HG00407	77.87566799999999	77.808206	74.427224	0.0	0.0	4.768617	6969.664409999999	0.0	0.0	1.547318	0.044365999999999996	37.287592	0.024827
HG00699	100.05568	99.90190199999999	94.340774	0.0	0.0	6.249248	8913.059078	0.0	0.0	2.47749	0.07307999999999999	47.359094999999996	0.041285999999999996
