Sample	Mapped (with MQ>0)	MQ0	Unmapped
HG00097	48291173.0	5986254.0	52061.0
HG00105	48452956.0	5596635.0	72885.0
HG00106	55116153.0	6500507.0	84900.0
HG00125	87138408.0	5817040.0	67182.0
HG00145	161036366.0	15924697.0	634993.0
HG00171	108317258.0	6654705.0	27837.0
HG00173	59692544.0	7685208.0	85634.0
HG00313	84263525.0	5358007.0	82514.0
HG00324	79405735.0	4965366.0	54763.0
HG00376	82068322.0	5308046.0	75454.0
HG00407	73067423.0	4768617.0	39628.0
HG00699	93709300.0	6249248.0	97132.0
HG00956	70165482.0	4548537.0	499991.0
HG01501	54725186.0	6171061.0	79773.0
HG01503	43786811.0	5047611.0	30584.0
HG01504	50367610.0	5694885.0	49769.0
HG01522	129575357.0	11552782.0	1163567.0
HG01596	229151.0	15502.0	121.0
HG01770	62959677.0	7096338.0	79427.0
HG01880	103198238.0	6871117.0	16607.0
HG01882	110387863.0	7617331.0	13332.0
HG01886	311057713.0	30235432.0	79121.0
HG01890	61583110.0	7083367.0	62319.0
HG01986	108990851.0	7516046.0	29839.0
HG02013	92111441.0	6165178.0	58613.0
HG02085	55338625.0	6110677.0	80156.0
HG02372	97374759.0	6670435.0	27264.0
HG02511	53712152.0	6257725.0	55797.0
HG02651	63270687.0	5987888.0	2055.0
HG02691	55075661.0	5035400.0	1945.0
HG02813	209468.0	19874.0	20.0
HG02814	209531.0	19370.0	49.0
HG02840	413725.0	37392.0	35.0
HG02852	71992091.0	6720628.0	33007.0
HG02878	174822.0	16666.0	108.0
HG02895	59122644.0	5661015.0	9213.0
HG02977	67561670.0	6672363.0	11097.0
HG02981	53953508.0	5079309.0	6735.0
HG02982	325537.0	31620.0	23.0
HG03076	7883020.0	908888.0	1246.0
HG03078	6262467.0	759320.0	31555.0
HG03105	56582157.0	5263583.0	5182.0
HG03139	59119333.0	5556373.0	4370.0
HG03157	62882606.0	5958295.0	6449.0
HG03267	58004235.0	5379377.0	7024.0
HG03303	58567057.0	5203072.0	20715.0
HG03436	3484504.0	403270.0	382.0
HG03437	3147384.0	358613.0	1157.0
HG03446	60921651.0	5896574.0	13023.0
HG03558	23830784.0	4060039.0	13263.0
HG03572	2822460.0	324748.0	918.0
HG03603	75868013.0	7229954.0	11171.0
HG03619	136661274.0	12563958.0	46580.0
HG03672	50187220.0	4826411.0	1947.0
HG03723	57023923.0	5139025.0	2912.0
HG03790	66338349.0	6364712.0	3165.0
HG03814	42563019.0	3716384.0	5655.0
NA06989	431695.0	40828.0	3099.0
NA11840	44612074.0	4113094.0	40014.0
NA12046	43966885.0	5564803.0	348058.0
NA12234	57846892.0	6869001.0	49491.0
NA12347	105957929.0	6766369.0	21212.0
NA18488	164829819.0	16170086.0	350003.0
NA18498	71703112.0	7431343.0	239635.0
NA18499	534114.0	55511.0	67.0
NA18526	91703419.0	5781367.0	59420.0
NA18530	106640216.0	6692170.0	18642.0
NA18645	41319842.0	5124497.0	40641.0
NA18858	115680674.0	7360550.0	40254.0
NA18870	124518958.0	12842041.0	33751.0
NA18946	137428.0	16229.0	213.0
NA18993	57454489.0	6556208.0	125427.0
NA19001	222383.0	25813.0	448.0
NA19020	41296165.0	5041173.0	86660.0
NA19036	52702314.0	6619947.0	36421.0
NA19175	48507868.0	5954503.0	27513.0
NA19184	56362838.0	6629414.0	60340.0
NA19201	47809985.0	4864849.0	24942.0
NA19307	66978082.0	7830530.0	112626.0
NA19324	45812722.0	4578464.0	10232.0
NA19347	117120968.0	12184876.0	188428.0
NA19372	64283298.0	7722811.0	29391.0
NA19922	59113534.0	6389766.0	16662.0
NA20274	45175045.0	4274111.0	8296.0
NA20339	64895333.0	7330778.0	106317.0
NA20342	46359017.0	4354007.0	12746.0
NA20351	71060518.0	8093849.0	123215.0
NA20355	41757579.0	4150717.0	7204.0
NA20503	67080264.0	7709695.0	69087.0
NA20506	43824346.0	5226688.0	84770.0
NA20507	47998952.0	6053307.0	89927.0
NA20511	53300655.0	5023098.0	9085.0
NA20761	81597555.0	5119212.0	129047.0
NA20864	99425372.0	6611610.0	23278.0
NA20900	49982144.0	4602186.0	4918.0
NA21092	54444305.0	5201627.0	43012.0
