# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/ASW/NA20339/aligned/NA20339.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	a410a759	01b28d50	d2d49a64
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	72332428	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	72332428
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	36166214
SN	last fragments:	36166214
SN	reads mapped:	72226111
SN	reads mapped and paired:	72225660	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	106317
SN	reads properly paired:	71943586	# proper-pair bit set
SN	reads paired:	72332428	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	7330778	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	14178
SN	total length:	7298768756	# ignores clipping
SN	total first fragment length:	3649384378	# ignores clipping
SN	total last fragment length:	3649384378	# ignores clipping
SN	bases mapped:	7288040535	# ignores clipping
SN	bases mapped (cigar):	7283647123	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	17020926	# from NM fields
SN	error rate:	2.336869e-03	# mismatches / bases mapped (cigar)
SN	average length:	101
SN	average first fragment length:	101
SN	average last fragment length:	101
SN	maximum length:	101
SN	maximum first fragment length:	101
SN	maximum last fragment length:	101
SN	average quality:	36.8
SN	insert size average:	209.3
SN	insert size standard deviation:	71.2
SN	inward oriented pairs:	36072865
SN	outward oriented pairs:	5329
SN	pairs with other orientation:	5393
SN	pairs on different chromosomes:	29243
SN	percentage of properly paired reads (%):	99.5
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	54009	0	0	0	0	0	0	0	99259	0	0	0	0	0	103776	0	0	3358	0	0	16512	61378	0	63211	186157	271591	157736	0	1092582	9264032	0	2896966	21895647	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	21647	0	0	0	0	0	141913	0	0	14054	0	0	14084	42544	0	91053	148864	282626	166325	0	902053	7247556	0	1268322	25825173	0	0	0	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	19523	0	0	0	0	0	67241	0	0	2959	0	0	17638	40294	0	78748	143314	298196	197151	0	887026	6760022	0	1296935	26357167	0	0	0	0	0	0	0	0
FFQ	4	0	0	5138	0	0	0	0	0	0	0	11564	0	0	0	0	0	16698	0	0	30120	0	0	14226	0	0	39344	68771	4523	110284	2213	199961	5272	317130	540760	0	4994286	0	29805924	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	25832	0	0	0	0	0	27411	0	0	39020	0	0	19787	0	0	58460	93241	5662	130994	2225	248820	6462	357842	613442	0	5210420	0	29326596	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	24	0	3018	0	17778	6064	0	0	17	4120	4837	34459	11564	13127	0	1920	1481	22059	15	67326	85643	11334	88495	53073	244170	39405	403414	578189	67	4769365	517783	29187467	0	0	0	0	0
FFQ	7	0	0	0	0	0	9	60	0	3554	0	19866	6283	9	0	27	4438	5661	35559	12356	12181	12	2361	1759	22595	48	70031	87019	15342	87893	52868	248060	42794	412304	588778	166	4798275	518850	29117056	0	0	0	0	0
FFQ	8	0	0	0	0	0	23	71	3	4563	0	25059	7910	18	0	29	5404	6011	40848	13635	12994	60	2855	2017	23699	60	74986	90645	22180	86155	53845	258588	42746	424373	604511	151	4849635	526490	28986650	0	0	0	0	0
FFQ	9	0	0	0	0	0	24	34	11	3890	1	22375	7278	31	12	16	5533	5456	39967	15227	13042	138	2805	2126	22944	126	75221	32039	92696	77106	54788	259203	32769	376519	396614	281289	1423628	1618	2872166	2280781	27768741	0	0	0
FFQ	10	0	0	0	0	0	40	49	19	4538	2	23991	7571	66	11	34	5669	5737	40590	15626	13592	248	2923	2348	23632	181	74532	31841	110753	56943	56419	260422	31788	374256	402396	275736	1434081	1455	2864396	2371684	27672645	0	0	0
FFQ	11	0	0	0	0	0	48	51	22	3286	16	18733	5759	73	10	21	4851	5454	36796	15702	13155	240	3031	2278	23722	322	75378	32896	135337	33298	57075	265563	31869	380772	408629	275486	1452535	1412	2884980	2463692	27533722	0	0	0
FFQ	12	0	0	0	0	0	55	46	29	4009	51	22821	7112	88	11	28	5243	5854	37874	15346	13407	306	3249	2367	24967	501	75817	32794	152757	13440	58156	268081	30738	381221	414017	274438	1468918	1619	2921934	2594226	27334694	0	0	0
