# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/ASW/NA20342/aligned/NA20342.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	61317b33	f5709634	de311158
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	50725770	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	50725770
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	25362885
SN	last fragments:	25362885
SN	reads mapped:	50713024
SN	reads mapped and paired:	50711170	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	12746
SN	reads properly paired:	50245622	# proper-pair bit set
SN	reads paired:	50725770	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	4354007	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	32772
SN	total length:	5068749490	# ignores clipping
SN	total first fragment length:	2534374745	# ignores clipping
SN	total last fragment length:	2534374745	# ignores clipping
SN	bases mapped:	5067487694	# ignores clipping
SN	bases mapped (cigar):	5059125208	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	14891066	# from NM fields
SN	error rate:	2.943407e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	37.4
SN	insert size average:	246.5
SN	insert size standard deviation:	88.5
SN	inward oriented pairs:	25155339
SN	outward oriented pairs:	13593
SN	pairs with other orientation:	11267
SN	pairs on different chromosomes:	175386
SN	percentage of properly paired reads (%):	99.1
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	12866	0	0	0	0	0	0	0	0	119	308	3675	2905	0	303	0	337	412	448	10735	0	2090	8888	3281	1578	20638	12495	2802	46805	17966	64429	62065	11217	236537	24174	299904	234474	191707	1580969	3364592	19144166	0
FFQ	2	2963	0	0	0	99	132	211	2567	836	1953	1105	7209	3724	2580	2329	2111	3744	5735	7368	10433	4124	5056	10319	12967	7375	19674	22874	20842	42673	34083	56945	70393	21079	228569	30910	320647	275570	186853	1550945	3414488	18971400	0
FFQ	3	169	0	0	0	121	363	777	2153	1117	1823	2255	7249	3422	2641	2625	2436	3936	7153	8161	11301	5764	4895	10147	15477	7456	22264	20344	25361	41605	34763	54118	72630	22964	227479	31161	324144	282361	188337	1519327	3429353	18965233	0
FFQ	4	75	0	0	0	149	585	1287	2030	1785	1849	3796	6282	3185	2862	3036	2475	3757	7379	7773	11073	6806	4562	10543	15676	7127	23636	17850	25858	41698	32189	51937	71760	23171	224901	30543	328342	284585	190256	1501919	3474606	18935542	0
FFQ	5	0	0	0	3	151	844	1684	1948	2409	2008	4294	5781	3196	2930	3760	2556	4062	7551	7738	11068	7269	5129	11203	15803	6983	22515	17807	23659	42177	30594	50696	68257	22909	222850	29267	338171	296903	191591	1472830	3539531	18884758	0
FFQ	6	2	0	0	9	134	678	1004	1271	837	1137	2158	2043	1406	1425	2398	2153	3425	5545	5528	8731	7568	7493	12145	17019	6834	18690	17829	20523	42314	27333	47220	63282	24930	206488	24776	353121	305353	164952	1424556	3589931	18940644	0
FFQ	7	0	0	0	6	107	551	826	1054	760	916	1898	2517	1638	1448	1834	2425	3130	5394	5952	10184	7637	7327	12237	17576	7580	20276	18171	26543	42283	32853	48801	76873	32999	216339	27631	373951	296780	191447	1461911	3535384	18867646	0
FFQ	8	0	0	0	5	61	415	662	818	751	855	1664	2358	1635	1428	1746	2557	3188	5153	6191	10244	7500	7295	12356	18419	7980	20454	18672	29006	41312	36676	48896	81579	34720	221875	30278	376847	300415	205349	1485199	3516966	18821360	0
FFQ	9	0	0	0	5	59	284	538	727	681	904	1897	2877	1817	1403	1688	2497	3223	5381	6713	10891	7601	7186	12522	19255	8443	21210	18699	32490	40946	39888	49362	86227	35721	230632	31720	382778	304449	212285	1489331	3490038	18800517	0
FFQ	10	0	0	0	2	40	193	479	626	723	888	1839	2884	1779	1400	1688	2509	3252	5459	6969	11271	7490	7182	12476	20305	8399	21831	18786	34106	40590	42116	50024	88779	36172	237493	32063	391364	311741	222097	1516790	3506515	18714565	0
