# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/ESN/HG03303/aligned/HG03303.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	66b84639	bca936e2	95dd5a6c
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	63790844	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	63790844
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	31895422
SN	last fragments:	31895422
SN	reads mapped:	63770129
SN	reads mapped and paired:	63767904	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	20715
SN	reads properly paired:	63230316	# proper-pair bit set
SN	reads paired:	63790844	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5203072	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	82571
SN	total length:	6374097336	# ignores clipping
SN	total first fragment length:	3187048668	# ignores clipping
SN	total last fragment length:	3187048668	# ignores clipping
SN	bases mapped:	6372034412	# ignores clipping
SN	bases mapped (cigar):	6364309348	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	24092966	# from NM fields
SN	error rate:	3.785637e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	35.1
SN	insert size average:	223.3
SN	insert size standard deviation:	69.4
SN	inward oriented pairs:	31640494
SN	outward oriented pairs:	9878
SN	pairs with other orientation:	10438
SN	pairs on different chromosomes:	223142
SN	percentage of properly paired reads (%):	99.1
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	17426	0	0	0	0	0	0	0	121784	0	0	0	0	0	172243	0	0	598	0	0	48014	192862	0	140978	584751	823872	382616	0	2752073	13926271	0	1712942	11018992	0	0	0	0	0	0	0	0
FFQ	2	0	0	2353	0	0	0	0	0	0	0	72889	0	0	0	0	0	172013	0	0	2229	0	0	74936	149275	0	157783	481458	907663	365805	0	2308000	12443588	0	796075	13961355	0	0	0	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	52335	0	0	0	0	0	132054	0	0	439	0	0	80354	130770	0	147681	440785	915776	365033	0	2220906	11823389	0	737296	14848604	0	0	0	0	0	0	0	0
FFQ	4	0	0	87547	0	0	0	0	0	0	0	50007	0	0	0	0	0	75163	0	0	48392	0	0	66984	0	0	124658	230567	20687	314299	7529	592714	16628	803295	1281816	0	9024202	0	19150934	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	87861	0	0	0	0	0	105394	0	0	157535	0	0	81176	0	0	175508	284977	22282	364179	7351	685248	16654	861852	1382237	0	8980942	0	18682226	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	50	0	7820	0	55647	20069	0	0	41	7279	16302	83707	42078	46481	0	6873	5677	79427	80	197705	262642	36077	245106	169222	656334	75870	1021388	1335200	84	8437647	649638	18436978	0	0	0	0	0
FFQ	7	0	0	0	0	0	22	188	0	10185	0	67467	23961	29	0	100	7852	18118	82319	43935	46356	30	7819	5832	80506	103	205694	264819	41996	216201	168629	665138	78058	999772	1360180	128	8463127	660500	18376358	0	0	0	0	0
FFQ	8	0	0	0	0	0	67	148	7	11639	0	74207	26371	42	2	74	9785	19190	93425	46045	48161	76	8516	6571	82172	87	210047	269938	55069	214522	169429	672907	79634	1009894	1368780	131	8479917	664556	18274013	0	0	0	0	0
FFQ	9	0	0	0	0	0	68	129	30	10302	1	68409	23361	66	11	95	9494	18717	91010	47356	48339	239	8593	6728	82750	148	211201	90049	261866	195822	169475	675187	61867	901852	930462	593164	2899290	2141	4800750	1966387	17720063	0	0	0
FFQ	10	0	0	0	0	0	117	142	42	11643	7	73968	25543	139	15	92	9174	19071	87793	48592	49835	408	8850	6668	84995	305	216516	89889	307848	147683	172874	682932	61871	904307	936572	593196	2916378	1952	4810716	1991824	17633465	0	0	0
FFQ	11	0	0	0	0	0	144	92	58	9105	43	59899	20842	194	7	75	9130	17850	84827	45514	46148	496	8954	6630	82495	645	210536	88169	359972	89638	170271	677328	61420	902072	936920	591994	2923953	1986	4835086	2021891	17631038	0	0	0
FFQ	12	0	0	0	0	0	151	133	115	11533	152	71799	24731	241	14	89	9364	19703	85251	50011	50616	528	9474	7092	88227	1048	219019	92636	419429	38022	177158	696636	59670	907252	953244	585037	2939789	2160	4828140	2050307	17496651	0	0	0
FFQ	13	0	0	0	0	0	194	145	139	9628	199	61588	21103	231	31	85	9531	18169	84736	46813	47239	545	9483	6918	84299	1563	215503	90233	428756	26319	173808	690982	60418	913064	948836	596200	2945965	2334	4852997	2038309	17509059	0	0	0
FFQ	14	0	0	0	0	0	194	170	211	12400	377	74122	24779	286	50	130	1868	25429	87312	50356	51073	598	10130	7324	21448	71287	219932	92941	426244	26817	176103	307241	435041	660805	953605	664307	536196	1901135	1505191	3890115	2405735	6216553	11037917	0
FFQ	15	0	0	0	0	0	210	195	249	10221	460	64004	21784	356	51	180	2057	24609	87315	48618	49100	666	10170	7370	22272	71026	216515	93344	430982	27125	176583	309406	436630	669632	957362	671052	542917	1908968	1511800	3905740	2405203	6230836	10980414	0
FFQ	16	0	0	0	0	0	246	237	331	11821	785	68891	23019	402	109	266	2386	25726	85720	51154	51502	805	10742	8019	23711	75032	219490	95150	430333	28050	179196	315349	440151	666837	965810	671635	551024	1914476	1512328	3918543	2399702	6248631	10897813	0
FFQ	17	0	0	0	0	0	245	259	343	11356	1034	65434	21693	429	143	329	2876	25659	85224	50562	50484	903	11052	7968	24942	76444	217693	95194	428866	28094	179533	319734	440477	668993	966336	674468	558853	1920557	1522074	3933047	2406655	6264251	10833218	0
FFQ	18	0	0	0	0	0	314	323	510	15296	1653	79341	26238	518	203	378	3491	28344	88572	54405	54357	969	12074	8397	27627	83058	221735	98213	434583	29305	184560	329150	447382	670248	983093	678181	568922	1921383	1522757	3949524	2403920	6266747	10699651	0
FFQ	19	0	0	0	0	0	292	372	554	13086	2050	68997	22557	602	257	422	4009	24697	6975	136516	52896	1066	12462	8417	29255	84973	217496	97615	436652	29972	184367	335185	448783	668630	601597	1072897	576987	1636518	1548444	3209073	3000631	6563904	10796216	0
FFQ	20	0	0	0	0	0	299	476	648	16558	3089	79260	25544	606	310	519	5013	27934	9173	137568	56592	1207	13437	9042	32667	94750	219278	100855	438676	31372	189163	347273	454718	670272	612215	1083368	593878	1646046	1562100	3240815	3044963	6521567	10624171	0
FFQ	21	0	0	0	0	0	339	537	856	15515	3676	70718	22421	722	415	658	5656	28367	12156	133292	55103	1326	14025	9485	35439	101123	216118	103199	441604	31824	190972	360701	459232	673629	620800	1093660	607741	1656937	1582219	3276977	3116756	6493657	10457567	0
FFQ	22	0	0	0	0	0	321	655	943	16693	5027	69433	21491	840	504	749	6757	29842	14900	125745	55275	1461	15019	9896	38926	108605	206209	102797	431737	32675	191003	369234	457242	659825	623174	1092404	623271	1660027	1597228	3297956	3193801	6480065	10353692	0
FFQ	23	0	0	2	0	0	418	776	1244	19805	7117	74246	22214	965	650	861	8327	33457	19594	123597	57754	1775	16204	10691	44273	122970	204830	106777	433355	34256	196814	388812	464340	656786	636945	1095339	646063	1667550	1600535	3337327	3238505	6427574	10192674	0
FFQ	24	0	0	2	0	0	465	935	1527	22931	9748	78305	22148	1101	820	1037	9772	36498	25315	119665	58391	1967	17645	11182	48750	138013	194684	108062	428352	35704	198798	405854	467079	646889	642238	1103690	664526	1672021	1618976	3390760	3173349	6193659	10344564	0
FFQ	25	0	0	4	0	0	504	1155	1919	26380	13056	80344	20238	1190	1007	1250	11764	40220	31628	113970	61201	2183	19273	12103	53973	156781	186401	110463	427505	37493	202467	427503	472173	639805	652586	1109940	691449	1673557	1629425	3425859	3196472	6213297	10148884	0
FFQ	26	0	0	11	0	0	731	1759	3036	39902	22936	108079	25208	1478	1318	1551	14834	46812	40898	110680	63351	2514	20931	12703	58520	176281	177135	111852	418418	38216	202193	451730	473399	623932	659708	1113203	718962	1678706	1634758	3456934	3174336	6267823	9940584	0
FFQ	27	0	0	16	0	0	754	1925	3499	40734	27855	97058	19280	1795	1724	1889	17853	53873	51271	100723	61781	3102	22273	13237	62753	193839	171497	112813	415947	39930	202670	481673	477284	614754	666747	1112729	751363	1683061	1641273	3499979	3137667	6346984	9761817	0
FFQ	28	0	0	19	0	0	829	2174	4077	44913	34167	91446	14579	1943	2140	2169	20539	59263	56048	88880	61390	3452	24201	14453	65755	212804	164245	113788	397326	41712	203398	514495	477076	586653	679734	1112574	788937	1683267	1648748	3552072	3092068	6460749	9573339	0
FFQ	29	0	0	24	0	0	900	2630	4964	51032	44880	87810	10136	2262	2420	2624	24219	65528	57806	81818	63363	4094	26652	15621	68948	235741	161008	117501	386892	44086	207983	549748	487249	557658	696855	1110983	832402	1681574	1646122	3620388	3026194	6543907	9371400	0
