# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/LWK/NA19036/aligned/NA19036.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	49307b9a	738a78c7	e65d389b
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	59358682	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	59358682
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	29679341
SN	last fragments:	29679341
SN	reads mapped:	59322261
SN	reads mapped and paired:	59321962	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	36421
SN	reads properly paired:	58814152	# proper-pair bit set
SN	reads paired:	59358682	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	6619947	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	12365
SN	total length:	5979226928	# ignores clipping
SN	total first fragment length:	2989613464	# ignores clipping
SN	total last fragment length:	2989613464	# ignores clipping
SN	bases mapped:	5975559509	# ignores clipping
SN	bases mapped (cigar):	5970964776	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	12004632	# from NM fields
SN	error rate:	2.010501e-03	# mismatches / bases mapped (cigar)
SN	average length:	101
SN	average first fragment length:	101
SN	average last fragment length:	101
SN	maximum length:	101
SN	maximum first fragment length:	101
SN	maximum last fragment length:	101
SN	average quality:	36.9
SN	insert size average:	163.6
SN	insert size standard deviation:	48.4
SN	inward oriented pairs:	29617224
SN	outward oriented pairs:	8503
SN	pairs with other orientation:	8254
SN	pairs on different chromosomes:	27000
SN	percentage of properly paired reads (%):	99.1
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	15001	0	0	0	0	0	0	0	17804	0	0	0	0	0	39897	0	0	2479	0	0	4019	25382	0	27851	87541	130668	76644	0	564735	6039123	0	2645046	20003151	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	4901	0	0	0	0	0	46939	0	0	5702	0	0	6325	20486	0	32079	75346	146359	70418	0	462010	4566684	0	1166690	23075402	0	0	0	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	13546	0	0	0	0	0	31753	0	0	1116	0	0	8909	20921	0	30279	75029	156102	91112	0	462763	4269835	0	1171445	23346531	0	0	0	0	0	0	0	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	15656	0	0	0	0	0	9218	0	0	27977	0	0	7277	0	0	20270	35269	2418	58606	943	105891	2891	167116	295885	0	3022701	0	25907223	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	42068	0	0	0	0	0	16414	0	0	37335	0	0	10280	0	0	29331	46262	3180	74722	988	128594	3766	202540	347583	0	3237012	0	25499266	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	11	0	1955	0	10188	2932	0	0	6	3977	2798	24217	5841	6857	0	1197	801	11001	22	32761	42027	6639	58045	25924	125751	30716	234585	323624	69	2950074	370099	25407224	0	0	0	0	0
FFQ	7	0	0	3	0	0	5	40	0	2366	1	11084	3035	7	0	15	3700	3239	21693	6435	5721	8	1405	931	11501	60	34464	42669	9393	47181	25749	127816	29770	230277	327882	130	3003048	368325	25361388	0	0	0	0	0
FFQ	8	0	0	0	0	0	16	49	2	4814	1	21657	5967	13	1	25	4675	3819	28401	7499	6460	48	1842	1258	12208	43	36781	44244	14016	46383	25854	131707	29875	232705	329921	134	3017817	380919	25290187	0	0	0	0	0
FFQ	9	0	0	0	0	0	9	25	11	1671	1	8724	2268	20	4	9	4115	3119	22377	9549	6406	110	1729	1279	11492	99	36598	17432	48715	41035	28410	132781	23397	207358	208316	166578	815966	439	1809766	1770041	24299492	0	0	0
FFQ	10	0	0	0	0	0	35	27	10	2262	4	10989	2987	48	4	10	3467	3178	19210	7859	5888	152	1770	1358	11694	135	37700	17336	57507	25722	27023	135071	21729	204270	212706	165403	826139	423	1815015	1814970	24247240	0	0	0
