# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/LWK/NA19324/aligned/NA19324.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	d21482de	ce6e3877	4e66c58c
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	50401418	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	50401418
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	25200709
SN	last fragments:	25200709
SN	reads mapped:	50391186
SN	reads mapped and paired:	50388744	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	10232
SN	reads properly paired:	49195726	# proper-pair bit set
SN	reads paired:	50401418	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	4578464	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	57876
SN	total length:	5036219250	# ignores clipping
SN	total first fragment length:	2518109625	# ignores clipping
SN	total last fragment length:	2518109625	# ignores clipping
SN	bases mapped:	5035217303	# ignores clipping
SN	bases mapped (cigar):	5025875821	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	14618904	# from NM fields
SN	error rate:	2.908728e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	37.0
SN	insert size average:	250.6
SN	insert size standard deviation:	76.2
SN	inward oriented pairs:	24644285
SN	outward oriented pairs:	16391
SN	pairs with other orientation:	23081
SN	pairs on different chromosomes:	510615
SN	percentage of properly paired reads (%):	97.6
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	127072	0	0	0	0	0	0	0	0	0	1563	6324	7533	0	787	0	1025	1156	1369	27254	0	2575	7607	4190	1705	39169	10223	2136	64915	13388	82014	76474	11456	258289	22910	321621	240613	216870	1652914	3027716	18969841	0
FFQ	2	0	0	0	0	0	53	300	184	5667	3075	12487	25270	15130	16134	12666	10903	16405	26153	14380	11548	5444	5044	11090	14100	7900	21105	21613	20823	40683	31431	54848	70148	23181	223199	32733	319026	283518	205506	1622696	3168230	18848036	0
FFQ	3	0	0	0	0	0	70	364	504	5698	3152	13609	24803	14646	15996	12641	10780	16010	28245	15286	11710	7126	4890	11313	15537	7883	23134	19342	23740	40740	31673	52618	71436	25494	224453	33637	328729	297965	210034	1590950	3194352	18812149	0
FFQ	4	0	0	0	0	0	66	804	2194	4733	7747	19582	22476	15687	16360	16010	8855	13031	22339	14850	11742	7917	4851	11590	15868	7511	24595	17533	24096	40745	30936	51345	71455	25990	226681	33472	337113	304549	214264	1560183	3219536	18794003	0
FFQ	5	0	0	0	0	0	109	1349	3522	4080	11234	23645	21246	16197	15386	19308	7139	11157	17692	14897	11395	8459	5111	12026	15805	7287	23785	17480	21559	40563	28623	51086	68090	26401	224968	32469	345352	317038	215482	1533690	3284682	18742397	0
FFQ	6	0	0	0	0	0	36	549	1162	1606	1851	5554	2675	2994	2965	6102	5671	5136	12628	12772	13518	24874	24602	33111	40744	7003	19183	17042	19151	39849	26762	47079	65118	26121	210543	25865	363848	313666	180955	1406435	3336091	18897448	0
FFQ	7	8	0	0	0	0	32	446	1137	1484	1719	5535	3224	3334	3832	5407	6439	6268	12761	13359	15298	23582	23942	32841	38734	7643	20518	16872	24283	40053	31678	47485	76932	33165	216589	28327	377064	302565	203028	1452389	3277148	18845588	0
FFQ	8	368	0	0	0	0	25	352	1013	1293	1791	5577	3629	3801	4523	5195	6945	7117	12077	13169	15636	22655	23530	33207	38415	8053	21163	17330	27030	39575	34390	48555	82173	35568	222971	30453	383501	303888	216260	1475156	3257462	18796863	0
FFQ	9	1	0	0	0	0	20	296	871	1189	1700	5419	3484	3559	4471	5102	6966	7252	11932	13530	15689	22232	23689	33574	37875	8109	21378	16938	28517	39443	36441	48405	84972	35609	230495	31019	387938	309361	222605	1498511	3247155	18754962	0
FFQ	10	0	0	0	0	0	9	239	815	1104	1694	5392	3487	3593	4341	5178	6975	7441	11961	13945	16030	22070	23842	33991	37403	8072	21600	17143	29761	39306	38538	48420	87515	35725	237171	31152	394801	312995	230567	1518409	3251751	18698273	0
FFQ	11	0	0	0	0	0	23	320	561	791	560	2746	1881	1425	1358	2017	2038	3663	13273	5076	8615	5472	6063	10106	15939	7286	21202	18673	23716	41534	32094	46866	134255	34289	226499	85091	409308	335770	209403	1533752	3322221	18636823	0
FFQ	12	0	0	0	0	0	22	260	476	627	458	2174	2016	1329	1123	1508	2044	2871	12674	5807	10012	5559	5445	10282	17042	7853	22570	18453	29016	40853	38035	48546	144688	37248	240428	87029	415056	335462	236678	1591468	3267131	18558466	0
FFQ	13	0	0	0	0	0	22	132	396	484	488	2203	2162	1386	1005	1303	1956	2705	12536	5763	10238	5583	5170	10095	17784	7951	23573	18453	31578	40798	41686	49080	151510	38720	250534	87591	420301	338350	248993	1630512	3248916	18490752	0
FFQ	14	0	0	0	0	0	10	95	340	408	450	2188	2317	1480	1021	1261	1996	2639	12802	6057	10310	5319	5136	10029	18582	8113	23667	18622	33411	40186	44216	50050	156282	39421	258662	87590	428056	342506	258971	1659357	3245074	18424085	0
FFQ	15	0	0	0	0	0	9	77	288	369	424	2206	2387	1443	937	1169	1996	2716	12754	6376	10653	5373	4967	10345	19482	8170	24281	18708	35330	40206	46581	50408	160466	40029	265688	87736	436156	347985	267706	1684864	3255663	18346761	0
FFQ	16	0	0	0	0	0	34	299	592	826	653	2989	2014	1572	1467	2375	2319	3974	13754	5869	9579	5569	6476	10693	19152	7931	21990	20853	28418	43438	40491	50435	145547	40477	255141	86329	454805	379000	244134	1703661	3314123	18273730	0
FFQ	17	0	0	0	0	0	19	236	471	651	587	2602	2342	1518	1228	1615	2265	3485	13094	6532	10642	5555	5711	10878	20452	8388	24216	20387	34190	42120	47451	51640	158254	43147	273626	88920	461724	379441	276335	1776779	3266166	18158042	0
FFQ	18	1	0	0	0	0	17	149	403	564	486	2607	2620	1565	1137	1483	2301	3319	12878	6904	10887	5497	5518	10790	21836	8742	24909	20229	38367	41804	52404	52773	167093	44306	287171	89861	470402	386856	292236	1817297	3250703	18064594	0
FFQ	19	0	0	0	0	0	17	110	368	453	537	2655	2622	1628	1024	1398	2164	3139	12739	7344	11262	5597	5259	10759	22864	8637	25394	20230	40576	41389	55456	53278	172404	45043	297244	89876	478987	389909	305781	1857363	3261313	17965890	0
FFQ	20	6	0	0	0	0	17	76	333	406	528	2784	2820	1704	1071	1340	2283	3280	12704	7858	11509	5535	5323	10943	24246	9147	25562	20326	43012	41303	59043	53627	177789	46051	306830	90233	492648	399157	316350	1882381	3276911	17865573	0
FFQ	21	0	0	0	0	3	26	325	757	1095	937	3881	2541	1828	1877	2826	2967	5005	14572	7030	10795	6570	7457	12315	23769	9163	24787	23932	35360	45927	52320	55475	163188	48517	298809	89205	516624	438424	293208	1934482	3322172	17742540	0
FFQ	22	0	0	0	0	4	41	265	632	881	722	3605	2925	1895	1554	2077	2810	4258	13935	8285	11885	6457	6567	12468	26084	9652	26531	23520	43111	44562	61215	57237	178352	51691	321853	92711	525258	441662	330547	2014463	3270637	17600357	0
FFQ	23	0	0	0	0	7	32	173	493	727	690	3467	3234	1902	1377	1825	2792	4118	13696	9302	12424	6353	6343	12500	28450	10254	27000	23193	48203	44219	67404	58701	186341	53887	337830	95823	540485	452690	352374	2066771	3269544	17456085	0
FFQ	24	0	0	0	0	13	27	131	468	611	640	3716	3407	2073	1323	1775	2818	4270	13709	9788	12795	6379	6180	12584	30654	10368	27981	23444	51818	43907	72618	59301	195791	55058	352595	95178	555726	462240	370280	2108555	3291627	17310861	0
FFQ	25	0	0	0	0	20	19	104	417	536	673	3768	3606	2097	1272	1723	2860	4176	14033	10249	13088	6287	6248	12616	32335	10409	27969	23428	55007	43875	77071	59732	201129	55312	365225	95256	571429	471278	384874	2146617	3310080	17185891	0
FFQ	26	0	0	0	0	35	42	316	1430	1785	1779	6101	3517	3031	3170	4460	4107	6766	17229	8988	13030	8291	9692	15048	30387	11029	28561	29046	45456	49359	67919	63418	183716	61078	354469	97340	606911	519180	357901	2224063	3451395	16910664	0
FFQ	27	15	0	0	0	41	41	281	1078	1363	1421	5831	4079	2914	2493	3371	4095	6059	16728	11164	14571	8366	8423	15368	35502	12000	30309	28061	55562	48418	79611	65481	201271	64540	381997	102408	618701	524560	399345	2306754	3416088	16722399	0
FFQ	28	270	0	0	0	43	59	219	954	1150	1290	5977	4408	3058	2302	2882	4153	5851	16665	12632	15181	8319	8175	15376	38562	12512	31729	27866	61959	47766	87448	67249	214539	67135	404343	104069	640799	537080	426573	2368240	3427439	16526437	0
FFQ	29	557	0	0	0	58	54	202	934	1068	1271	6328	4868	3248	2232	2760	4185	5834	17413	13674	15637	8177	8133	15608	41600	12842	32466	28051	67176	47829	94817	68010	223450	69274	422576	105572	661562	551537	448949	2410601	3459918	16342238	0
FFQ	30	191	0	0	0	77	35	161	866	1088	1265	6622	5363	3547	2258	2890	4287	6133	17686	14883	15931	8433	8282	15715	44831	13120	32805	28529	72279	47478	101681	68158	232656	71215	441198	107535	683923	569513	469105	2440384	3501390	16159196	0
FFQ	31	1	0	0	0	124	49	418	2286	2416	2928	8581	4749	4156	4623	6247	5996	9309	20780	12550	16564	11403	12639	19625	41221	14525	34834	36657	60137	56410	91063	76856	212671	82053	436790	113334	728044	630997	443636	2549420	3549621	15896996	0
FFQ	32	0	0	0	0	124	60	334	1619	1974	2223	8660	5548	3871	3729	4824	6066	8395	20860	15447	17564	10884	11491	20075	48623	15568	37119	35420	74411	55495	107255	78373	236848	84720	472858	119680	750559	641955	494151	2655709	3522640	15623940	0
FFQ	33	2840	0	0	0	123	46	344	1372	1692	2131	8778	5911	3965	3663	4390	6359	8345	21547	18111	18046	11426	11599	20353	55003	16742	37221	35829	84185	54140	119993	81282	250282	91926	500001	131370	774103	669029	530946	2669792	3530043	15414546	0
FFQ	34	417	0	0	0	123	44	221	902	1101	1461	6156	4300	3348	3134	3885	5695	7411	18473	14236	16184	11494	11373	19584	41581	17508	33300	36701	65109	52460	90946	83534	200870	96713	384825	155029	623492	614700	445999	2417546	3235169	16471046	0
FFQ	35	212	0	0	0	123	36	181	919	1048	1418	5937	4319	3353	3140	3737	5861	7392	18636	14844	16050	11997	11244	19621	43307	17856	33580	36743	67409	52318	94121	83967	204413	98744	392758	157224	633998	624516	459802	2435732	3263351	16364827	0
FFQ	36	0	0	0	0	135	79	337	1722	1960	2391	7125	4142	3812	4243	5760	6153	8393	19104	11653	14309	10753	11977	17627	36416	13907	29584	34976	52448	45759	82398	74514	182903	87050	371384	140266	631764	615423	434803	2131332	3642304	16454566	0
FFQ	37	129	0	0	0	126	46	286	1309	1547	1787	6743	4335	3396	3524	4423	6008	7523	18883	13943	14617	10535	11246	17565	42122	15176	30139	33222	63660	45422	94540	75721	202102	89498	397855	146663	647147	626876	474719	2207406	3610826	16261267	0
FFQ	38	3	0	0	0	118	50	301	1116	1317	1685	6786	4644	3475	3304	3964	5941	7459	18779	15483	14394	10552	10786	17271	45426	16152	30559	32760	69689	45251	101691	77093	212086	92575	416336	152134	660143	642745	500446	2246902	3614573	16107303	0
FFQ	39	11	0	0	0	119	59	263	1021	1294	1659	7161	4945	3482	3189	3854	5869	7237	19149	16155	14573	10654	10691	17679	47730	16453	30847	32918	73844	45241	106372	77927	218090	94365	426081	156169	674589	657743	521345	2268453	3636931	15976127	0
FFQ	40	259	0	0	0	137	67	241	1080	1240	1648	7284	5510	3866	3185	3712	6024	7574	19685	17236	14908	10863	10793	17607	50279	16936	31187	33013	77713	45328	111746	79510	224213	97290	439840	160924	689697	673257	541843	2281060	3678267	15824382	0
FFQ	41	263	0	0	0	173	86	489	2058	2499	2986	8572	4912	4662	5356	6759	7436	9839	20885	14082	15532	12686	14011	19518	43329	15938	33269	38720	61448	47856	98894	84455	201752	103035	424727	161653	697698	702951	515231	2227331	3826766	15750717	0
FFQ	42	40	0	0	0	162	102	405	1597	1914	2284	8556	5233	4163	4422	5267	7322	8956	21212	17075	15869	12445	12990	19581	51079	17490	32957	36977	75170	48357	112785	85192	223054	106122	454066	170578	716612	717152	560847	2293712	3789931	15546085	0
FFQ	43	157	0	0	0	158	97	340	1208	1404	1835	7038	4531	3946	4041	4782	7438	8687	20064	16663	15453	13427	13336	19806	47471	20031	32883	38601	70930	49356	103960	94928	206999	121312	418518	206176	665369	761551	564354	2093043	3682081	15865061	0
FFQ	44	312	0	0	0	155	102	317	1133	1366	1791	7123	4840	3959	3935	4666	7366	8709	20403	17666	15220	13702	13268	19882	49496	20752	33431	38508	74609	50659	107757	95832	213749	124755	433254	213288	679841	781455	586171	2106177	3714018	15716647	0
FFQ	45	0	0	0	0	172	99	328	1014	1308	1724	7306	5035	4090	4035	4726	7667	8798	20719	18546	15406	14250	13843	20030	52182	21294	33826	38988	78001	51327	113000	98021	220106	128615	448020	221650	697181	810841	613089	2124309	3778170	15507877	0
FFQ	46	54	0	0	0	236	144	559	1834	2317	2816	8067	4638	4671	5387	6784	8018	9689	20807	14846	15187	14105	14923	19123	44586	17268	33595	39360	61048	45969	100098	93858	197568	123038	429716	207098	688025	818499	580988	2005008	4054307	15490689	0
FFQ	47	5	0	0	0	206	121	410	1354	1731	2234	8028	4948	4253	4492	5211	7780	8942	21227	17011	14785	13507	13667	18664	50320	19494	32825	37313	73471	47534	112205	94141	217238	125169	455688	217090	705786	829100	613961	2060935	4016323	15327041	0
FFQ	48	0	0	0	0	199	119	358	1247	1496	2004	8088	4986	4134	4188	4817	7672	8675	21316	18955	14449	13551	13775	18948	54572	20529	33016	37878	80515	48880	120368	96422	230936	131295	479278	231179	727093	867129	653799	2097934	4061201	15062581	0
FFQ	49	9	0	0	0	213	160	358	1189	1509	1886	8141	5288	4150	4087	4818	7863	8786	21821	19750	14845	13925	13770	19147	57926	21360	33703	38403	85045	49959	126349	97930	238404	136401	496640	242023	746498	901608	680463	2120138	4111936	14846455	0
FFQ	50	15	0	0	0	275	168	419	1157	1491	1964	8514	5521	4140	4160	4882	8092	8935	22591	21110	14705	14343	13994	19319	60096	22151	34174	38884	88657	51021	130922	99020	246603	139942	514899	251602	766612	932711	705056	2150804	4163278	14630132	0
FFQ	51	0	0	0	0	420	237	801	2415	2984	3846	10159	5620	5785	6497	8172	9841	11494	23045	18113	17376	17184	17492	21774	53339	20653	39288	44397	72224	53316	119275	109551	226805	151111	510636	253661	769494	990982	684126	2134618	4305526	14459533	0
FFQ	52	0	0	0	0	410	230	604	1802	2285	2983	10257	6125	5240	5729	6616	9875	10853	24447	21668	17004	16828	16536	21862	62227	23835	38937	43684	88220	56897	135201	110817	252956	156510	551568	272608	800589	1026215	736443	2182282	4308492	14152371	0
FFQ	53	0	0	0	0	410	259	563	1657	2068	2780	10590	6480	5245	5518	6341	9913	10698	25207	23661	16710	16871	16645	22367	67895	25479	39130	43547	97566	59127	146351	112434	269683	162052	584852	287790	829129	1068023	773959	2229693	4336761	13863160	0
FFQ	54	0	0	0	0	424	234	569	1489	2001	2700	10921	6779	5265	5163	6030	9930	10848	26062	24742	16720	16777	16801	22690	70910	26550	39472	44391	102271	60199	151625	114122	279821	166165	602729	297187	849128	1100114	793569	2264098	4368967	13662560	0
FFQ	55	0	0	0	0	511	291	584	1517	1988	2656	10967	6832	5177	5220	6081	9875	11311	26544	25193	16925	17597	16964	23072	73079	27206	40349	45551	104345	61072	156565	115814	286733	170270	621387	309309	865608	1133128	814031	2290096	4406048	13469591	0
FFQ	56	0	0	0	0	688	373	1092	2964	3601	4623	12290	6588	7102	7983	9922	11911	13778	26798	22139	19983	21063	21580	25170	64180	26084	48121	52855	84942	66658	143411	133317	269386	189047	623879	316060	871601	1214716	795666	2301903	4516252	13241167	0
FFQ	57	0	0	0	0	681	421	788	2110	2946	3818	12388	7377	6398	7099	8172	12431	12928	28030	25661	19910	20616	20301	25824	74474	29826	47018	52405	102386	71755	159625	134018	296796	193801	665904	336484	901917	1248529	843368	2338910	4500052	12963167	0
FFQ	58	0	0	0	0	684	393	803	2039	2677	3401	12638	7578	6470	6764	7737	12278	13063	28916	27975	19219	21038	20461	26309	80371	31904	47623	53329	111192	75453	171419	136970	315830	200918	697923	356178	929483	1294637	877364	2379346	4525112	12672299	0
FFQ	59	0	0	0	0	719	416	813	1972	2640	3334	12936	7953	6284	6552	7674	12395	13377	29966	29595	19881	21389	20825	27594	83990	33408	48559	54685	117219	77041	180021	138958	330159	207006	728850	369596	956388	1347294	900529	2427376	4560981	12388857	0
FFQ	60	0	0	0	0	829	448	782	1915	2692	3282	13251	8055	6455	6749	7662	12447	13525	30441	30073	19683	22045	21368	28436	86047	34273	49805	55591	120655	79134	184693	144691	344934	214928	761253	389191	985859	1407975	925529	2483079	4618928	12059953	0
FFQ	61	0	0	0	0	23799	667	1373	3350	4314	5362	13924	7545	8307	9451	11528	14077	15856	29406	25750	22885	25036	25014	28895	75845	32133	56160	62355	98425	85481	172109	163761	329554	234263	769296	393555	987301	1496099	905955	2503408	4716616	11817224	0
FFQ	62	0	0	0	0	29909	576	1039	2628	3627	4592	14954	8180	7652	8352	9832	14311	15137	31723	29915	22430	24661	24274	29963	86874	36223	55385	61663	117392	90652	189653	164691	359662	240093	815639	416722	1019756	1528792	951479	2544257	4687400	11525390	0
FFQ	63	0	0	0	0	39352	556	1016	2565	3406	4309	15658	8704	7582	8173	9422	14559	15284	33287	32753	22263	24659	24134	31353	93335	38576	56357	63080	127751	93929	202662	166860	383795	247604	862839	439424	1058740	1595027	984209	2599330	4703698	11158633	0
FFQ	64	0	0	0	0	55234	612	1051	2422	3350	4204	16031	9402	7655	8103	9186	14525	15874	33840	34278	22171	25605	24432	32496	97574	39654	56680	64693	133426	96573	211500	169070	402911	255502	905272	458510	1093187	1656618	1009595	2660041	4730107	10812918	0
FFQ	65	0	0	0	0	83237	606	995	2359	3060	3938	15020	8830	7389	7908	9017	13967	15655	33546	33627	21857	25517	24362	32776	96646	40346	57380	64196	134641	97220	213936	170511	414955	260598	926910	470955	1116623	1698498	1020165	2705898	4734567	10605959	0
FFQ	66	0	0	0	0	135110	771	1625	3915	4924	6050	15566	8303	9277	10963	12749	15821	17832	32115	29365	25709	28854	28633	32741	86875	38317	64114	72884	110008	106055	201605	192552	400493	278713	946282	478603	1117689	1812652	995897	2749869	4794575	10305475	0
FFQ	67	0	0	0	0	146351	750	1257	3157	4219	5279	16703	9080	8768	9876	11204	16448	17717	34892	33920	25120	29358	28138	34618	99043	43240	64959	73580	132600	114891	224616	194101	442876	288407	1017990	512340	1165837	1883531	1046226	2807127	4772725	9851428	0
FFQ	68	0	0	0	0	161276	830	1256	3011	4054	5003	17520	9618	8739	9285	10901	16655	17357	36048	36093	24757	29135	28001	36151	104592	45316	65225	74336	141163	117925	234817	196512	464093	294940	1056698	530449	1203884	1922431	1067416	2843310	4740971	9612055	0
FFQ	69	0	0	0	0	184165	750	1255	2900	4039	4973	18128	10303	8820	9342	10544	16568	18226	37220	37576	24866	29455	28083	38008	108111	46879	66076	75181	147757	120104	245402	198289	486560	303540	1104901	551063	1242011	1991623	1084909	2903210	4734740	9275660	0
FFQ	70	0	0	0	0	223214	810	1246	2906	3803	4683	16840	9766	8630	8980	10540	16032	18243	36980	36952	25076	29526	28183	38797	108066	47958	66906	75943	149752	121599	249297	200711	506262	312688	1149909	570572	1282152	2063563	1096403	2966325	4733129	8948240	0
FFQ	71	0	0	0	0	292392	1065	1960	4573	5587	6791	17766	9483	10579	12359	14299	17830	20278	35094	33131	28658	32671	32954	37449	98011	45641	73929	83266	125632	133072	237360	222634	493740	328483	1171372	572682	1276824	2167848	1072113	3003811	4745400	8703355	0
FFQ	72	0	0	0	0	307498	987	1519	3649	4819	6153	18586	10015	9908	11235	12631	18726	20024	38561	37631	28337	33368	32579	40832	110080	50906	74428	85552	147394	143459	261148	226172	539864	339365	1248548	608908	1326905	2237104	1110283	3046082	4682904	8293262	0
FFQ	73	0	0	0	0	327510	998	1535	3442	4580	5873	19267	10584	9852	10619	12005	18714	20438	39349	39894	27945	33616	32667	42447	115652	52861	76246	87150	156636	146905	272088	228408	563251	347243	1294421	628332	1361940	2281983	1130040	3078452	4642114	8043768	0
FFQ	74	0	0	0	0	358179	989	1459	3361	4569	5856	19698	10895	10017	10724	11896	18613	21013	40556	41331	28574	34335	32907	45293	119737	55276	77935	88392	162471	150976	283406	231747	594241	360792	1359636	653288	1417445	2372390	1137519	3154284	4598315	7650058	0
