# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/AFR/YRI/NA18870/aligned/NA18870.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	273de5bd	1961359e	ca489fd8
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	137394750	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	137394750
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	68697375
SN	last fragments:	68697375
SN	reads mapped:	137360999
SN	reads mapped and paired:	137352394	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	33751
SN	reads properly paired:	136035616	# proper-pair bit set
SN	reads paired:	137394750	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	12842041	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	35742
SN	total length:	10435315084	# ignores clipping
SN	total first fragment length:	5217657542	# ignores clipping
SN	total last fragment length:	5217657542	# ignores clipping
SN	bases mapped:	10432764116	# ignores clipping
SN	bases mapped (cigar):	10391474946	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	48329268	# from NM fields
SN	error rate:	4.650857e-03	# mismatches / bases mapped (cigar)
SN	average length:	76
SN	average first fragment length:	76
SN	average last fragment length:	76
SN	maximum length:	76
SN	maximum first fragment length:	76
SN	maximum last fragment length:	76
SN	average quality:	34.1
SN	insert size average:	185.8
SN	insert size standard deviation:	68.8
SN	inward oriented pairs:	68450445
SN	outward oriented pairs:	20351
SN	pairs with other orientation:	18213
SN	pairs on different chromosomes:	187188
SN	percentage of properly paired reads (%):	99.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	81755	0	0	0	0	1	2	0	5496	1179	5630	6914	5786	10297	44099	5478	11002	12999	14553	11601	69424	13489	44025	101735	116465	76214	6299	194540	268048	237040	99032	579368	145191	856401	578720	1861738	2699511	4034727	11476203	45001042	21371	0
FFQ	2	3504	0	0	0	0	161	1378	2376	4552	6865	8742	14662	11391	22382	31676	18044	27216	28789	42678	43182	64610	83601	66217	136039	111066	130870	119208	163324	275563	235414	229217	556632	280121	897518	782122	1743630	3091197	5228224	9826998	44397017	11189	0
FFQ	3	12759	0	0	0	205	258	2249	4011	5790	8956	10784	16870	14050	22972	33650	20431	27331	33898	43602	47896	60971	92772	67132	130783	106617	133381	121487	176684	263074	228876	244146	548414	285842	920290	808089	1707533	3120955	5307905	9793768	44262183	10761	0
FFQ	4	27295	0	0	0	395	499	3467	6047	7698	11759	13128	20070	17171	24586	36324	25185	29407	39585	48930	52220	60986	98654	70018	125582	106884	130787	121413	195097	252627	228167	256347	540406	298837	957587	849823	1715717	3243895	5550567	9639557	43882666	7992	0
FFQ	5	4487	0	0	0	246	675	4016	7465	9384	12793	13414	21219	18753	25327	31937	31368	31994	44770	55687	53340	63823	97363	70541	115086	111154	127028	112981	213703	228972	215422	247317	528678	277864	930789	838793	1654399	3178850	5465675	9758241	44085661	8160	0
FFQ	6	14402	0	0	0	260	837	4012	9241	9866	12886	14373	19434	17863	21950	26435	30505	27427	42604	47057	53251	58533	93026	71692	111201	114594	124101	118179	237850	216657	188748	271139	523138	270625	981972	831365	1600517	3207624	5491209	9483633	44347101	2068	0
FFQ	7	292	0	0	0	361	737	3040	6553	7966	11707	13168	18152	16311	20948	28749	27248	26064	40607	46172	53938	58397	95687	77865	121693	112785	130713	126829	230351	249787	213467	298974	554545	287574	1064511	843847	1744016	3387205	5532004	9484879	43757717	2516	0
FFQ	8	454	0	0	0	429	674	2809	5968	7470	11866	13586	19003	16629	22068	32446	25958	25716	41522	47708	55819	61343	99436	82439	132591	115750	136781	137781	232559	276276	228828	329718	581838	313108	1152401	884897	1845979	3557742	5732550	9376149	43086686	2398	0
FFQ	9	68	0	0	0	603	673	2808	5939	7134	12613	14234	19488	17210	23314	33515	26719	25126	43014	49570	57845	63677	103650	86064	138379	119965	143283	147175	239290	294791	241587	356691	602353	332729	1228682	921732	1916919	3681736	5902846	9300295	42533168	2490	0
FFQ	10	1	0	0	0	625	623	2505	5600	6895	12293	14490	19317	17013	24231	35000	25993	24936	42949	49514	58956	64909	105665	87174	142201	122349	146457	150597	239888	302610	247199	366837	613136	341205	1263417	934054	1951360	3737012	5975804	9364716	42197528	2316	0
