# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/EAS/CHS/HG00699/aligned/HG00699.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	b39f3368	e22d06e7	81b63d4d
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	100055680	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	100055680
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	50027840
SN	last fragments:	50027840
SN	reads mapped:	99958548
SN	reads mapped and paired:	99901902	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	97132
SN	reads properly paired:	94340774	# proper-pair bit set
SN	reads paired:	100055680	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	6249248	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	105803
SN	total length:	8997768892	# ignores clipping
SN	total first fragment length:	4498884446	# ignores clipping
SN	total last fragment length:	4498884446	# ignores clipping
SN	bases mapped:	8989221842	# ignores clipping
SN	bases mapped (cigar):	8913059078	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	59194775	# from NM fields
SN	error rate:	6.641353e-03	# mismatches / bases mapped (cigar)
SN	average length:	90
SN	average first fragment length:	90
SN	average last fragment length:	90
SN	maximum length:	90
SN	maximum first fragment length:	90
SN	maximum last fragment length:	90
SN	average quality:	33.7
SN	insert size average:	241.5
SN	insert size standard deviation:	81.4
SN	inward oriented pairs:	47359095
SN	outward oriented pairs:	41286
SN	pairs with other orientation:	73080
SN	pairs on different chromosomes:	2477490
SN	percentage of properly paired reads (%):	94.3
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	29157	0	0	0	0	0	254	0	656	0	1137	2400	19365	0	2093	1080	2105	1536	13262	6296	18150	63211	43059	22917	0	93116	161488	110061	42663	371450	74262	557725	320675	1338688	1910151	2854475	7945086	34007454	13868	0
FFQ	2	0	0	0	0	0	7	84	100	383	773	1572	2779	2307	5496	14221	2801	7704	7038	12124	13764	20850	34556	31100	75542	55161	56630	61126	94075	172366	134236	126375	381031	174350	585908	468402	1285056	2161399	3591125	6707614	33731613	8172	0
FFQ	3	0	0	0	0	762	1199	4069	4163	2490	5966	7538	16657	6075	18981	27928	5276	11753	10537	15050	19961	25100	44195	34106	78842	56246	61882	61943	101858	175944	131726	133778	381415	174802	601900	474954	1274490	2196414	3610629	6713729	33528127	7355	0
FFQ	4	0	0	11286	0	23	54	302	504	1322	1908	2861	4840	4664	6777	15441	5840	8502	10908	16865	19130	22190	43830	33793	71134	54101	60972	60508	111120	170300	129966	135266	379673	179073	612099	491932	1281357	2257267	3721442	6715433	33378883	6274	0
FFQ	5	0	0	0	0	42	163	767	1284	2616	3639	5188	8085	7771	10984	18338	9076	11060	15665	22312	23320	29953	51213	40160	76569	61121	66000	64321	127276	182596	122380	144392	409326	173378	677437	505550	1300368	2359889	3870766	6887160	32732933	4742	0
FFQ	6	0	0	0	0	53	131	639	1388	2667	3485	5934	8323	7915	9389	14125	7976	7312	13699	20552	21021	28945	46199	39261	64628	57578	63324	64095	130369	165604	98372	147519	388547	153237	691359	491449	1219641	2327957	3731405	6896527	33094873	2342	0
FFQ	7	0	0	0	0	96	128	542	889	1698	2711	4444	7111	7324	9794	18167	6500	6309	12440	17999	21148	25845	47826	42899	76428	56020	64649	67501	123286	195643	112223	168024	413467	168176	747443	504052	1326574	2447936	3732095	6889767	32698047	2639	0
FFQ	8	0	0	0	0	93	92	412	630	1318	2205	3588	5879	6249	9114	18716	5566	5733	11529	16335	20661	23805	45479	41886	78485	53985	62991	67912	119482	200686	118231	171787	416445	176365	753489	514095	1359797	2493649	3740329	6923823	32554252	2747	0
FFQ	9	0	0	0	0	123	111	426	712	1242	2357	3985	5917	6320	9981	21419	5416	5523	11385	15749	21217	23836	47422	42695	85485	55296	63569	72368	119910	214836	123003	182002	430070	185784	791447	528319	1396889	2555641	3784991	6954627	32254921	2846	0
FFQ	10	0	0	0	0	143	93	378	712	1122	2263	3892	5942	6080	9664	20978	5155	5379	11520	15711	21411	23563	47765	42606	85072	54572	64066	73325	118574	217328	125440	186527	432754	189325	804687	533261	1409436	2585734	3819519	6988395	32112684	2764	0
FFQ	11	0	0	0	0	185	323	1088	1815	3658	4537	7124	9275	8674	10775	13572	10635	8418	15911	24473	24416	31500	50607	41555	63890	60988	72112	76859	131703	177483	111703	184053	422808	173530	791369	547659	1329637	2569973	3918784	7138755	31985830	2163	0
FFQ	12	0	0	0	0	204	219	774	1324	2477	3556	6157	8726	8466	11073	19006	8410	7090	14736	21615	24279	29693	52405	43601	78434	60113	72024	82131	127525	212407	130642	204537	451942	198688	854065	573732	1448922	2698162	4007474	7093841	31466973	2417	0
FFQ	13	0	0	0	0	190	205	687	1208	2096	3354	5833	8347	8242	11627	22130	7577	6509	13776	20112	24811	28603	53861	44275	86178	60231	72538	86786	126939	230023	140597	218458	467823	213289	899872	593523	1504319	2784548	4067809	7114866	31094077	2521	0
FFQ	14	0	0	0	0	261	192	719	1259	1922	3362	5858	8070	7903	12013	23257	7510	6239	14039	19781	25724	28581	55193	45267	90192	61929	73552	90832	128755	240020	148106	230939	480084	224025	936704	615555	1543268	2860057	4162300	7096924	30774894	2554	0
FFQ	15	0	0	0	0	305	157	723	1365	1934	3455	6094	8479	8330	12513	24177	7643	6164	14481	20225	26675	28926	57470	46458	92854	63731	76154	94536	130578	248470	152637	242602	489256	232474	970148	629648	1571632	2917217	4239986	7106698	30491165	2480	0
FFQ	16	0	0	0	0	385	616	1948	2850	5713	6295	10617	12751	11814	14043	16784	14061	11113	21632	31615	31322	41131	60610	50547	74618	73614	87936	100725	149457	208868	137290	235671	478358	216921	949440	644487	1476845	2908304	4321234	7266969	30349464	1792	0
FFQ	17	0	0	0	0	389	336	1298	1945	3443	5117	8388	11220	10661	13481	21582	10600	8771	18613	26564	30175	37454	61477	51441	88735	71591	85728	103175	146569	242565	157249	252788	507821	241037	1005459	665704	1602161	3039108	4369148	7324235	29799662	2150	0
FFQ	18	0	0	0	0	469	311	1152	1954	3025	5068	8336	10920	10599	14381	25257	10203	8425	18521	25287	31745	36612	64442	52678	97397	74341	88529	110523	149821	261186	173454	277237	523159	265734	1061391	700130	1670908	3148602	4520202	7245224	29328393	2224	0
FFQ	19	0	0	0	0	525	336	1155	2088	2916	5274	8770	11494	11431	15920	28406	10267	8130	18720	25946	33629	37903	68871	54875	103978	77151	91676	117838	153526	277894	181580	297690	542173	280194	1123005	727155	1723344	3237510	4636799	7234023	28873441	2207	0
FFQ	20	0	0	1	0	590	350	1299	2447	2984	5955	9797	12726	12805	18742	32581	10590	8399	20023	26707	36587	40623	74560	58314	111560	82019	95890	125888	160026	295303	191084	318417	559715	294844	1178242	753701	1767479	3316074	4735383	7215516	28448377	2242	0
FFQ	21	0	0	15	0	818	1083	3370	4988	9252	9873	15808	18589	16374	19344	21816	20229	16022	29999	42011	42174	56708	73927	64038	89299	93763	111612	137222	180159	250499	180344	314234	552525	284767	1160116	778202	1682357	3350381	4868746	7373293	28151742	2141	0
FFQ	22	0	0	21	0	810	679	2304	3647	6118	8562	13762	17520	16059	20375	28888	15931	13005	27294	37429	42615	53940	79926	67281	108346	95807	113456	143993	183659	295734	210232	348098	590963	321975	1254149	821966	1839008	3518255	5015526	7376806	27331183	2518	0
FFQ	23	0	0	2025	0	1002	583	2091	3738	5153	8088	13187	16507	15904	21753	32836	15200	12102	26380	35117	44035	53273	83442	68192	117303	98713	116146	150209	188715	315028	226660	371501	610522	349420	1313934	860493	1925849	3634047	5172448	7321983	26791520	2741	0
FFQ	24	0	0	50	0	1070	596	2188	3989	5013	8767	13842	16991	16788	23867	36032	15538	12009	27377	35388	46159	54773	88476	71156	124543	103543	120201	158018	196333	331730	238796	392891	629884	365123	1372051	888291	1974498	3714819	5260629	7348615	26324842	2964	0
FFQ	25	0	0	96	0	1171	598	2137	3950	4844	9163	14469	17835	17711	25985	40078	15521	11569	27654	35419	48517	56944	94108	73008	131931	105691	123132	164021	200808	348886	245323	410429	649892	375453	1426185	904930	2018789	3793713	5332513	7387532	25904894	2941	0
FFQ	26	0	0	221	0	2168	3327	9439	12076	18023	18306	27143	28805	24827	35000	29529	30387	26475	40900	52762	60259	86203	94326	84821	104020	122127	148328	181539	223992	298583	235153	408044	636636	364101	1413252	932919	1915428	3776444	5536550	7481872	25560559	3296	0
FFQ	27	0	0	254	0	1324	1660	4861	6487	10267	12243	19297	22108	20533	28779	31168	22500	21386	34560	45854	52970	69690	88455	80696	107594	115424	141112	170093	215586	293503	266452	411886	600744	411647	1320209	957624	2053555	3806303	5880029	6755795	25939223	5969	0
FFQ	28	0	0	290	0	1286	1593	4267	5973	8873	11044	17795	20503	19570	27569	31015	22840	21950	35036	46031	55764	68491	88570	83440	104904	123467	148776	172756	228707	285527	295511	452576	570818	479390	1290868	1043187	2165505	3864611	6322547	5765837	26135436	5517	0
FFQ	29	0	0	349	0	1441	1557	4165	5806	8386	11321	17892	20686	19835	28906	32209	22709	21424	35430	45868	57834	69965	91246	85254	108088	128546	152965	179105	236401	293555	306722	473642	581509	497906	1334816	1073093	2214055	3930712	6452880	5675355	25800718	5489	0
FFQ	30	0	0	450	0	1582	1490	4158	6622	8286	11994	18945	21526	20845	31667	35071	23490	21561	36952	47363	59708	74134	95256	89128	112659	135109	159331	186034	248451	303579	317516	499182	592723	522293	1383714	1114487	2273094	4007139	6639840	5507904	25409256	5301	0
FFQ	31	0	0	591	0	2043	3134	8307	10047	15295	15293	22982	23985	20544	29703	24130	29598	27779	40031	50689	58606	77993	78540	80563	86329	123226	146607	172888	216338	252426	246301	451050	519450	438232	1311466	1017573	1999833	3697941	6527040	5398622	26799442	3223	0
FFQ	32	0	0	542	0	1861	2214	5981	8373	11122	13891	21657	23856	20907	30639	28140	26520	23838	39395	49464	60392	78742	87663	85919	98071	131610	152420	180805	237724	285567	280781	500965	549738	492878	1413891	1096049	2156817	3878916	6770699	5204607	25968908	3752	0
FFQ	33	0	0	529	0	1981	1832	5102	8159	9634	13711	20846	23498	20940	32212	30923	25428	22354	38629	48536	62159	78863	93369	88010	103899	138474	157282	186466	250773	300507	297776	527841	566237	521127	1468919	1141855	2232801	3974587	6896410	5119879	25506979	4175	0
FFQ	34	0	0	521	0	2164	1896	4979	8636	9387	14078	22049	24593	21936	34981	33601	25996	22559	40882	49582	65855	82603	98662	92951	109860	146189	164282	196082	265441	314856	314032	562692	580593	551947	1531244	1192672	2300242	4073170	7084705	4948059	25022669	3733	0
FFQ	35	0	0	620	0	2284	1793	5085	9457	9146	15249	23616	25733	23180	38058	35395	27327	23665	42558	51324	70002	86397	103591	97341	113560	155591	171126	203699	279961	326624	326632	593092	596107	578156	1588519	1239723	2357480	4161219	7237440	4801587	24592284	3618	0
FFQ	36	0	0	775	0	3216	4838	12018	14176	20626	20531	30013	31072	24409	39883	28478	39275	35298	50900	62080	74718	102215	92664	101683	98786	157875	180496	211863	272849	291305	308724	576100	575619	566960	1532854	1246676	2289328	4136103	7321487	4731681	24726106	2537	0
FFQ	37	0	0	741	0	3130	3347	8616	12402	15374	19104	29210	31495	25882	41187	32483	35313	31345	50263	60813	77085	103661	103701	107620	112094	168764	188689	219254	298671	324359	346052	624075	610075	619542	1624751	1316569	2424495	4274704	7453718	4652849	23959598	3189	0
FFQ	38	0	0	759	0	3103	2892	7289	12269	13038	18764	28072	31126	26067	43097	35602	34782	30542	51283	61349	80515	104656	111764	113216	118559	180014	196830	228526	317464	344659	373011	666819	629128	667951	1700791	1394486	2531794	4411914	7681311	4426625	23329095	3137	0
FFQ	39	0	0	799	0	3448	2727	7336	13483	13141	20476	30825	33142	28656	48312	39081	35446	31011	53299	62864	86085	110426	119458	117030	125251	189771	204381	238737	335043	362769	384941	698738	649858	690876	1765989	1429270	2575582	4473549	7747490	4378859	22899043	3187	0
FFQ	40	0	0	931	0	3688	2729	7423	14127	12175	20317	30764	32641	27947	49211	39183	36385	32032	54426	64364	88233	114287	121448	121481	127610	198655	210544	245366	349330	370548	400481	731725	661462	721292	1814171	1492134	2638927	4575667	7931442	4192739	22469642	2872	0
FFQ	41	0	0	1196	0	5544	7508	16977	18912	26274	26058	37769	39749	29189	51085	33959	51653	46546	65052	77219	96018	131977	111075	129923	118237	203156	227113	259743	345166	343057	395789	725294	653848	737004	1766396	1547628	2649036	4667961	8069488	4066362	22225203	2267	0
FFQ	42	0	0	1192	0	5238	5494	12780	18470	20482	25817	38517	41631	31421	54962	37434	48659	44229	66661	78772	102049	138026	125979	141135	132375	224559	239445	274903	384758	383453	445204	793192	700976	807343	1887384	1650575	2792452	4827097	8242266	3920784	21256062	2820	0
FFQ	43	0	0	1185	0	5408	4868	11532	19966	18460	27123	40281	43191	32900	61395	41674	48134	43176	68222	79167	107501	142260	135193	146499	140070	236514	247635	284551	407030	403653	469713	832563	722155	845959	1954368	1703503	2863297	4910695	8317082	3854883	20727864	3021	0
FFQ	44	0	0	1287	0	7211	4949	12415	32026	18115	30444	45883	55427	35620	77055	53421	50123	46860	70706	82263	113065	146883	144203	153598	146952	249105	256398	294391	427215	421412	489917	868033	744696	879799	2012993	1768789	2924047	5005907	8426389	3677845	20222654	2765	0
FFQ	45	0	0	1489	0	6019	4368	10920	22337	16385	27729	42175	43844	34458	67290	44546	51420	46258	73196	84554	118022	153495	148894	162365	151453	265092	268748	307938	452628	436941	514578	915120	767127	929075	2088048	1856305	3010261	5136911	8608805	3456381	19671226	2594	0
