# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/EUR/CEU/NA12046/aligned/NA12046.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	003cf4fc	67a64ec9	555baefa
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	49879746	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	49879746
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	24939873
SN	last fragments:	24939873
SN	reads mapped:	49531688
SN	reads mapped and paired:	49531008	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	348058
SN	reads properly paired:	49064178	# proper-pair bit set
SN	reads paired:	49879746	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5564803	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	19202
SN	total length:	5020794298	# ignores clipping
SN	total first fragment length:	2510397149	# ignores clipping
SN	total last fragment length:	2510397149	# ignores clipping
SN	bases mapped:	4985763656	# ignores clipping
SN	bases mapped (cigar):	4967098860	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	10866381	# from NM fields
SN	error rate:	2.187672e-03	# mismatches / bases mapped (cigar)
SN	average length:	101
SN	average first fragment length:	101
SN	average last fragment length:	101
SN	maximum length:	101
SN	maximum first fragment length:	101
SN	maximum last fragment length:	101
SN	average quality:	36.7
SN	insert size average:	170.2
SN	insert size standard deviation:	56.0
SN	inward oriented pairs:	24707261
SN	outward oriented pairs:	14171
SN	pairs with other orientation:	8221
SN	pairs on different chromosomes:	35851
SN	percentage of properly paired reads (%):	98.4
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	5175	0	0	0	0	0	0	0	32570	0	0	0	0	0	60310	0	0	2867	0	0	7954	43678	0	46731	142517	206814	128898	0	905187	6749046	0	2236263	14371863	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	22400	0	0	0	0	0	67687	0	0	5598	0	0	11600	36029	0	52277	123017	222583	115458	0	734118	5505355	0	899841	17143910	0	0	0	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	15005	0	0	0	0	0	49926	0	0	3220	0	0	15556	33194	0	50446	118346	239676	127407	0	713046	5110850	0	906686	17556515	0	0	0	0	0	0	0	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	9878	0	0	0	0	0	14551	0	0	22925	0	0	12773	0	0	31351	54587	3912	85061	1930	159511	3838	243470	419258	0	3742333	0	20134495	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	19077	0	0	0	0	0	24694	0	0	24079	0	0	18616	0	0	47961	76906	5299	106278	1927	203952	5021	280222	480437	0	3902618	0	19742786	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	13	0	2605	0	14023	4046	0	0	10	2830	4915	21671	10622	10077	0	2190	1532	20173	33	55352	69624	10835	64536	44285	198010	33915	319232	447286	61	3609990	366369	19625638	0	0	0	0	0
FFQ	7	0	0	0	0	0	9	51	0	3849	0	18974	5296	13	0	24	3459	5898	25986	12319	10254	19	2717	1833	22039	43	60245	74285	14145	68784	46011	208889	38001	333779	461416	112	3663005	368686	19489732	0	0	0	0	0
FFQ	8	0	0	0	0	0	27	67	0	5068	1	25401	7095	19	0	27	4445	6235	30951	12542	10513	51	3119	2040	22360	51	61973	73940	19814	68367	44602	210031	38104	338907	469934	108	3681719	379117	19423245	0	0	0	0	0
FFQ	9	0	0	0	0	0	38	39	18	6700	0	32010	9295	21	7	26	6348	6287	37266	15116	11475	126	3086	2212	22463	111	61788	28488	76010	60997	45984	210500	29067	300435	309262	219834	1105934	657	2159943	1276229	18902101	0	0	0
FFQ	10	0	0	0	0	0	55	46	28	4720	5	22916	6535	74	9	34	6515	6254	38678	16989	12393	173	3175	2332	23227	181	65116	29556	97783	48340	49800	218958	30201	311789	321473	222590	1128347	605	2170965	1322221	18777790	0	0	0
FFQ	11	0	0	0	0	0	57	48	38	4297	14	20812	5696	98	5	34	5561	6508	35177	15826	12039	233	3402	2384	23551	290	66568	30356	117299	26458	48752	222513	30359	315142	323370	228529	1144118	677	2195632	1353860	18700170	0	0	0
FFQ	12	0	0	0	0	0	73	55	49	5153	52	25872	7304	111	12	39	5821	6633	35971	15677	11868	284	3419	2431	24103	485	67237	30489	132848	11809	48488	224409	29748	316029	326322	227710	1152836	897	2224097	1381398	18620144	0	0	0
