# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/EUR/FIN/HG00173/aligned/HG00173.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	3362ce63	7b7053f4	621a9bbe
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	67463386	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	67463386
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	33731693
SN	last fragments:	33731693
SN	reads mapped:	67377752
SN	reads mapped and paired:	67377374	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	85634
SN	reads properly paired:	66618838	# proper-pair bit set
SN	reads paired:	67463386	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	7685208	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	14891
SN	total length:	6783472594	# ignores clipping
SN	total first fragment length:	3391736297	# ignores clipping
SN	total last fragment length:	3391736297	# ignores clipping
SN	bases mapped:	6774843040	# ignores clipping
SN	bases mapped (cigar):	6769517891	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	15916784	# from NM fields
SN	error rate:	2.351243e-03	# mismatches / bases mapped (cigar)
SN	average length:	101
SN	average first fragment length:	101
SN	average last fragment length:	101
SN	maximum length:	101
SN	maximum first fragment length:	101
SN	maximum last fragment length:	101
SN	average quality:	35.4
SN	insert size average:	163.8
SN	insert size standard deviation:	52.7
SN	inward oriented pairs:	33608447
SN	outward oriented pairs:	9920
SN	pairs with other orientation:	12524
SN	pairs on different chromosomes:	57796
SN	percentage of properly paired reads (%):	98.7
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	32787	0	0	0	0	0	0	0	63665	0	0	0	0	0	118635	0	0	924	0	0	26730	133420	0	114003	431210	600525	324932	0	2318159	13671603	0	2612943	13282157	0	0	0	0	0	0	0	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	36497	0	0	0	0	0	145591	0	0	5144	0	0	41999	103067	0	110688	353020	654146	273230	0	1857240	11797485	0	1147445	17206141	0	0	0	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	32912	0	0	0	0	0	101607	0	0	810	0	0	55732	99356	0	123246	342126	699387	311507	0	1796111	10981178	0	1060752	18126969	0	0	0	0	0	0	0	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	35843	0	0	0	0	0	53359	0	0	39450	0	0	46577	0	0	96923	173764	13918	239739	5266	461574	12122	645149	1068353	0	8126143	0	22713513	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	56225	0	0	0	0	0	76137	0	0	57245	0	0	57766	0	0	134928	218980	16010	290688	5279	542706	13499	714880	1173019	0	8195762	0	22178569	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	46	0	7378	0	41366	12163	0	0	34	7057	15207	53905	32957	29153	0	7066	5110	60999	57	155324	197224	31426	169699	125699	524241	84966	811274	1085734	127	7663151	647116	21963214	0	0	0	0	0
FFQ	7	0	0	0	0	0	20	139	0	8565	0	46975	13352	34	0	84	7840	16799	60415	34394	28849	31	8238	5543	62421	127	160635	199350	39240	172635	125137	531340	89137	827712	1100750	210	7688473	655032	21848216	0	0	0	0	0
FFQ	8	0	0	0	0	0	44	126	6	8404	0	46210	12905	53	0	76	8129	17146	64840	35499	28879	115	8450	5795	63208	95	166175	203961	51704	168099	125760	542863	90024	846076	1123185	168	7725536	667530	21720632	0	0	0	0	0
FFQ	9	0	0	0	0	0	62	98	22	9847	2	53545	15090	77	13	61	8766	17502	66234	36893	30326	246	8745	5826	64324	177	168965	78463	201512	144930	127913	545221	66108	749461	755644	500645	2524072	938	4474848	2163296	20911821	0	0	0
FFQ	10	0	0	0	0	0	92	100	43	10139	2	54314	15514	140	10	84	9855	17689	68668	38105	31531	419	9150	6062	65962	368	172387	79074	243941	109709	130753	555757	67150	759030	769447	501822	2552400	904	4492232	2225232	20743608	0	0	0
