# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/EUR/TSI/NA20507/aligned/NA20507.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	0479351b	37ff1b35	271c77c9
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	54142186	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	54142186
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	27071093
SN	last fragments:	27071093
SN	reads mapped:	54052259
SN	reads mapped and paired:	54051912	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	89927
SN	reads properly paired:	53678112	# proper-pair bit set
SN	reads paired:	54142186	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	6053307	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	15160
SN	total length:	5457187014	# ignores clipping
SN	total first fragment length:	2728593507	# ignores clipping
SN	total last fragment length:	2728593507	# ignores clipping
SN	bases mapped:	5448112843	# ignores clipping
SN	bases mapped (cigar):	5443739010	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	11799997	# from NM fields
SN	error rate:	2.167627e-03	# mismatches / bases mapped (cigar)
SN	average length:	101
SN	average first fragment length:	101
SN	average last fragment length:	101
SN	maximum length:	101
SN	maximum first fragment length:	101
SN	maximum last fragment length:	101
SN	average quality:	36.0
SN	insert size average:	174.2
SN	insert size standard deviation:	53.4
SN	inward oriented pairs:	26976288
SN	outward oriented pairs:	7519
SN	pairs with other orientation:	6224
SN	pairs on different chromosomes:	35925
SN	percentage of properly paired reads (%):	99.1
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	20137	0	0	0	0	0	0	0	16990	0	0	0	0	0	51977	0	0	1987	0	0	9863	63312	0	64332	207647	283864	181153	0	1264107	8750296	0	2327911	13827517	0	0	0	0	0	0	0	0
FFQ	2	0	0	409	0	0	0	0	0	0	0	26877	0	0	0	0	0	77034	0	0	3413	0	0	19658	52563	0	56082	182262	343661	142419	0	1010593	7299650	0	970126	16886346	0	0	0	0	0	0	0	0
FFQ	3	0	0	24530	0	0	0	0	0	0	0	17685	0	0	0	0	0	60067	0	0	2004	0	0	25010	49783	0	67347	175937	362341	165020	0	982200	6787622	0	941358	17410189	0	0	0	0	0	0	0	0
FFQ	4	0	0	2229	0	0	0	0	0	0	0	22890	0	0	0	0	0	25113	0	0	54367	0	0	21234	0	0	49327	86938	6354	126137	2713	241795	5937	351723	598357	0	4941049	0	20534930	0	0	0	0	0
FFQ	5	0	0	433	0	0	0	0	0	0	0	27010	0	0	0	0	0	36403	0	0	41215	0	0	28178	0	0	69525	112842	8039	165716	2697	293829	7367	421798	677427	0	5141006	0	20037608	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	35	0	7588	0	37998	11276	0	0	12	6104	8354	41404	17357	15387	0	3559	2625	31299	26	81783	102639	16475	98101	65904	286063	47753	461757	629380	79	4785376	463917	19848842	0	0	0	0	0
FFQ	7	0	0	0	0	0	12	50	0	3917	2	21120	5591	13	0	49	6500	8001	43509	16807	14239	19	4011	2844	30574	59	82421	103138	20574	106321	64533	289107	53757	474746	637133	152	4817334	461502	19803058	0	0	0	0	0
FFQ	8	0	0	0	0	0	26	55	2	5665	0	28754	7854	27	0	49	5887	8667	41111	17711	14071	64	4344	3050	31455	58	85087	104804	27631	92331	64524	291960	51800	475331	650627	125	4847528	472391	19738104	0	0	0	0	0
FFQ	9	0	0	0	0	0	39	50	12	5085	0	26060	7166	45	5	31	6124	8501	40947	19678	15266	150	4489	2934	31934	123	87883	41305	106980	81094	66926	296909	38449	421355	433161	293875	1506636	612	2857206	1622818	19047245	0	0	0
FFQ	10	0	0	0	0	0	35	59	33	5254	5	26916	7519	69	5	34	5774	8408	38247	18931	14969	239	4407	3084	31655	217	87335	40846	127860	59008	66874	299130	38494	421387	435702	294677	1516734	555	2862498	1670613	18983520	0	0	0
FFQ	11	0	0	0	0	0	56	63	40	5259	20	27243	7248	97	9	42	5689	8504	37915	18996	14295	296	4523	3257	32188	358	86174	41287	151077	34004	67299	298832	37768	419858	436123	288026	1520962	650	2871909	1731679	18919347	0	0	0
FFQ	12	0	0	0	0	0	53	46	49	5178	44	26429	7065	109	11	47	6091	8548	39408	19727	15069	327	4590	3308	32993	583	87470	42105	169673	16370	70129	303482	36993	424629	445126	290092	1539616	837	2894754	1793678	18786464	0	0	0
FFQ	13	0	0	0	0	0	89	72	89	6456	110	31051	8531	157	28	64	7096	9302	43201	20647	15910	343	4997	3433	34894	916	89891	43337	178332	13793	71540	309908	37225	433736	453810	293134	1562979	1073	2924185	1861901	18608863	0	0	0
FFQ	14	0	0	0	0	0	94	82	92	5334	141	26834	7177	167	30	79	1042	12233	44510	21729	16014	386	5222	3636	11581	25443	91084	44301	181918	14075	72447	138975	204235	312897	460427	335492	291444	993183	843788	2455715	1746298	5264259	13438729	0
FFQ	15	0	0	0	0	0	91	99	111	5691	248	27491	7218	187	38	107	1183	12477	41974	21726	16395	453	5476	3781	12012	26559	91322	45226	180306	14197	73689	140643	206557	315184	466762	341529	298608	1001685	854244	2488890	1761606	5344752	13262576	0
FFQ	16	0	0	0	0	0	97	124	153	5649	337	27149	7151	204	64	133	1408	12870	40574	21704	16534	504	5702	3961	13132	28422	91839	45712	179273	14728	75172	144521	209878	313526	475729	338798	308313	1011126	863312	2532906	1776255	5452999	13051134	0
FFQ	17	0	0	0	0	0	104	116	175	5594	454	26527	7085	227	81	171	1599	13397	39318	22595	17436	520	5996	4172	14239	30150	94612	47383	181812	15160	77955	150919	214234	318197	489305	342747	318721	1024983	870935	2580069	1779810	5530277	12844018	0
FFQ	18	0	0	0	0	0	124	180	226	6976	810	31118	8155	298	131	191	2063	14381	40214	23427	18261	607	6590	4387	15759	33230	96019	48630	186774	15882	79870	157301	218688	324077	500106	351456	331613	1041941	889549	2646341	1794094	5634409	12547215	0
FFQ	19	0	0	0	0	0	142	207	268	6634	998	28534	7417	312	141	239	2477	13190	4483	61086	18753	697	7103	4694	17107	36630	95711	50369	188362	17042	83962	163660	223195	323300	311139	559625	345201	912558	911176	2262330	2135132	5869692	12407527	0
