# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/EUR/TSI/NA20761/aligned/NA20761.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	c2350d15	cd491b12	a01eca51
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	86845814	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	86845814
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	43422907
SN	last fragments:	43422907
SN	reads mapped:	86716767
SN	reads mapped and paired:	86713868	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	129047
SN	reads properly paired:	86003960	# proper-pair bit set
SN	reads paired:	86845814	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5119212	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	26229
SN	total length:	7813757298	# ignores clipping
SN	total first fragment length:	3906878649	# ignores clipping
SN	total last fragment length:	3906878649	# ignores clipping
SN	bases mapped:	7802152665	# ignores clipping
SN	bases mapped (cigar):	7771958224	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	30738956	# from NM fields
SN	error rate:	3.955111e-03	# mismatches / bases mapped (cigar)
SN	average length:	90
SN	average first fragment length:	90
SN	average last fragment length:	90
SN	maximum length:	90
SN	maximum first fragment length:	90
SN	maximum last fragment length:	90
SN	average quality:	35.7
SN	insert size average:	262.7
SN	insert size standard deviation:	92.2
SN	inward oriented pairs:	43221885
SN	outward oriented pairs:	8599
SN	pairs with other orientation:	9683
SN	pairs on different chromosomes:	116767
SN	percentage of properly paired reads (%):	99.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	0	0	0	0	0	0	242	0	569	1	910	2279	13627	0	1868	1295	1732	1322	13709	5180	17742	51488	45499	22553	0	93480	143705	122099	46854	350910	73206	519836	315601	1246145	1730970	2521112	6622958	29439127	16888	0
FFQ	2	0	0	0	0	0	11	171	128	542	598	1644	2498	2658	5240	13849	3337	6553	5426	12476	12885	19682	29592	31039	65760	46571	55515	64258	83608	166136	130853	121243	359595	162676	554990	433057	1163638	1956203	3135761	5734251	29030734	9729	0
FFQ	3	0	0	0	0	7	31	233	246	794	949	1902	2864	3066	4900	10841	4491	6911	7265	13786	15038	18428	32741	30314	57124	44490	57308	61793	89209	149544	127097	122832	339446	163097	537097	434456	1120716	1929554	3137741	5763808	29123013	9775	0
FFQ	4	0	0	21230	0	26	59	449	607	1343	1770	2622	4093	4391	5732	11951	6154	7751	9748	15630	17705	19110	37410	31723	56884	46063	57490	59461	98938	146267	122241	124832	336080	164276	542945	444466	1117701	1971101	3205673	5722290	28998474	8221	0
FFQ	5	0	0	171	0	94	254	1276	1599	3010	3781	5482	7536	7658	9664	15975	10075	11036	15494	22506	23852	27167	47323	38266	65426	56579	63393	66675	112945	167803	118078	138350	370107	164266	624280	462638	1121841	2076268	3339735	5824996	28391297	6011	0
FFQ	6	0	0	0	0	124	267	1113	1823	3591	4026	6344	8164	7408	8952	11529	10408	9511	15659	23681	23000	27935	44503	34930	55191	56992	62323	70170	115247	149109	101535	153983	355580	157746	659347	474715	1079309	2082288	3315182	5672915	28616303	2004	0
FFQ	7	0	0	0	0	128	246	829	1364	2714	3559	5792	8229	7837	9263	16116	8711	8022	14266	21769	23608	27345	47939	38371	68018	55869	64060	74894	112963	181374	117852	177239	384244	172038	721515	486701	1170487	2196465	3274919	5637741	28278042	2378	0
FFQ	8	0	0	0	0	151	176	618	961	1821	2670	4384	6665	6282	8443	15676	7199	6633	12772	18808	22707	24046	45560	37388	68168	54260	63379	74429	110692	184304	125747	184161	385898	181549	726611	498317	1203073	2237346	3289556	5612543	28197632	2282	0
FFQ	9	0	0	0	0	159	187	571	841	1538	2564	4272	6374	6238	8298	16267	6817	6378	12563	18198	23105	23572	45912	38219	70232	54627	64593	77370	112220	191893	129541	192245	393431	188379	747801	512373	1228206	2269636	3323780	5586981	28055047	2479	0
FFQ	10	0	0	0	0	131	125	559	805	1402	2268	3911	5886	5594	7958	15377	6534	5979	11792	17558	22272	22632	45333	37435	69338	54053	63651	76554	111599	190898	131949	193692	392168	190690	753693	514093	1231958	2279653	3340220	5597032	28015768	2347	0
FFQ	11	0	0	0	0	264	458	1800	2565	4868	5135	8041	9814	9501	11563	13713	14198	12471	19942	29819	29632	33286	53592	42381	62587	69272	77101	86544	132698	164716	123528	192867	391024	177911	738100	530423	1161521	2283811	3425038	5717114	27782712	2897	0
FFQ	12	0	0	0	0	1056	639	2202	5714	4097	5366	8843	12865	8995	12725	16498	10877	10781	17364	25648	28352	30671	53093	43294	69495	66190	75910	87778	129681	184598	142546	205352	407836	198166	770790	543077	1247492	2351322	3437377	5664298	27538830	3089	0
FFQ	13	0	0	0	0	214	258	918	1392	2576	3486	5831	8147	7706	9982	16764	9679	9032	16292	24059	27554	29026	53659	43946	74578	66743	77113	91604	130898	199453	151394	217007	423379	211666	810896	564116	1300653	2427631	3496636	5634981	27270419	3219	0
FFQ	14	0	0	0	0	258	274	876	1431	2446	3678	6210	8424	8265	10778	19720	9622	8639	16479	23806	29310	29756	56677	46147	80834	68106	79314	97635	133549	215230	160323	232761	439555	223960	852050	581241	1339088	2486384	3570929	5593536	26982294	3322	0
FFQ	15	0	0	0	0	299	256	920	1340	2310	3587	6162	8297	8257	11079	20103	9057	8369	16534	23577	29820	29699	57835	46863	83241	68847	80323	99305	135108	221447	162978	238403	446074	229186	873299	591375	1361320	2518853	3595125	5622126	26808286	3247	0
FFQ	16	0	0	0	0	369	612	2137	2983	5699	5798	9106	10489	10026	12569	14036	15758	13861	22252	32454	32966	36563	56288	45800	65152	74988	85066	98170	141762	174273	140187	221830	414501	206679	810363	586798	1245816	2467816	3680039	5757435	26919697	2569	0
FFQ	17	0	0	0	0	365	433	1513	2217	4240	5138	8366	10905	10107	12166	17608	12741	11503	20598	29935	32738	36434	60078	48711	77362	75114	86636	105178	142883	207907	161565	244552	445476	232811	883394	613648	1354197	2577482	3737606	5716806	26431542	2952	0
FFQ	18	0	0	0	0	411	396	1405	1978	3659	4942	8430	10861	10536	12646	21277	11868	10717	20252	28359	34149	36418	63381	51437	84938	77656	89623	111135	146711	228998	175623	266321	464144	252397	935810	641640	1413297	2660415	3844306	5639335	26054527	2909	0
FFQ	19	0	0	0	0	378	348	1174	1891	3145	4741	7787	10430	9929	12731	22031	11087	9808	19412	27665	33790	34864	63854	51071	87090	77804	89949	112891	148347	236373	180392	271312	474397	258637	955851	650580	1439338	2704836	3867367	5710723	25827963	2921	0
FFQ	20	0	0	1	0	439	352	1273	1954	3138	4800	8102	10743	10358	13647	23354	11105	9613	19846	27334	35121	35972	65906	52763	91201	79637	91836	116818	150506	243629	185844	281283	483722	267039	985555	664683	1466408	2744203	3927830	5726940	25577081	2871	0
FFQ	21	0	0	12	0	711	1244	4051	5245	9617	9194	14556	15857	14749	18690	19384	22205	19544	30159	42662	43890	50904	70121	59144	78672	93511	108742	129272	168796	210084	175832	280765	475125	257433	967199	686824	1403009	2778882	4088008	5860593	25205265	2956	0
FFQ	22	0	0	5	0	2463	1447	4481	13145	7764	10455	16687	23873	14435	22643	23344	17756	17216	27731	38110	42871	48420	73051	61392	88686	93545	107556	130505	171344	235387	200830	300310	497358	283557	1018781	711516	1504315	2867077	4158845	5851141	24731612	3253	0
FFQ	23	0	0	7	0	690	697	2209	3386	5569	7408	12037	14951	14263	17791	26319	16050	14451	26651	36458	43356	47519	77714	63047	99346	95520	110677	139199	174742	261458	214677	320958	523698	304079	1083420	740606	1579053	2971372	4244006	5865872	24259966	3685	0
FFQ	24	0	0	19	0	766	613	2021	3032	4834	6899	11203	14084	13642	17440	26934	15258	13261	25527	35321	43475	46451	78029	63688	101106	95858	110426	141026	177104	267224	221966	329003	532585	313722	1106266	755357	1607124	3014024	4310178	5882339	24031175	3927	0
FFQ	25	0	0	854	0	1059	729	2643	4912	6035	10810	18131	19920	20483	34894	44784	16931	14467	29534	38387	50548	56750	94232	71589	118419	106150	120922	157627	189717	297437	236184	362684	557567	334169	1179907	785237	1654963	3085360	4421106	5779711	23494407	3648	0
FFQ	26	0	0	65	0	1780	3614	11424	12418	17111	17213	24556	24678	22405	31443	26960	31072	29983	39823	52006	58497	72492	86187	75557	90723	115029	137630	161083	201991	241800	222304	344185	533273	319518	1123233	803611	1589297	3102000	4645199	6026387	23120899	5461	0
FFQ	27	0	0	73	0	1706	2373	7568	8652	12942	14657	21840	23861	22005	29532	31233	26716	25764	37507	50933	57675	71867	92412	80969	104191	117133	141762	171878	209072	274229	255994	377902	561334	358568	1205760	843834	1714360	3226454	4813535	5953255	22466356	7005	0
FFQ	28	0	0	104	0	1666	1966	5957	7319	10657	13027	19964	23414	21949	30066	35426	24337	22806	36464	47844	56818	69991	96772	81944	114491	118366	141550	173792	212986	293446	267911	386345	583797	369993	1241853	856756	1763235	3292580	4786725	6105559	22097720	7311	0
FFQ	29	0	0	101	0	1739	2083	5755	7190	10286	13089	20474	23429	22639	32411	39403	24081	22655	36574	47779	58860	71372	102054	84435	123022	123149	147148	183230	220069	311827	281183	410089	601389	387830	1301545	884567	1813978	3363097	4898155	6081180	21657696	7344	0
FFQ	30	0	0	136	0	2109	2197	6256	7854	11093	14405	22322	25286	24709	35911	43098	25320	23150	39080	50096	63348	77237	109338	88681	129510	129479	153911	194096	230433	326714	291966	437272	617322	406818	1367022	915984	1852454	3432399	5057715	6001197	21200206	6783	0
FFQ	31	0	0	194	0	2221	4380	12567	12277	17036	17175	24415	23892	22299	30919	27666	34181	33934	42757	56675	63408	74586	86061	80863	88802	124574	150762	167154	213436	231453	249064	383051	507102	373314	1111474	856048	1672179	3096803	5069080	5219458	23233281	8366	0
FFQ	32	0	0	179	0	2262	3278	8518	9636	13734	15518	22987	24570	22163	31499	29740	30986	30115	43294	57025	65640	78501	93421	88364	99250	133826	159309	180480	231981	262364	286935	429838	533425	422619	1209795	916753	1801004	3220760	5268917	5028040	22556199	8519	0
FFQ	33	0	0	3039	0	2508	2985	7940	9533	12594	15723	23345	25786	23549	34164	33254	30136	29321	43486	56764	68068	81868	99523	91700	107177	139527	165628	189260	244403	280946	305238	458993	550400	447799	1271198	953706	1864157	3290745	5392004	4927243	22128019	8405	0
FFQ	34	0	0	2219	0	1968	2331	6244	7708	10359	13735	21042	23530	22567	33123	32445	28701	29187	41689	55162	66275	75466	96070	93482	101784	138853	165884	180919	243069	260109	317126	455369	509196	488017	1146911	973414	1940777	3290736	5642090	4077457	22815337	8572	0
FFQ	35	0	0	722	0	1742	1970	5310	6457	8826	11204	17176	19562	19372	26930	28357	26534	28022	38381	52723	62297	69318	90173	90611	99021	133758	159770	175101	238593	252450	315723	444009	503886	485524	1127291	967914	1948046	3294534	5655196	4136140	22866324	8758	0
FFQ	36	0	0	695	0	2400	4084	10798	10610	15723	15389	22280	22575	20248	29369	25047	32121	32606	40922	53871	60976	72307	77299	80055	80746	123397	146809	163473	206576	216101	246701	415914	446075	422096	1080700	906338	1745874	3084918	5604240	3968682	23924649	4026	0
FFQ	37	0	0	958	0	2172	2732	7059	8177	11790	13694	20645	22036	20026	28754	25863	28486	28374	40468	52882	61915	73377	82324	85740	87362	130610	152160	169866	227872	238028	278902	453639	464872	465665	1153807	960724	1858786	3200517	5771626	3785921	23393589	4266	0
FFQ	38	0	0	2152	0	2382	2719	6796	9405	11196	15198	23036	24556	22008	35042	29266	28594	27753	41924	52673	65597	78504	90009	89247	93823	139456	158627	177253	242620	256237	292709	482054	483957	487728	1210905	993353	1905165	3257970	5812609	3723634	23034192	4449	0
FFQ	39	0	0	908	0	3034	3011	7784	12203	12999	19823	30361	31379	28581	48050	37082	31933	29844	47817	58269	76114	92212	103982	100208	104035	157601	173899	195752	267285	280583	314480	532164	503916	523421	1300782	1051357	1963501	3339832	5957532	3514900	22453289	4059	0
FFQ	40	0	0	1283	0	4817	2994	8088	25236	11969	23385	35778	39214	25457	57398	33147	34303	35579	49629	60085	80415	94028	102147	104011	100590	164588	174058	194185	273900	275440	321742	534456	500235	538373	1277651	1071121	1996913	3375769	6089742	3346521	22345523	3425	0
FFQ	41	0	0	769	0	7567	11697	24136	25676	28009	28080	35971	41143	28980	48052	34975	45393	46232	56244	69571	80476	100066	94395	105065	96719	157021	182680	197023	255773	250462	303333	513175	485649	529431	1220774	1070281	1949317	3355136	6119152	3399512	22411328	3118	0
FFQ	42	0	0	3970	0	6341	8471	17484	20274	23618	29059	39700	40816	32369	57361	38009	45403	44103	60614	73779	88702	112599	106867	118218	108255	179007	196689	213330	296241	282143	349062	579690	516776	594443	1331359	1165710	2077597	3502062	6331022	3095736	21621892	2914	0
FFQ	43	0	0	1161	0	3475	3448	8180	10667	12992	16355	23764	26498	23666	35212	30733	36626	36694	50933	65940	79682	93233	101994	113170	106977	171685	191210	208160	295871	278798	363155	569863	524425	609498	1324059	1174221	2138798	3548719	6406709	3128092	21593047	3328	0
