# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/SAS/BEB/HG03814/aligned/HG03814.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	ad342fb3	03e028cd	f6effeee
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	46285058	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	46285058
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	23142529
SN	last fragments:	23142529
SN	reads mapped:	46279403
SN	reads mapped and paired:	46278348	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	5655
SN	reads properly paired:	46022904	# proper-pair bit set
SN	reads paired:	46285058	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	3716384	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	43644
SN	total length:	4625958570	# ignores clipping
SN	total first fragment length:	2312979285	# ignores clipping
SN	total last fragment length:	2312979285	# ignores clipping
SN	bases mapped:	4625394794	# ignores clipping
SN	bases mapped (cigar):	4620872402	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	11387114	# from NM fields
SN	error rate:	2.464278e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	35.7
SN	insert size average:	218.8
SN	insert size standard deviation:	70.8
SN	inward oriented pairs:	23038238
SN	outward oriented pairs:	4605
SN	pairs with other orientation:	5112
SN	pairs on different chromosomes:	91219
SN	percentage of properly paired reads (%):	99.4
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	26210	0	0	0	0	0	0	0	57098	0	0	0	0	0	89450	0	0	755	0	0	20139	94969	0	74933	311740	463216	212023	0	1618493	9602689	0	1593849	8976965	0	0	0	0	0	0	0	0
FFQ	2	0	0	17883	0	0	0	0	0	0	0	28814	0	0	0	0	0	112969	0	0	4765	0	0	35905	75578	0	82025	259571	521065	193262	0	1315448	8322228	0	692478	11480538	0	0	0	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	34197	0	0	0	0	0	96916	0	0	1243	0	0	42288	72334	0	90344	249725	540003	226084	0	1280152	7771568	0	647842	12089833	0	0	0	0	0	0	0	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	31253	0	0	0	0	0	38948	0	0	45953	0	0	34559	0	0	69168	127749	10506	189378	4295	338110	9449	488731	772103	0	5745310	0	15237017	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	39809	0	0	0	0	0	54345	0	0	51759	0	0	41280	0	0	97528	161602	10516	223250	3944	398222	9127	537947	863752	0	5834409	0	14815039	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	27	0	4687	0	30681	10753	0	0	30	4615	9590	44587	23045	23783	0	4185	3353	42977	37	110151	148037	20893	125537	97432	382585	46749	599129	813107	68	5443335	463708	14689448	0	0	0	0	0
FFQ	7	0	0	0	0	0	6	56	0	4950	0	32238	11104	9	0	48	4856	10165	48001	23582	23637	12	4645	3400	43724	40	114063	149430	24332	125033	97395	387559	48665	602064	814980	100	5439446	468199	14660790	0	0	0	0	0
FFQ	8	0	0	0	0	0	24	62	1	5540	0	36503	12794	27	0	43	5038	10625	50469	24709	24421	46	5140	3658	44690	55	116481	151430	32643	121941	96987	389807	49111	606586	824756	95	5435454	473529	14619864	0	0	0	0	0
FFQ	9	0	0	0	0	0	28	50	15	5241	0	33557	11573	42	2	46	5381	9775	50076	25007	23834	106	4981	3615	43880	105	116747	51912	144801	109141	97829	390318	36915	536020	563769	350883	1809742	1020	3149285	1527945	14038888	0	0	0
FFQ	10	0	0	0	0	0	45	51	16	4831	5	32016	10843	74	3	38	5117	10081	47783	24722	24151	235	5029	3820	44656	183	117551	52312	170971	82363	98610	395036	36733	537949	568116	347732	1820245	1013	3153217	1561734	13985248	0	0	0
FFQ	11	0	0	0	0	0	74	56	37	5019	26	31991	10968	108	4	61	5008	10391	46999	24872	23985	272	5237	3853	45389	396	118847	52371	203531	50159	98893	398567	36645	538484	570528	347886	1824599	1020	3163753	1579105	13943395	0	0	0
FFQ	12	0	0	0	0	0	76	56	43	5242	68	32440	10921	152	7	56	5112	10356	46082	25015	24189	295	5353	3967	45229	589	119327	52442	231761	22015	99769	398904	36118	541244	574033	347568	1835175	1174	3164361	1595011	13908379	0	0	0
FFQ	13	0	0	0	0	0	75	74	84	5604	135	34715	11600	156	17	67	5411	10989	46779	26629	25518	352	5852	4312	48514	940	122427	54147	243061	16716	103460	409876	36114	550681	585728	348214	1852649	1209	3176292	1624920	13789212	0	0	0
FFQ	14	0	0	0	0	0	90	80	123	6348	186	38162	12797	180	19	88	1080	14761	50479	27987	26491	397	6292	4570	12732	39243	124371	55447	248140	16749	104645	180715	263289	398669	590409	405135	337564	1188979	954974	2624147	1656920	4595202	9155069	0
