# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/SAS/ITU/HG03723/aligned/HG03723.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	05bc82bd	50070ee2	b8ee4fe1
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	62165860	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	62165860
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	31082930
SN	last fragments:	31082930
SN	reads mapped:	62162948
SN	reads mapped and paired:	62161856	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	2912
SN	reads properly paired:	61953578	# proper-pair bit set
SN	reads paired:	62165860	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	5139025	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	44751
SN	total length:	6212665528	# ignores clipping
SN	total first fragment length:	3106332764	# ignores clipping
SN	total last fragment length:	3106332764	# ignores clipping
SN	bases mapped:	6212382514	# ignores clipping
SN	bases mapped (cigar):	6202837130	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	22445236	# from NM fields
SN	error rate:	3.618544e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	34.8
SN	insert size average:	226.9
SN	insert size standard deviation:	74.0
SN	inward oriented pairs:	31003080
SN	outward oriented pairs:	5281
SN	pairs with other orientation:	4590
SN	pairs on different chromosomes:	67977
SN	percentage of properly paired reads (%):	99.7
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	64197	0	0	0	0	0	0	0	40211	0	0	0	0	0	80325	0	0	533	0	0	27454	100279	0	77215	347133	575658	227534	0	1863497	12746906	0	2306932	12625056	0	0	0	0	0	0	0	0
FFQ	2	0	0	693	0	0	0	0	0	0	0	27636	0	0	0	0	0	136613	0	0	5483	0	0	41231	86171	0	83300	302619	614080	217803	0	1543068	10853185	0	955646	16215402	0	0	0	0	0	0	0	0
FFQ	3	0	0	81	0	0	0	0	0	0	0	28726	0	0	0	0	0	79921	0	0	192	0	0	48619	81645	0	102258	290059	638546	263989	0	1494290	10100374	0	869516	17084714	0	0	0	0	0	0	0	0
FFQ	4	0	0	8965	0	0	0	0	0	0	0	27923	0	0	0	0	0	44245	0	0	26942	0	0	39654	0	0	77549	145516	12350	200852	4132	396226	12058	565237	920224	0	7192746	0	21408311	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	45571	0	0	0	0	0	63170	0	0	47727	0	0	50341	0	0	108287	185135	14413	238777	4156	469094	13509	619111	1001052	0	7252060	0	20970527	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	34	0	4903	0	33809	12912	0	0	16	4018	10510	42484	26431	30445	0	4440	3767	51980	39	125355	175120	24687	133525	119899	452677	53232	715990	965709	102	6758321	603083	20729442	0	0	0	0	0
FFQ	7	0	0	0	0	0	15	88	0	5166	0	35053	13069	11	0	52	4283	10606	46062	26863	29719	26	5038	3775	52136	61	128404	175126	28697	134588	117643	456057	55501	720608	978478	112	6790141	620387	20645165	0	0	0	0	0
FFQ	8	0	0	0	0	0	35	88	3	5408	0	35644	12758	27	0	35	4503	10513	47650	27266	29237	66	5289	3956	51416	39	129942	175975	35974	130680	116859	459112	56002	724096	987360	113	6813489	626998	20592397	0	0	0	0	0
FFQ	9	0	0	0	0	0	52	83	21	5425	0	35996	13139	44	8	46	4681	10894	48243	27850	29589	162	5362	4061	51872	147	131298	57350	171272	117376	118182	461802	42373	633269	700281	408042	2249511	1247	4028613	2196985	19527654	0	0	0
FFQ	10	0	0	0	0	0	96	76	24	6082	1	40190	14501	79	6	48	5911	11042	51524	28381	30401	293	5496	4282	52939	268	133439	57443	197542	91572	119704	467297	41517	636866	705729	403826	2263011	1182	4036168	2243039	19432955	0	0	0
