# This file was produced by samtools stats (1.23+htslib-1.23) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats data/SAS/STU/HG03672/aligned/HG03672.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	4990740d	6aac8e86	0e613c02
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	55015578	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	55015578
SN	is sorted:	1	# sorted by coordinate
SN	1st fragments:	27507789
SN	last fragments:	27507789
SN	reads mapped:	55013631
SN	reads mapped and paired:	55012548	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	1947
SN	reads properly paired:	54788232	# proper-pair bit set
SN	reads paired:	55015578	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	4826411	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	48965
SN	total length:	5497468490	# ignores clipping
SN	total first fragment length:	2748734245	# ignores clipping
SN	total last fragment length:	2748734245	# ignores clipping
SN	bases mapped:	5497279339	# ignores clipping
SN	bases mapped (cigar):	5489230371	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	18649228	# from NM fields
SN	error rate:	3.397421e-03	# mismatches / bases mapped (cigar)
SN	average length:	100
SN	average first fragment length:	100
SN	average last fragment length:	100
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	35.5
SN	insert size average:	221.0
SN	insert size standard deviation:	69.4
SN	inward oriented pairs:	27417583
SN	outward oriented pairs:	5517
SN	pairs with other orientation:	4898
SN	pairs on different chromosomes:	78276
SN	percentage of properly paired reads (%):	99.6
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	61425	0	0	0	0	0	0	0	54413	0	0	0	0	0	81684	0	0	1371	0	0	18678	72307	0	63378	244873	400331	174405	0	1345378	9908769	0	2145325	12935452	0	0	0	0	0	0	0	0
FFQ	2	0	0	1602	0	0	0	0	0	0	0	19458	0	0	0	0	0	134231	0	0	7695	0	0	27307	62358	0	74635	216949	435057	172798	0	1128414	8325222	0	908551	15993512	0	0	0	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	21533	0	0	0	0	0	66450	0	0	906	0	0	31920	57578	0	83813	203848	446782	217209	0	1098618	7754985	0	858231	16665916	0	0	0	0	0	0	0	0
FFQ	4	0	0	1352	0	0	0	0	0	0	0	21051	0	0	0	0	0	29543	0	0	29072	0	0	26209	0	0	55213	100734	7975	145887	2953	279919	8312	411979	678616	0	5511762	0	20197212	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	30821	0	0	0	0	0	43030	0	0	34562	0	0	33646	0	0	76962	129901	9697	172942	2987	336367	9762	451503	741473	0	5585561	0	19848575	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	23	0	3915	0	24794	8860	0	0	15	3370	7505	33020	17850	19706	0	3300	2562	35011	35	87744	120194	17406	97423	81181	322787	41852	516105	707737	80	5180835	492605	19681874	0	0	0	0	0
FFQ	7	0	0	0	0	0	20	68	0	4270	0	25493	8889	12	0	27	3957	7730	36828	18595	19382	16	3614	2549	35044	57	90702	121773	20244	99597	80299	326325	44026	521470	716449	113	5208052	505739	19606449	0	0	0	0	0
FFQ	8	0	0	0	0	0	31	55	2	4366	0	27336	9416	23	0	43	4110	7975	37124	19196	19607	69	4029	2927	35650	59	92783	123963	26893	96543	80471	331716	44635	529805	727260	119	5232527	510325	19538731	0	0	0	0	0
FFQ	9	0	0	0	0	0	37	54	17	4895	0	29090	10215	23	9	34	4374	8090	39404	19952	19802	130	4038	3034	36008	106	94381	41239	121648	86805	81764	331719	33834	461120	508226	306508	1680148	881	3113726	1826955	18639523	0	0	0
FFQ	10	0	0	0	0	0	52	78	30	5132	4	30795	10720	55	2	43	5060	8373	41414	21120	20936	228	4387	3127	37073	178	96345	42131	143113	67864	84034	338059	33778	470298	514771	306794	1697796	855	3122982	1866067	18534095	0	0	0
