Sample	Variant classes	Consequences (most severe)	Consequences (all)	Coding consequences	SIFT summary	PolyPhen summary	Variants by chromosome	Position in protein	General statistics
ACB_CALU	{'sequence_alteration': 1, 'deletion': 1, 'insertion': 1, 'SNV': 75}	{'missense_variant': 1, '5_prime_UTR_variant': 4, '3_prime_UTR_variant': 9, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 63}	{'missense_variant': 11, '5_prime_UTR_variant': 48, '3_prime_UTR_variant': 102, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 1630, 'upstream_gene_variant': 37, 'downstream_gene_variant': 167, 'regulatory_region_variant': 14}	{'missense_variant': 11}	{'tolerated': 9}	{'benign': 9}	{'chr7': 78}	{'00-10%': 0, '10-20%': 0, '20-30%': 10, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 78, 'Variants processed': 78, 'Variants filtered out': 0, 'Novel variants': 24, 'Existing variants': 54, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 5}
ACB_CYP2C9	{'deletion': 1, 'insertion': 1, 'SNV': 93}	{'missense_variant': 3, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 1, '3_prime_UTR_variant': 3, 'non_coding_transcript_exon_variant': 4, 'intron_variant': 82, 'downstream_gene_variant': 1}	{'missense_variant': 35, 'splice_polypyrimidine_tract_variant': 32, 'synonymous_variant': 17, '3_prime_UTR_variant': 21, 'non_coding_transcript_exon_variant': 8, 'intron_variant': 1664, 'NMD_transcript_variant': 94, 'non_coding_transcript_variant': 26, 'upstream_gene_variant': 36, 'downstream_gene_variant': 62}	{'missense_variant': 35, 'synonymous_variant': 17}	{'tolerated_low_confidence': 2, 'deleterious_low_confidence': 3}	{'possibly_damaging': 1, 'benign': 2, 'probably_damaging': 2}	{'chr10': 95}	{'00-10%': 0, '10-20%': 0, '20-30%': 11, '30-40%': 5, '40-50%': 5, '50-60%': 11, '60-70%': 1, '70-80%': 0, '80-90%': 16, '90-100%': 3}	{'Lines of input read': 95, 'Variants processed': 95, 'Variants filtered out': 0, 'Novel variants': 23, 'Existing variants': 72, 'Overlapped genes': 3, 'Overlapped transcripts': 23, 'Overlapped regulatory features': 0}
ACB_CYP2D6	{'SNV': 1}	{'missense_variant': 1}	{'missense_variant': 33, 'non_coding_transcript_exon_variant': 1, 'intron_variant': 1, 'NMD_transcript_variant': 1, 'non_coding_transcript_variant': 1, 'upstream_gene_variant': 3}	{'missense_variant': 33}	{'tolerated': 1, 'deleterious': 2}	{'benign': 3}	{'chr22': 1}	{'00-10%': 32, '10-20%': 1, '20-30%': 0, '30-40%': 0, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 0, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 1, 'Variants processed': 1, 'Variants filtered out': 0, 'Novel variants': 0, 'Existing variants': 1, 'Overlapped genes': 3, 'Overlapped transcripts': 38, 'Overlapped regulatory features': 0}
ACB_CYP4F2	{'insertion': 4, 'deletion': 4, 'SNV': 117}	{'splice_acceptor_variant': 1, 'missense_variant': 7, 'splice_region_variant': 1, 'splice_polypyrimidine_tract_variant': 3, 'synonymous_variant': 4, '5_prime_UTR_variant': 6, '3_prime_UTR_variant': 5, 'non_coding_transcript_exon_variant': 2, 'intron_variant': 96}	{'splice_acceptor_variant': 1, 'missense_variant': 117, 'splice_region_variant': 21, 'splice_polypyrimidine_tract_variant': 42, 'synonymous_variant': 82, '5_prime_UTR_variant': 21, '3_prime_UTR_variant': 82, 'non_coding_transcript_exon_variant': 27, 'intron_variant': 2086, 'NMD_transcript_variant': 105, 'non_coding_transcript_variant': 176, 'upstream_gene_variant': 271, 'downstream_gene_variant': 95}	{'missense_variant': 117, 'synonymous_variant': 82}	{'tolerated': 2, 'tolerated_low_confidence': 15, 'deleterious_low_confidence': 20}	{'possibly_damaging': 4, 'probably_damaging': 9, 'benign': 24}	{'chr19': 125}	{'00-10%': 20, '10-20%': 44, '20-30%': 18, '30-40%': 16, '40-50%': 10, '50-60%': 6, '60-70%': 15, '70-80%': 4, '80-90%': 20, '90-100%': 46}	{'Lines of input read': 125, 'Variants processed': 125, 'Variants filtered out': 0, 'Novel variants': 13, 'Existing variants': 112, 'Overlapped genes': 4, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 0}
ACB_DRD2	{'deletion': 3, 'insertion': 3, 'SNV': 193}	{'missense_variant': 1, 'splice_donor_region_variant': 1, 'synonymous_variant': 5, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 6, 'non_coding_transcript_exon_variant': 6, 'intron_variant': 175}	{'missense_variant': 9, 'splice_donor_region_variant': 1, 'synonymous_variant': 42, '5_prime_UTR_variant': 5, '3_prime_UTR_variant': 43, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 1408, 'non_coding_transcript_variant': 218, 'upstream_gene_variant': 144, 'downstream_gene_variant': 172, 'regulatory_region_variant': 7}	{'missense_variant': 9, 'synonymous_variant': 42}	{'deleterious_low_confidence': 1, 'deleterious': 8}	{'possibly_damaging': 2, 'probably_damaging': 7}	{'chr11': 199}	{'00-10%': 15, '10-20%': 2, '20-30%': 8, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 17, '70-80%': 8, '80-90%': 0, '90-100%': 0}	{'Lines of input read': 199, 'Variants processed': 199, 'Variants filtered out': 0, 'Novel variants': 82, 'Existing variants': 117, 'Overlapped genes': 3, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 5}
ACB_GGCX	{'sequence_alteration': 1, 'insertion': 3, 'deletion': 5, 'SNV': 41}	{'frameshift_variant': 1, 'missense_variant': 1, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 4, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 17, 'non_coding_transcript_exon_variant': 10, 'intron_variant': 15}	{'frameshift_variant': 1, 'missense_variant': 23, 'splice_polypyrimidine_tract_variant': 27, 'synonymous_variant': 90, '5_prime_UTR_variant': 27, '3_prime_UTR_variant': 94, 'non_coding_transcript_exon_variant': 91, 'intron_variant': 1087, 'NMD_transcript_variant': 269, 'non_coding_transcript_variant': 207, 'upstream_gene_variant': 49, 'downstream_gene_variant': 700, 'regulatory_region_variant': 1}	{'frameshift_variant': 1, 'missense_variant': 23, 'synonymous_variant': 90}	{'tolerated': 9}	{'benign': 9}	{'chr2': 50}	{'00-10%': 9, '10-20%': 14, '20-30%': 6, '30-40%': 13, '40-50%': 15, '50-60%': 23, '60-70%': 4, '70-80%': 19, '80-90%': 5, '90-100%': 6}	{'Lines of input read': 50, 'Variants processed': 50, 'Variants filtered out': 0, 'Novel variants': 7, 'Existing variants': 43, 'Overlapped genes': 3, 'Overlapped transcripts': 52, 'Overlapped regulatory features': 1}
ACB_OPRM1	{'sequence_alteration': 2, 'insertion': 14, 'deletion': 16, 'SNV': 524}	{'stop_gained': 1, 'missense_variant': 8, 'synonymous_variant': 4, '5_prime_UTR_variant': 8, '3_prime_UTR_variant': 46, 'non_coding_transcript_exon_variant': 17, 'intron_variant': 472}	{'stop_gained': 3, 'missense_variant': 44, 'synonymous_variant': 22, '5_prime_UTR_variant': 51, '3_prime_UTR_variant': 82, 'non_coding_transcript_exon_variant': 36, 'intron_variant': 6564, 'NMD_transcript_variant': 790, 'non_coding_transcript_variant': 492, 'upstream_gene_variant': 286, 'downstream_gene_variant': 548, 'regulatory_region_variant': 18}	{'stop_gained': 3, 'missense_variant': 44, 'synonymous_variant': 22}	{'deleterious_low_confidence': 5, 'tolerated_low_confidence': 18, 'tolerated': 20}	{'unknown': 3, 'benign': 40}	{'chr6': 556}	{'00-10%': 18, '10-20%': 5, '20-30%': 3, '30-40%': 2, '40-50%': 9, '50-60%': 0, '60-70%': 0, '70-80%': 14, '80-90%': 4, '90-100%': 14}	{'Lines of input read': 556, 'Variants processed': 556, 'Variants filtered out': 0, 'Novel variants': 181, 'Existing variants': 375, 'Overlapped genes': 5, 'Overlapped transcripts': 49, 'Overlapped regulatory features': 9}
ACB_UGT2B7	{'sequence_alteration': 1, 'deletion': 4, 'insertion': 12, 'SNV': 267}	{'missense_variant': 1, 'splice_region_variant': 3, 'synonymous_variant': 7, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 11, 'intron_variant': 258}	{'missense_variant': 9, 'splice_region_variant': 9, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 54, '5_prime_UTR_variant': 2, '3_prime_UTR_variant': 21, 'non_coding_transcript_exon_variant': 22, 'intron_variant': 1255, 'non_coding_transcript_variant': 408, 'upstream_gene_variant': 286, 'downstream_gene_variant': 120, 'regulatory_region_variant': 17}	{'missense_variant': 9, 'synonymous_variant': 54}	{'tolerated_low_confidence': 4}	{'benign': 4}	{'chr4': 284}	{'00-10%': 0, '10-20%': 2, '20-30%': 9, '30-40%': 2, '40-50%': 9, '50-60%': 8, '60-70%': 13, '70-80%': 9, '80-90%': 2, '90-100%': 9}	{'Lines of input read': 284, 'Variants processed': 284, 'Variants filtered out': 0, 'Novel variants': 36, 'Existing variants': 248, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 5}
ACB_VKORC1	{'SNV': 12}	{'missense_variant': 2, 'synonymous_variant': 1, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 2, 'non_coding_transcript_exon_variant': 3, 'intron_variant': 3}	{'missense_variant': 6, 'synonymous_variant': 5, '5_prime_UTR_variant': 1, '3_prime_UTR_variant': 15, 'non_coding_transcript_exon_variant': 7, 'intron_variant': 59, 'non_coding_transcript_variant': 6, 'upstream_gene_variant': 63, 'downstream_gene_variant': 10, 'regulatory_region_variant': 3}	{'missense_variant': 6, 'synonymous_variant': 5}	{'tolerated': 1, 'tolerated_low_confidence': 2, 'deleterious_low_confidence': 3}	{'probably_damaging': 1, 'possibly_damaging': 2, 'unknown': 3}	{'chr16': 12}	{'00-10%': 0, '10-20%': 1, '20-30%': 0, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 2, '70-80%': 2, '80-90%': 0, '90-100%': 5}	{'Lines of input read': 12, 'Variants processed': 12, 'Variants filtered out': 0, 'Novel variants': 4, 'Existing variants': 8, 'Overlapped genes': 4, 'Overlapped transcripts': 15, 'Overlapped regulatory features': 1}
AFR_CALU	{'insertion': 1, 'deletion': 2, 'sequence_alteration': 2, 'SNV': 174}	{'missense_variant': 5, 'splice_polypyrimidine_tract_variant': 1, 'synonymous_variant': 1, '5_prime_UTR_variant': 11, '3_prime_UTR_variant': 24, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 132}	{'missense_variant': 62, 'splice_polypyrimidine_tract_variant': 25, 'synonymous_variant': 48, '5_prime_UTR_variant': 113, '3_prime_UTR_variant': 336, 'non_coding_transcript_exon_variant': 5, 'intron_variant': 3613, 'upstream_gene_variant': 78, 'downstream_gene_variant': 434, 'regulatory_region_variant': 24}	{'missense_variant': 62, 'synonymous_variant': 48}	{'deleterious_low_confidence': 2, 'tolerated_low_confidence': 2, 'tolerated': 48}	{'possibly_damaging': 1, 'benign': 51}	{'chr7': 179}	{'00-10%': 50, '10-20%': 22, '20-30%': 12, '30-40%': 1, '40-50%': 0, '50-60%': 0, '60-70%': 0, '70-80%': 1, '80-90%': 20, '90-100%': 4}	{'Lines of input read': 179, 'Variants processed': 179, 'Variants filtered out': 0, 'Novel variants': 85, 'Existing variants': 94, 'Overlapped genes': 3, 'Overlapped transcripts': 27, 'Overlapped regulatory features': 5}
