Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
HG00097	('chr1', 1.4030030579765551)	('chr10', 1.0077540928897935)	('chr11', 1.177151746384836)	('chr12', 1.0993481385289667)	('chr13', 0.5096924013368775)	('chr14', 0.8443945070171156)	('chr15', 1.0124901596345826)	('chr16', 1.2910016830454407)	('chr17', 1.917848876683851)	('chr18', 0.579804064215994)	('chr19', 2.228335816063852)	('chr2', 1.1359448948925666)	('chr20', 1.0179920387604402)	('chr21', 0.6882276696559152)	('chr22', 1.2687057975081197)	('chr3', 0.9256813077235831)	('chr4', 0.6914870674796942)	('chr5', 0.8345521223619458)	('chr6', 0.7644305373576438)	('chr7', 0.9954177600674614)	('chr8', 0.6385002611135818)	('chr9', 0.9420620243749624)	('chr16_KI270853v1_alt', 2.330853976828354)	('chr17_KI270857v1_alt', 1.1920508881860377)	('chr15_KI270905v1_alt', 0.8059597579807763)	('chrX', 1.3240116813109897)	('chrY', 0.05919929875215176)
HG00105	('chr1', 1.4392721193203892)	('chr10', 1.076174468507792)	('chr11', 1.1764618186401272)	('chr12', 1.1461775665429383)	('chr13', 0.5607877989517533)	('chr14', 0.9000244806745011)	('chr15', 1.0520129050386426)	('chr16', 1.2358708116284725)	('chr17', 1.8770846924152385)	('chr18', 0.630251350370528)	('chr19', 2.0454506407526254)	('chr2', 1.2069907819034948)	('chr20', 1.012038648209808)	('chr21', 0.7054264868527311)	('chr22', 1.1777299163864918)	('chr3', 0.96689950090926)	('chr4', 0.7516117703834961)	('chr5', 0.8838169008734388)	('chr6', 0.8189480636867353)	('chr7', 1.023894741664253)	('chr8', 0.6662059819320184)	('chr9', 0.9615981995411549)	('chr16_KI270853v1_alt', 2.22753414136334)	('chr17_KI270857v1_alt', 1.1687853273788054)	('chr15_KI270905v1_alt', 0.7982571676440294)	('chrX', 0.712724439561296)	('chrY', 0.22934578159671606)
HG00106	('chr1', 1.3901811775617756)	('chr10', 1.0174507218100506)	('chr11', 1.1649062025906163)	('chr12', 1.1119228158118784)	('chr13', 0.5360050581982622)	('chr14', 0.8543954904387301)	('chr15', 1.0509462347412393)	('chr16', 1.2528697498821941)	('chr17', 1.85667257746424)	('chr18', 0.6054623978124126)	('chr19', 2.1175640097052333)	('chr2', 1.1439686645325646)	('chr20', 1.0034967647165922)	('chr21', 0.686708345578481)	('chr22', 1.1928517295477876)	('chr3', 0.9314412759856441)	('chr4', 0.7115571692964554)	('chr5', 0.8458655292266776)	('chr6', 0.7795294020724373)	('chr7', 0.9990615057270376)	('chr8', 0.6550201833032694)	('chr9', 0.9388364483619933)	('chr16_KI270853v1_alt', 2.265595006261528)	('chr17_KI270857v1_alt', 1.034233063342731)	('chr15_KI270905v1_alt', 0.8846684302961104)	('chrX', 1.3124432501915888)	('chrY', 0.05785724228425824)
HG00125	('chr1', 1.3352387410957545)	('chr10', 1.1586247190555214)	('chr11', 1.266022373112366)	('chr12', 1.3268572695987502)	('chr13', 0.6529126835592247)	('chr14', 0.919031070436745)	('chr15', 1.0114060902275837)	('chr16', 1.1039720494996335)	('chr17', 1.7981715404948526)	('chr18', 0.6857703225372999)	('chr19', 2.1491500215847448)	('chr2', 0.9245953279796345)	('chr20', 1.209405868621514)	('chr21', 0.7632791364890629)	('chr22', 1.078726996143346)	('chr3', 0.9285175367086232)	('chr4', 0.712192522202325)	('chr5', 0.8108108621076776)	('chr6', 0.960801993911429)	('chr7', 1.0021459952839236)	('chr8', 0.7750783644843019)	('chr9', 1.0240567774403442)	('chr16_KI270853v1_alt', 1.1304326061281205)	('chr17_KI270857v1_alt', 1.2943708965397758)	('chr15_KI270905v1_alt', 0.6208939092144401)	('chrX', 0.9788032199215141)	('chrY', 0.03589232893630982)
HG00145	('chr1', 1.3205733276856584)	('chr10', 1.0850288939989183)	('chr11', 1.1926679173250883)	('chr12', 1.1912139359487002)	('chr13', 0.677857328128947)	('chr14', 0.9353414300684461)	('chr15', 1.0324234257911755)	('chr16', 1.1965208456366578)	('chr17', 1.6251684336577232)	('chr18', 0.782612347715962)	('chr19', 1.9626107923586855)	('chr2', 1.040169592622316)	('chr20', 1.1072635743932147)	('chr21', 0.834576851597055)	('chr22', 0.9991813850220631)	('chr3', 0.9956248518322569)	('chr4', 0.8492322182983045)	('chr5', 0.9251245386911104)	('chr6', 0.9559644786051689)	('chr7', 1.006571818283362)	('chr8', 0.8459215793179843)	('chr9', 0.964626158635808)	('chr16_KI270853v1_alt', 1.1798409564029992)	('chr17_KI270857v1_alt', 1.323488601554736)	('chr15_KI270905v1_alt', 0.6579142082227376)	('chrX', 0.5471266218284568)	('chrY', 0.30680049367923357)
HG00171	('chr1', 1.3283625374728443)	('chr10', 1.1770439876934935)	('chr11', 1.2457704723214658)	('chr12', 1.3338197818772448)	('chr13', 0.6793026001983449)	('chr14', 0.9220458380270963)	('chr15', 1.0207212092511404)	('chr16', 1.0537910389737701)	('chr17', 1.726337768080605)	('chr18', 0.7154642597418234)	('chr19', 1.9580877450989498)	('chr2', 0.9515631318491249)	('chr20', 1.1892871725393983)	('chr21', 0.7687451753745654)	('chr22', 1.0134582517091506)	('chr3', 0.9395808001086512)	('chr4', 0.736601461824376)	('chr5', 0.8297582982813794)	('chr6', 0.9804970578987182)	('chr7', 1.0039130119999886)	('chr8', 0.79878895469376)	('chr9', 1.0290760947122763)	('chr16_KI270853v1_alt', 1.06537515181815)	('chr17_KI270857v1_alt', 1.2365993463807237)	('chr15_KI270905v1_alt', 0.5885025919599353)	('chrX', 0.9765370054114981)	('chrY', 0.0317692499466849)
HG00173	('chr1', 1.4004653994092828)	('chr10', 0.9885999016908716)	('chr11', 1.2037453806157832)	('chr12', 1.087042980599681)	('chr13', 0.4812820925375532)	('chr14', 0.847777283227789)	('chr15', 1.0375723499039513)	('chr16', 1.3942098526405164)	('chr17', 1.9903704340396857)	('chr18', 0.558147471267382)	('chr19', 2.5097521329552777)	('chr2', 1.0839211529677655)	('chr20', 1.060335619251623)	('chr21', 0.7073437956733637)	('chr22', 1.363462013915888)	('chr3', 0.900071435603871)	('chr4', 0.6456542396787528)	('chr5', 0.8046349673893907)	('chr6', 0.7326732007940955)	('chr7', 1.002619131927419)	('chr8', 0.6268335349549006)	('chr9', 0.9448786129851582)	('chr16_KI270853v1_alt', 2.477308682110093)	('chr17_KI270857v1_alt', 1.1940459849094398)	('chr15_KI270905v1_alt', 0.8382825468873706)	('chrX', 1.2812738080795183)	('chrY', 0.06137134198315363)
HG00313	('chr1', 1.3409864327302683)	('chr10', 1.1531659295283712)	('chr11', 1.2731168712576963)	('chr12', 1.3340470740051704)	('chr13', 0.636195121867638)	('chr14', 0.9181075009312566)	('chr15', 1.0104189429756405)	('chr16', 1.1490402769972594)	('chr17', 1.8652974899541237)	('chr18', 0.6720003961060477)	('chr19', 2.270571364593285)	('chr2', 0.9187822311923666)	('chr20', 1.233362274977695)	('chr21', 0.7581974797017568)	('chr22', 1.1179381932751495)	('chr3', 0.9226858682265621)	('chr4', 0.6882292569379447)	('chr5', 0.8005841948250526)	('chr6', 0.9523940594619608)	('chr7', 0.9966897609030072)	('chr8', 0.7629703112464655)	('chr9', 1.0208072270322486)	('chr16_KI270853v1_alt', 1.1247833907913165)	('chr17_KI270857v1_alt', 1.2283533489153997)	('chr15_KI270905v1_alt', 0.6013419771809841)	('chrX', 0.9499291613676291)	('chrY', 0.034381693152942976)
HG00324	('chr1', 1.3468520382074576)	('chr10', 1.1703781859993996)	('chr11', 1.2604296375148558)	('chr12', 1.353132080610472)	('chr13', 0.6589956303994114)	('chr14', 0.9257914489211304)	('chr15', 1.0024085338858109)	('chr16', 1.0869457232294348)	('chr17', 1.7846204211018022)	('chr18', 0.6945521548837273)	('chr19', 2.0398532318001)	('chr2', 0.9370285877499257)	('chr20', 1.1899532108371498)	('chr21', 0.7543065617488103)	('chr22', 1.0318407246079468)	('chr3', 0.9338432313247914)	('chr4', 0.7192982633735765)	('chr5', 0.8138065716830419)	('chr6', 0.9717940256642081)	('chr7', 0.9976969885469807)	('chr8', 0.7855288681489648)	('chr9', 1.0272684756482653)	('chr16_KI270853v1_alt', 1.1377101742886586)	('chr17_KI270857v1_alt', 1.1846705667648425)	('chr15_KI270905v1_alt', 0.5662973891902675)	('chrX', 0.9835123952639794)	('chrY', 0.03357543186101001)
HG00376	('chr1', 1.3324325564714703)	('chr10', 1.161196658207026)	('chr11', 1.2767674563678106)	('chr12', 1.3167174937935058)	('chr13', 0.6526613406503458)	('chr14', 0.9127226605578225)	('chr15', 1.028366748578956)	('chr16', 1.1288584541111104)	('chr17', 1.7963833902062152)	('chr18', 0.7037056600969082)	('chr19', 2.1325471277720722)	('chr2', 0.929460368847477)	('chr20', 1.2393414312794722)	('chr21', 0.7700134677630323)	('chr22', 1.1014431064559467)	('chr3', 0.9341186140232994)	('chr4', 0.7114893206599835)	('chr5', 0.8201958923947886)	('chr6', 0.9605380777122683)	('chr7', 1.0029052965292446)	('chr8', 0.7875446078515396)	('chr9', 1.0190105143318984)	('chr16_KI270853v1_alt', 1.1155759637070986)	('chr17_KI270857v1_alt', 1.2467941787565946)	('chr15_KI270905v1_alt', 0.5912095615764812)	('chrX', 0.9134170651775912)	('chrY', 0.03467016986819916)
