Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
HG00097	('chr1', 5908387)	('chr10', 2280811)	('chr11', 2689873)	('chr12', 2478403)	('chr13', 986020)	('chr14', 1528951)	('chr15', 1746789)	('chr16', 1972813)	('chr17', 2700999)	('chr18', 788279)	('chr19', 2209509)	('chr2', 4653790)	('chr20', 1109724)	('chr21', 543787)	('chr22', 1090610)	('chr3', 3104999)	('chr4', 2224922)	('chr5', 2562764)	('chr6', 2208656)	('chr7', 2683079)	('chr8', 1567585)	('chr9', 2205393)	('chr16_KI270853v1_alt', 104866)	('chr17_KI270857v1_alt', 58014)	('chr15_KI270905v1_alt', 70367)	('chrX', 3494759)	('chrY', 57307)
HG00105	('chr1', 6035687)	('chr10', 2425442)	('chr11', 2677014)	('chr12', 2573132)	('chr13', 1080313)	('chr14', 1622841)	('chr15', 1807358)	('chr16', 1880640)	('chr17', 2632494)	('chr18', 853269)	('chr19', 2019657)	('chr2', 4924101)	('chr20', 1098604)	('chr21', 555037)	('chr22', 1008156)	('chr3', 3229645)	('chr4', 2408229)	('chr5', 2702657)	('chr6', 2356242)	('chr7', 2748254)	('chr8', 1628741)	('chr9', 2241680)	('chr16_KI270853v1_alt', 99797)	('chr17_KI270857v1_alt', 56643)	('chr15_KI270905v1_alt', 69402)	('chrX', 1873357)	('chrY', 221083)
HG00106	('chr1', 6646312)	('chr10', 2614250)	('chr11', 3021964)	('chr12', 2845839)	('chr13', 1177187)	('chr14', 1756330)	('chr15', 2058397)	('chr16', 2173522)	('chr17', 2968550)	('chr18', 934512)	('chr19', 2383695)	('chr2', 5320625)	('chr20', 1241897)	('chr21', 615982)	('chr22', 1164110)	('chr3', 3546945)	('chr4', 2599199)	('chr5', 2948869)	('chr6', 2556946)	('chr7', 3057168)	('chr8', 1825676)	('chr9', 2495143)	('chr16_KI270853v1_alt', 115718)	('chr17_KI270857v1_alt', 57142)	('chr15_KI270905v1_alt', 87687)	('chrX', 3932828)	('chrY', 63584)
HG00125	('chr1', 9636231)	('chr10', 4493818)	('chr11', 4957682)	('chr12', 5126239)	('chr13', 2164565)	('chr14', 2851782)	('chr15', 2990289)	('chr16', 2891047)	('chr17', 4339894)	('chr18', 1597774)	('chr19', 3651908)	('chr2', 6491412)	('chr20', 2259335)	('chr21', 1033518)	('chr22', 1589125)	('chr3', 5337379)	('chr4', 3927047)	('chr5', 4266902)	('chr6', 4757315)	('chr7', 4629105)	('chr8', 3261021)	('chr9', 4108360)	('chr16_KI270853v1_alt', 87157)	('chr17_KI270857v1_alt', 107953)	('chr15_KI270905v1_alt', 92899)	('chrX', 4427502)	('chrY', 59543)
HG00145	('chr1', 18134443)	('chr10', 8007693)	('chr11', 8886899)	('chr12', 8757050)	('chr13', 4276094)	('chr14', 5522678)	('chr15', 5808164)	('chr16', 5962258)	('chr17', 7463453)	('chr18', 3469579)	('chr19', 6345717)	('chr2', 13895848)	('chr20', 3935981)	('chr21', 2150277)	('chr22', 2800814)	('chr3', 10889980)	('chr4', 8910223)	('chr5', 9263748)	('chr6', 9006648)	('chr7', 8847167)	('chr8', 6772227)	('chr9', 7363714)	('chr16_KI270853v1_alt', 173091)	('chr17_KI270857v1_alt', 210034)	('chr15_KI270905v1_alt', 187308)	('chrX', 4709173)	('chrY', 968453)
HG00171	('chr1', 11851226)	('chr10', 5643698)	('chr11', 6030783)	('chr12', 6370451)	('chr13', 2784051)	('chr14', 3537016)	('chr15', 3730724)	('chr16', 3411536)	('chr17', 5150770)	('chr18', 2060739)	('chr19', 4113236)	('chr2', 8258924)	('chr20', 2746589)	('chr21', 1286813)	('chr22', 1845656)	('chr3', 6676832)	('chr4', 5021109)	('chr5', 5398127)	('chr6', 6001678)	('chr7', 5732717)	('chr8', 4154688)	('chr9', 5103761)	('chr16_KI270853v1_alt', 101545)	('chr17_KI270857v1_alt', 127498)	('chr15_KI270905v1_alt', 108853)	('chrX', 5460727)	('chrY', 65153)
HG00173	('chr1', 7321495)	('chr10', 2777617)	('chr11', 3414688)	('chr12', 3042289)	('chr13', 1155831)	('chr14', 1905667)	('chr15', 2222210)	('chr16', 2644870)	('chr17', 3479854)	('chr18', 942030)	('chr19', 3089321)	('chr2', 5512699)	('chr20', 1434931)	('chr21', 693816)	('chr22', 1455019)	('chr3', 3747952)	('chr4', 2578979)	('chr5', 3067405)	('chr6', 2627952)	('chr7', 3354912)	('chr8', 1910466)	('chr9', 2745994)	('chr16_KI270853v1_alt', 138362)	('chr17_KI270857v1_alt', 72140)	('chr15_KI270905v1_alt', 90858)	('chrX', 4198406)	('chrY', 73752)
HG00313	('chr1', 9329038)	('chr10', 4311503)	('chr11', 4805845)	('chr12', 4968325)	('chr13', 2033153)	('chr14', 2746274)	('chr15', 2879740)	('chr16', 2900658)	('chr17', 4339706)	('chr18', 1509282)	('chr19', 3719225)	('chr2', 6218194)	('chr20', 2221076)	('chr21', 989649)	('chr22', 1587554)	('chr3', 5112767)	('chr4', 3658188)	('chr5', 4061293)	('chr6', 4545785)	('chr7', 4438030)	('chr8', 3094424)	('chr9', 3947775)	('chr16_KI270853v1_alt', 83597)	('chr17_KI270857v1_alt', 98756)	('chr15_KI270905v1_alt', 86732)	('chrX', 4142083)	('chrY', 54982)
HG00324	('chr1', 8822470)	('chr10', 4120225)	('chr11', 4479999)	('chr12', 4745007)	('chr13', 1982988)	('chr14', 2607482)	('chr15', 2690013)	('chr16', 2583610)	('chr17', 3909452)	('chr18', 1468803)	('chr19', 3146111)	('chr2', 5971210)	('chr20', 2017718)	('chr21', 927053)	('chr22', 1379689)	('chr3', 4872299)	('chr4', 3599977)	('chr5', 3887195)	('chr6', 4367413)	('chr7', 4182989)	('chr8', 2999799)	('chr9', 3740679)	('chr16_KI270853v1_alt', 79618)	('chr17_KI270857v1_alt', 89680)	('chr15_KI270905v1_alt', 76906)	('chrX', 4037990)	('chrY', 50556)
HG00376	('chr1', 9037919)	('chr10', 4233050)	('chr11', 4699201)	('chr12', 4781258)	('chr13', 2033660)	('chr14', 2661950)	('chr15', 2857660)	('chr16', 2778507)	('chr17', 4074947)	('chr18', 1541000)	('chr19', 3405859)	('chr2', 6133287)	('chr20', 2176078)	('chr21', 979959)	('chr22', 1525048)	('chr3', 5046786)	('chr4', 3687330)	('chr5', 4056819)	('chr6', 4470103)	('chr7', 4354125)	('chr8', 3114283)	('chr9', 3842360)	('chr16_KI270853v1_alt', 80841)	('chr17_KI270857v1_alt', 97734)	('chr15_KI270905v1_alt', 83140)	('chrX', 3883358)	('chrY', 54058)
