Sample	chr2	chr4	chr6	chr7	chr10	chr11	chr16	chr19	chr22
ACB_CALU	nan	nan	nan	78.0	nan	nan	nan	nan	nan
ACB_CYP2C9	nan	nan	nan	nan	95.0	nan	nan	nan	nan
ACB_CYP2D6	nan	nan	nan	nan	nan	nan	nan	nan	1.0
ACB_CYP4F2	nan	nan	nan	nan	nan	nan	nan	125.0	nan
ACB_DRD2	nan	nan	nan	nan	nan	199.0	nan	nan	nan
ACB_GGCX	50.0	nan	nan	nan	nan	nan	nan	nan	nan
ACB_OPRM1	nan	nan	556.0	nan	nan	nan	nan	nan	nan
ACB_UGT2B7	nan	284.0	nan	nan	nan	nan	nan	nan	nan
ACB_VKORC1	nan	nan	nan	nan	nan	nan	12.0	nan	nan
AFR_CALU	nan	nan	nan	179.0	nan	nan	nan	nan	nan
AFR_CYP2C9	nan	nan	nan	nan	233.0	nan	nan	nan	nan
AFR_CYP2D6	nan	nan	nan	nan	nan	nan	nan	nan	2.0
AFR_CYP4F2	nan	nan	nan	nan	nan	nan	nan	260.0	nan
AFR_DRD2	nan	nan	nan	nan	nan	458.0	nan	nan	nan
AFR_GGCX	120.0	nan	nan	nan	nan	nan	nan	nan	nan
AFR_OPRM1	nan	nan	1320.0	nan	nan	nan	nan	nan	nan
AFR_UGT2B7	nan	521.0	nan	nan	nan	nan	nan	nan	nan
AFR_VKORC1	nan	nan	nan	nan	nan	nan	47.0	nan	nan
ASW_CALU	nan	nan	nan	40.0	nan	nan	nan	nan	nan
ASW_CYP2C9	nan	nan	nan	nan	35.0	nan	nan	nan	nan
ASW_CYP2D6	nan	nan	nan	nan	nan	nan	nan	nan	1.0
ASW_CYP4F2	nan	nan	nan	nan	nan	nan	nan	105.0	nan
ASW_DRD2	nan	nan	nan	nan	nan	96.0	nan	nan	nan
ASW_GGCX	31.0	nan	nan	nan	nan	nan	nan	nan	nan
ASW_OPRM1	nan	nan	224.0	nan	nan	nan	nan	nan	nan
ASW_UGT2B7	nan	147.0	nan	nan	nan	nan	nan	nan	nan
ASW_VKORC1	nan	nan	nan	nan	nan	nan	13.0	nan	nan
BEB_CALU	nan	nan	nan	12.0	nan	nan	nan	nan	nan
BEB_CYP2C9	nan	nan	nan	nan	13.0	nan	nan	nan	nan
BEB_CYP4F2	nan	nan	nan	nan	nan	nan	nan	31.0	nan
BEB_DRD2	nan	nan	nan	nan	nan	30.0	nan	nan	nan
BEB_GGCX	11.0	nan	nan	nan	nan	nan	nan	nan	nan
BEB_OPRM1	nan	nan	51.0	nan	nan	nan	nan	nan	nan
BEB_UGT2B7	nan	46.0	nan	nan	nan	nan	nan	nan	nan
BEB_VKORC1	nan	nan	nan	nan	nan	nan	2.0	nan	nan
CDX_CALU	nan	nan	nan	18.0	nan	nan	nan	nan	nan
CDX_CYP2C9	nan	nan	nan	nan	10.0	nan	nan	nan	nan
CDX_CYP4F2	nan	nan	nan	nan	nan	nan	nan	14.0	nan
CDX_DRD2	nan	nan	nan	nan	nan	75.0	nan	nan	nan
CDX_GGCX	23.0	nan	nan	nan	nan	nan	nan	nan	nan
CDX_OPRM1	nan	nan	148.0	nan	nan	nan	nan	nan	nan
CDX_UGT2B7	nan	113.0	nan	nan	nan	nan	nan	nan	nan
CDX_VKORC1	nan	nan	nan	nan	nan	nan	4.0	nan	nan
CEU_CALU	nan	nan	nan	33.0	nan	nan	nan	nan	nan
CEU_CYP2C9	nan	nan	nan	nan	43.0	nan	nan	nan	nan
CEU_CYP4F2	nan	nan	nan	nan	nan	nan	nan	62.0	nan
CEU_DRD2	nan	nan	nan	nan	nan	93.0	nan	nan	nan
CEU_GGCX	27.0	nan	nan	nan	nan	nan	nan	nan	nan
CEU_OPRM1	nan	nan	199.0	nan	nan	nan	nan	nan	nan
CEU_UGT2B7	nan	89.0	nan	nan	nan	nan	nan	nan	nan
CEU_VKORC1	nan	nan	nan	nan	nan	nan	8.0	nan	nan
CHB_CALU	nan	nan	nan	27.0	nan	nan	nan	nan	nan
CHB_CYP2C9	nan	nan	nan	nan	14.0	nan	nan	nan	nan
CHB_CYP4F2	nan	nan	nan	nan	nan	nan	nan	39.0	nan
CHB_DRD2	nan	nan	nan	nan	nan	96.0	nan	nan	nan
CHB_GGCX	23.0	nan	nan	nan	nan	nan	nan	nan	nan
CHB_OPRM1	nan	nan	189.0	nan	nan	nan	nan	nan	nan
CHB_UGT2B7	nan	123.0	nan	nan	nan	nan	nan	nan	nan
CHB_VKORC1	nan	nan	nan	nan	nan	nan	7.0	nan	nan
CHS_CALU	nan	nan	nan	14.0	nan	nan	nan	nan	nan
CHS_CYP2C9	nan	nan	nan	nan	10.0	nan	nan	nan	nan
CHS_CYP4F2	nan	nan	nan	nan	nan	nan	nan	50.0	nan
CHS_DRD2	nan	nan	nan	nan	nan	78.0	nan	nan	nan
CHS_GGCX	19.0	nan	nan	nan	nan	nan	nan	nan	nan
CHS_OPRM1	nan	nan	148.0	nan	nan	nan	nan	nan	nan
CHS_UGT2B7	nan	84.0	nan	nan	nan	nan	nan	nan	nan
CHS_VKORC1	nan	nan	nan	nan	nan	nan	7.0	nan	nan
EAS_CALU	nan	nan	nan	62.0	nan	nan	nan	nan	nan
EAS_CYP2C9	nan	nan	nan	nan	50.0	nan	nan	nan	nan
EAS_CYP4F2	nan	nan	nan	nan	nan	nan	nan	89.0	nan
EAS_DRD2	nan	nan	nan	nan	nan	194.0	nan	nan	nan
EAS_GGCX	43.0	nan	nan	nan	nan	nan	nan	nan	nan
EAS_OPRM1	nan	nan	463.0	nan	nan	nan	nan	nan	nan
EAS_UGT2B7	nan	230.0	nan	nan	nan	nan	nan	nan	nan
EAS_VKORC1	nan	nan	nan	nan	nan	nan	15.0	nan	nan
ESN_CALU	nan	nan	nan	21.0	nan	nan	nan	nan	nan
ESN_CYP2C9	nan	nan	nan	nan	52.0	nan	nan	nan	nan
ESN_CYP2D6	nan	nan	nan	nan	nan	nan	nan	nan	1.0
ESN_CYP4F2	nan	nan	nan	nan	nan	nan	nan	79.0	nan
ESN_DRD2	nan	nan	nan	nan	nan	61.0	nan	nan	nan
ESN_GGCX	29.0	nan	nan	nan	nan	nan	nan	nan	nan
ESN_OPRM1	nan	nan	198.0	nan	nan	nan	nan	nan	nan
ESN_UGT2B7	nan	127.0	nan	nan	nan	nan	nan	nan	nan
ESN_VKORC1	nan	nan	nan	nan	nan	nan	6.0	nan	nan
EUR_CALU	nan	nan	nan	128.0	nan	nan	nan	nan	nan
EUR_CYP2C9	nan	nan	nan	nan	168.0	nan	nan	nan	nan
EUR_CYP2D6	nan	nan	nan	nan	nan	nan	nan	nan	2.0
EUR_CYP4F2	nan	nan	nan	nan	nan	nan	nan	146.0	nan
EUR_DRD2	nan	nan	nan	nan	nan	322.0	nan	nan	nan
EUR_GGCX	83.0	nan	nan	nan	nan	nan	nan	nan	nan
EUR_OPRM1	nan	nan	902.0	nan	nan	nan	nan	nan	nan
EUR_UGT2B7	nan	347.0	nan	nan	nan	nan	nan	nan	nan
EUR_VKORC1	nan	nan	nan	nan	nan	nan	32.0	nan	nan
FIN_CALU	nan	nan	nan	38.0	nan	nan	nan	nan	nan
FIN_CYP2C9	nan	nan	nan	nan	70.0	nan	nan	nan	nan
FIN_CYP2D6	nan	nan	nan	nan	nan	nan	nan	nan	1.0
FIN_CYP4F2	nan	nan	nan	nan	nan	nan	nan	77.0	nan
FIN_DRD2	nan	nan	nan	nan	nan	146.0	nan	nan	nan
FIN_GGCX	30.0	nan	nan	nan	nan	nan	nan	nan	nan
FIN_OPRM1	nan	nan	348.0	nan	nan	nan	nan	nan	nan
FIN_UGT2B7	nan	152.0	nan	nan	nan	nan	nan	nan	nan
FIN_VKORC1	nan	nan	nan	nan	nan	nan	16.0	nan	nan
GBR_CALU	nan	nan	nan	60.0	nan	nan	nan	nan	nan
GBR_CYP2C9	nan	nan	nan	nan	43.0	nan	nan	nan	nan
GBR_CYP4F2	nan	nan	nan	nan	nan	nan	nan	63.0	nan
GBR_DRD2	nan	nan	nan	nan	nan	121.0	nan	nan	nan
GBR_GGCX	34.0	nan	nan	nan	nan	nan	nan	nan	nan
GBR_OPRM1	nan	nan	309.0	nan	nan	nan	nan	nan	nan
GBR_UGT2B7	nan	93.0	nan	nan	nan	nan	nan	nan	nan
GBR_VKORC1	nan	nan	nan	nan	nan	nan	10.0	nan	nan
GIH_CALU	nan	nan	nan	11.0	nan	nan	nan	nan	nan
GIH_CYP2C9	nan	nan	nan	nan	45.0	nan	nan	nan	nan
GIH_CYP4F2	nan	nan	nan	nan	nan	nan	nan	52.0	nan
GIH_DRD2	nan	nan	nan	nan	nan	108.0	nan	nan	nan
GIH_GGCX	13.0	nan	nan	nan	nan	nan	nan	nan	nan
GIH_OPRM1	nan	nan	149.0	nan	nan	nan	nan	nan	nan
GIH_UGT2B7	nan	52.0	nan	nan	nan	nan	nan	nan	nan
GIH_VKORC1	nan	nan	nan	nan	nan	nan	6.0	nan	nan
GWD_CALU	nan	nan	nan	8.0	nan	nan	nan	nan	nan
GWD_CYP2C9	nan	nan	nan	nan	16.0	nan	nan	nan	nan
GWD_CYP4F2	nan	nan	nan	nan	nan	nan	nan	32.0	nan
GWD_DRD2	nan	nan	nan	nan	nan	33.0	nan	nan	nan
GWD_GGCX	23.0	nan	nan	nan	nan	nan	nan	nan	nan
GWD_OPRM1	nan	nan	67.0	nan	nan	nan	nan	nan	nan
GWD_UGT2B7	nan	88.0	nan	nan	nan	nan	nan	nan	nan
GWD_VKORC1	nan	nan	nan	nan	nan	nan	5.0	nan	nan
IBS_CALU	nan	nan	nan	28.0	nan	nan	nan	nan	nan
IBS_CYP2C9	nan	nan	nan	nan	53.0	nan	nan	nan	nan
IBS_CYP4F2	nan	nan	nan	nan	nan	nan	nan	55.0	nan
IBS_DRD2	nan	nan	nan	nan	nan	94.0	nan	nan	nan
IBS_GGCX	26.0	nan	nan	nan	nan	nan	nan	nan	nan
IBS_OPRM1	nan	nan	186.0	nan	nan	nan	nan	nan	nan
IBS_UGT2B7	nan	157.0	nan	nan	nan	nan	nan	nan	nan
IBS_VKORC1	nan	nan	nan	nan	nan	nan	9.0	nan	nan
ITU_CALU	nan	nan	nan	9.0	nan	nan	nan	nan	nan
ITU_CYP2C9	nan	nan	nan	nan	17.0	nan	nan	nan	nan
ITU_CYP4F2	nan	nan	nan	nan	nan	nan	nan	22.0	nan
ITU_DRD2	nan	nan	nan	nan	nan	24.0	nan	nan	nan
ITU_GGCX	11.0	nan	nan	nan	nan	nan	nan	nan	nan
ITU_OPRM1	nan	nan	63.0	nan	nan	nan	nan	nan	nan
ITU_UGT2B7	nan	42.0	nan	nan	nan	nan	nan	nan	nan
ITU_VKORC1	nan	nan	nan	nan	nan	nan	4.0	nan	nan
JPT_CALU	nan	nan	nan	5.0	nan	nan	nan	nan	nan
JPT_CYP2C9	nan	nan	nan	nan	15.0	nan	nan	nan	nan
JPT_CYP4F2	nan	nan	nan	nan	nan	nan	nan	11.0	nan
JPT_DRD2	nan	nan	nan	nan	nan	18.0	nan	nan	nan
JPT_GGCX	1.0	nan	nan	nan	nan	nan	nan	nan	nan
JPT_OPRM1	nan	nan	43.0	nan	nan	nan	nan	nan	nan
JPT_UGT2B7	nan	12.0	nan	nan	nan	nan	nan	nan	nan
JPT_VKORC1	nan	nan	nan	nan	nan	nan	3.0	nan	nan
KHV_CALU	nan	nan	nan	6.0	nan	nan	nan	nan	nan
KHV_CYP2C9	nan	nan	nan	nan	5.0	nan	nan	nan	nan
KHV_CYP4F2	nan	nan	nan	nan	nan	nan	nan	16.0	nan
KHV_DRD2	nan	nan	nan	nan	nan	24.0	nan	nan	nan
KHV_GGCX	2.0	nan	nan	nan	nan	nan	nan	nan	nan
KHV_OPRM1	nan	nan	48.0	nan	nan	nan	nan	nan	nan
KHV_UGT2B7	nan	50.0	nan	nan	nan	nan	nan	nan	nan
KHV_VKORC1	nan	nan	nan	nan	nan	nan	2.0	nan	nan
LWK_CALU	nan	nan	nan	29.0	nan	nan	nan	nan	nan
LWK_CYP2C9	nan	nan	nan	nan	52.0	nan	nan	nan	nan
LWK_CYP4F2	nan	nan	nan	nan	nan	nan	nan	79.0	nan
LWK_DRD2	nan	nan	nan	nan	nan	87.0	nan	nan	nan
LWK_GGCX	27.0	nan	nan	nan	nan	nan	nan	nan	nan
LWK_OPRM1	nan	nan	276.0	nan	nan	nan	nan	nan	nan
LWK_UGT2B7	nan	147.0	nan	nan	nan	nan	nan	nan	nan
LWK_VKORC1	nan	nan	nan	nan	nan	nan	16.0	nan	nan
MSL_CALU	nan	nan	nan	17.0	nan	nan	nan	nan	nan
MSL_CYP2C9	nan	nan	nan	nan	20.0	nan	nan	nan	nan
MSL_CYP4F2	nan	nan	nan	nan	nan	nan	nan	57.0	nan
MSL_DRD2	nan	nan	nan	nan	nan	27.0	nan	nan	nan
MSL_GGCX	20.0	nan	nan	nan	nan	nan	nan	nan	nan
MSL_OPRM1	nan	nan	80.0	nan	nan	nan	nan	nan	nan
MSL_UGT2B7	nan	74.0	nan	nan	nan	nan	nan	nan	nan
MSL_VKORC1	nan	nan	nan	nan	nan	nan	6.0	nan	nan
PJL_CALU	nan	nan	nan	40.0	nan	nan	nan	nan	nan
PJL_CYP2C9	nan	nan	nan	nan	70.0	nan	nan	nan	nan
PJL_CYP4F2	nan	nan	nan	nan	nan	nan	nan	25.0	nan
PJL_DRD2	nan	nan	nan	nan	nan	101.0	nan	nan	nan
PJL_GGCX	24.0	nan	nan	nan	nan	nan	nan	nan	nan
PJL_OPRM1	nan	nan	282.0	nan	nan	nan	nan	nan	nan
PJL_UGT2B7	nan	177.0	nan	nan	nan	nan	nan	nan	nan
PJL_VKORC1	nan	nan	nan	nan	nan	nan	9.0	nan	nan
SAS_CALU	nan	nan	nan	62.0	nan	nan	nan	nan	nan
SAS_CYP2C9	nan	nan	nan	nan	114.0	nan	nan	nan	nan
SAS_CYP4F2	nan	nan	nan	nan	nan	nan	nan	86.0	nan
SAS_DRD2	nan	nan	nan	nan	nan	186.0	nan	nan	nan
SAS_GGCX	37.0	nan	nan	nan	nan	nan	nan	nan	nan
SAS_OPRM1	nan	nan	442.0	nan	nan	nan	nan	nan	nan
SAS_UGT2B7	nan	224.0	nan	nan	nan	nan	nan	nan	nan
SAS_VKORC1	nan	nan	nan	nan	nan	nan	14.0	nan	nan
STU_CALU	nan	nan	nan	2.0	nan	nan	nan	nan	nan
STU_CYP2C9	nan	nan	nan	nan	5.0	nan	nan	nan	nan
STU_CYP4F2	nan	nan	nan	nan	nan	nan	nan	14.0	nan
STU_DRD2	nan	nan	nan	nan	nan	17.0	nan	nan	nan
STU_GGCX	5.0	nan	nan	nan	nan	nan	nan	nan	nan
STU_OPRM1	nan	nan	33.0	nan	nan	nan	nan	nan	nan
STU_UGT2B7	nan	31.0	nan	nan	nan	nan	nan	nan	nan
STU_VKORC1	nan	nan	nan	nan	nan	nan	1.0	nan	nan
TSI_CALU	nan	nan	nan	38.0	nan	nan	nan	nan	nan
TSI_CYP2C9	nan	nan	nan	nan	51.0	nan	nan	nan	nan
TSI_CYP2D6	nan	nan	nan	nan	nan	nan	nan	nan	2.0
TSI_CYP4F2	nan	nan	nan	nan	nan	nan	nan	51.0	nan
TSI_DRD2	nan	nan	nan	nan	nan	115.0	nan	nan	nan
TSI_GGCX	29.0	nan	nan	nan	nan	nan	nan	nan	nan
TSI_OPRM1	nan	nan	231.0	nan	nan	nan	nan	nan	nan
TSI_UGT2B7	nan	137.0	nan	nan	nan	nan	nan	nan	nan
TSI_VKORC1	nan	nan	nan	nan	nan	nan	10.0	nan	nan
YRI_CALU	nan	nan	nan	59.0	nan	nan	nan	nan	nan
YRI_CYP2C9	nan	nan	nan	nan	104.0	nan	nan	nan	nan
YRI_CYP4F2	nan	nan	nan	nan	nan	nan	nan	130.0	nan
YRI_DRD2	nan	nan	nan	nan	nan	173.0	nan	nan	nan
YRI_GGCX	47.0	nan	nan	nan	nan	nan	nan	nan	nan
YRI_OPRM1	nan	nan	580.0	nan	nan	nan	nan	nan	nan
