Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
HG00097	('chr1', 0.10883623645293591)	('chr10', 0.04201398542452572)	('chr11', 0.049549166947995806)	('chr12', 0.04565375540459109)	('chr13', 0.018163113869711627)	('chr14', 0.02816424729134243)	('chr15', 0.03217696143420996)	('chr16', 0.03634046688976634)	('chr17', 0.04975411492563765)	('chr18', 0.014520599215129928)	('chr19', 0.04070055735497522)	('chr2', 0.08572576387469348)	('chr20', 0.020441820019829075)	('chr21', 0.010016901484623919)	('chr22', 0.020089728015097258)	('chr3', 0.05719605119809003)	('chr4', 0.040984474592023014)	('chr5', 0.0472077385379583)	('chr6', 0.040684844553885116)	('chr7', 0.049424017158305106)	('chr8', 0.028875910078347194)	('chr9', 0.04062473802404103)	('chr16_KI270853v1_alt', 0.00193169824046285)	('chr17_KI270857v1_alt', 0.0010686546804704268)	('chr15_KI270905v1_alt', 0.0012962047764446948)	('chrX', 0.0643756776375728)	('chrY', 0.0010556312919936352)
HG00105	('chr1', 0.11164976427377801)	('chr10', 0.04486647958380226)	('chr11', 0.04952012621887178)	('chr12', 0.04759848899475983)	('chr13', 0.01998392093425288)	('chr14', 0.03001975004731395)	('chr15', 0.0334329952262811)	('chr16', 0.03478858540607521)	('chr17', 0.048696583264197596)	('chr18', 0.015783999851569887)	('chr19', 0.03736015932633446)	('chr2', 0.09108734695988618)	('chr20', 0.02032227278025345)	('chr21', 0.010267223965262766)	('chr22', 0.018649141307558684)	('chr3', 0.059742843347904855)	('chr4', 0.044548068872238764)	('chr5', 0.04999447734166402)	('chr6', 0.04358639933978937)	('chr7', 0.05083794293250586)	('chr8', 0.030128889836904642)	('chr9', 0.041467200598248835)	('chr16_KI270853v1_alt', 0.0018460717935224647)	('chr17_KI270857v1_alt', 0.001047797474878934)	('chr15_KI270905v1_alt', 0.0012838168944361663)	('chrX', 0.034653862509873685)	('chrY', 0.004089652898657545)
HG00106	('chr1', 0.10784159485136537)	('chr10', 0.042418244786007926)	('chr11', 0.0490337223626293)	('chr12', 0.04617595689913666)	('chr13', 0.019100777020142033)	('chr14', 0.028497823798416103)	('chr15', 0.03339909641877569)	('chr16', 0.035267089315778336)	('chr17', 0.04816703856153919)	('chr18', 0.015163185912388577)	('chr19', 0.03867731012917019)	('chr2', 0.08633128953411243)	('chr20', 0.020150747229610362)	('chr21', 0.009994788279535137)	('chr22', 0.01888859249797827)	('chr3', 0.05755194845653892)	('chr4', 0.04217403057456135)	('chr5', 0.047847698989718045)	('chr6', 0.04148844270157935)	('chr7', 0.049604934713952484)	('chr8', 0.02962301672293767)	('chr9', 0.040485640833927194)	('chr16_KI270853v1_alt', 0.0018776147844113092)	('chr17_KI270857v1_alt', 0.0009271735081044525)	('chr15_KI270905v1_alt', 0.0014227899514394863)	('chrX', 0.06381320103481533)	('chrY', 0.0010316999814377079)
HG00125	('chr1', 0.10357950292468032)	('chr10', 0.048303889214982604)	('chr11', 0.053289946787144785)	('chr12', 0.05510175996124526)	('chr13', 0.023266831891863182)	('chr14', 0.03065370288544875)	('chr15', 0.03214250968258642)	('chr16', 0.031075760968358714)	('chr17', 0.04664936563536123)	('chr18', 0.01717441567205873)	('chr19', 0.039254228688235415)	('chr2', 0.06977595579011181)	('chr20', 0.024285511237778817)	('chr21', 0.011109248076733502)	('chr22', 0.017081447879900617)	('chr3', 0.057371296281775244)	('chr4', 0.042211687974463986)	('chr5', 0.04586477723378822)	('chr6', 0.05113620905892828)	('chr7', 0.0497580843471013)	('chr8', 0.03505259828318187)	('chr9', 0.0441606149370682)	('chr16_KI270853v1_alt', 0.0009368474807636266)	('chr17_KI270857v1_alt', 0.0011603829421718943)	('chr15_KI270905v1_alt', 0.0009985680337260363)	('chrX', 0.04759106089902037)	('chrY', 0.0006400255808151797)
HG00145	('chr1', 0.1024418515186433)	('chr10', 0.04523562688486651)	('chr11', 0.050202280148289063)	('chr12', 0.04946876040479078)	('chr13', 0.024155745319983716)	('chr14', 0.03119772466467693)	('chr15', 0.03281044110833342)	('chr16', 0.03368092136890243)	('chr17', 0.042161203630151356)	('chr18', 0.019599725050844015)	('chr19', 0.035847089358814636)	('chr2', 0.0784979388416637)	('chr20', 0.022234439799568212)	('chr21', 0.012146960188297692)	('chr22', 0.015821857441077038)	('chr3', 0.06151772702370815)	('chr4', 0.050334037916907645)	('chr5', 0.05233110810859362)	('chr6', 0.05087874477846855)	('chr7', 0.049977833241122475)	('chr8', 0.03825645335699294)	('chr9', 0.04159777591259654)	('chr16_KI270853v1_alt', 0.0009777947147984356)	('chr17_KI270857v1_alt', 0.0011864865020594637)	('chr15_KI270905v1_alt', 0.0010581068480710457)	('chrX', 0.02660221773790372)	('chrY', 0.005470811451379271)
HG00171	('chr1', 0.10304608988673519)	('chr10', 0.04907180163483404)	('chr11', 0.052437495252001316)	('chr12', 0.05539089933522845)	('chr13', 0.024207248228601413)	('chr14', 0.030754258560829115)	('chr15', 0.03243854438744146)	('chr16', 0.029663213350908425)	('chr17', 0.044785805992215405)	('chr18', 0.017918069930241885)	('chr19', 0.03576447589315697)	('chr2', 0.07181112104956185)	('chr20', 0.02388151715070813)	('chr21', 0.011188804269315206)	('chr22', 0.016047929056115556)	('chr3', 0.05805487385276679)	('chr4', 0.04365840710025234)	('chr5', 0.04693656842439864)	('chr6', 0.05218442806332789)	('chr7', 0.04984581943481754)	('chr8', 0.036124899913252864)	('chr9', 0.04437706400725237)	('chr16_KI270853v1_alt', 0.0008829310315699426)	('chr17_KI270857v1_alt', 0.001108591665400606)	('chr15_KI270905v1_alt', 0.0009464738941305133)	('chrX', 0.047480873733141346)	('chrY', 0.00056650357476859)
HG00173	('chr1', 0.10863938071103696)	('chr10', 0.0412154335600104)	('chr11', 0.05066855739728148)	('chr12', 0.045142746516114524)	('chr13', 0.017150699965870164)	('chr14', 0.028277077662616674)	('chr15', 0.032974074039506064)	('chr16', 0.039245678493422496)	('chr17', 0.05163551754454859)	('chr18', 0.01397823201562224)	('chr19', 0.045840626847058065)	('chr2', 0.08179971514101324)	('chr20', 0.021292101572570762)	('chr21', 0.010295129692420581)	('chr22', 0.021590175651665718)	('chr3', 0.05561366691019968)	('chr4', 0.038267960495331814)	('chr5', 0.04551542814547279)	('chr6', 0.03899464218965266)	('chr7', 0.049781576306482)	('chr8', 0.02834828721586123)	('chr9', 0.04074619836470874)	('chr16_KI270853v1_alt', 0.002053072766414577)	('chr17_KI270857v1_alt', 0.0010704432529823767)	('chr15_KI270905v1_alt', 0.0013481887036245188)	('chrX', 0.0622976902686544)	('chrY', 0.0010943627778480212)
HG00313	('chr1', 0.10402537303325635)	('chr10', 0.04807630839417782)	('chr11', 0.053588571390212995)	('chr12', 0.055400338328073416)	('chr13', 0.02267109419628093)	('chr14', 0.030622897805918793)	('chr15', 0.03211113811936339)	('chr16', 0.03234438861669331)	('chr17', 0.048390791794894694)	('chr18', 0.01682956196152049)	('chr19', 0.04147198971851255)	('chr2', 0.06933726183162256)	('chr20', 0.024766568582442573)	('chr21', 0.011035286424708433)	('chr22', 0.01770235013089648)	('chr3', 0.057010968805907204)	('chr4', 0.04079138399112341)	('chr5', 0.045286289896380824)	('chr6', 0.0506887184245558)	('chr7', 0.049487173948994816)	('chr8', 0.03450501658617547)	('chr9', 0.04402048389409107)	('chr16_KI270853v1_alt', 0.0009321656862648787)	('chr17_KI270857v1_alt', 0.0011011992596956152)	('chr15_KI270905v1_alt', 0.0009671231539543938)	('chrX', 0.0461871555469824)	('chrY', 0.0006130881941004529)
HG00324	('chr1', 0.10448039016313752)	('chr10', 0.04879389961767094)	('chr11', 0.053054535005555806)	('chr12', 0.056192900932144706)	('chr13', 0.02348360038955301)	('chr14', 0.030879191054586544)	('chr15', 0.031856567127336456)	('chr16', 0.030596486112096016)	('chr17', 0.04629781345632893)	('chr18', 0.017394347672793093)	('chr19', 0.037257922642586344)	('chr2', 0.07071425015285157)	('chr20', 0.023894891552953483)	('chr21', 0.010978655539991309)	('chr22', 0.016339012206761715)	('chr3', 0.057700360614597136)	('chr4', 0.04263284562467442)	('chr5', 0.046034234204275826)	('chr6', 0.051721231610145336)	('chr7', 0.04953718434498643)	('chr8', 0.035525217986685106)	('chr9', 0.044299113671687755)	('chr16_KI270853v1_alt', 0.0009428787747658744)	('chr17_KI270857v1_alt', 0.001062038339584059)	('chr15_KI270905v1_alt', 0.000910761825870335)	('chrX', 0.04782002893462349)	('chrY', 0.0005987110871544568)
HG00376	('chr1', 0.10336181660421025)	('chr10', 0.04841111518884515)	('chr11', 0.05374223335574499)	('chr12', 0.05468067511264629)	('chr13', 0.023257875176278767)	('chr14', 0.030443289844661967)	('chr15', 0.032681519809724724)	('chr16', 0.03177628953827916)	('chr17', 0.04660297624772657)	('chr18', 0.01762358783997599)	('chr19', 0.03895097680536846)	('chr2', 0.07014310330453137)	('chr20', 0.024886633211965787)	('chr21', 0.011207263800178478)	('chr22', 0.017441153399208115)	('chr3', 0.05771737597700265)	('chr4', 0.04217000918233529)	('chr5', 0.04639565606579076)	('chr6', 0.05112216279963673)	('chr7', 0.04979578481747921)	('chr8', 0.035616378980560644)	('chr9', 0.043943003875931315)	('chr16_KI270853v1_alt', 0.0009245350191898113)	('chr17_KI270857v1_alt', 0.001117731170637387)	('chr15_KI270905v1_alt', 0.0009508274451756029)	('chrX', 0.04441187594229298)	('chrY', 0.0006182322592170164)
HG00407	('chr1', 0.10406170333036378)	('chr10', 0.04856316817153096)	('chr11', 0.05351362877211301)	('chr12', 0.055323849119947505)	('chr13', 0.02327274845924243)	('chr14', 0.030031901578860848)	('chr15', 0.03170387267881079)	('chr16', 0.03083394750339165)	('chr17', 0.04657080238538498)	('chr18', 0.017196483456798164)	('chr19', 0.03892984811019389)	('chr2', 0.06957992976301398)	('chr20', 0.024256220843826778)	('chr21', 0.011130053049810762)	('chr22', 0.016870336944538582)	('chr3', 0.057271073342612604)	('chr4', 0.042377413051519874)	('chr5', 0.04571647647038372)	('chr6', 0.05122619944446604)	('chr7', 0.050078838533762986)	('chr8', 0.034929196305047476)	('chr9', 0.044744725999183346)	('chr16_KI270853v1_alt', 0.0008769480523315515)	('chr17_KI270857v1_alt', 0.0011298871712555369)	('chr15_KI270905v1_alt', 0.0009574222616313607)	('chrX', 0.04845898051861648)	('chrY', 0.0006293499147522886)
HG00699	('chr1', 0.10377146202647135)	('chr10', 0.04838937095589617)	('chr11', 0.053399866651810894)	('chr12', 0.055180840577280114)	('chr13', 0.023382123369790307)	('chr14', 0.030218004411980845)	('chr15', 0.0321214195453084)	('chr16', 0.03107531272550801)	('chr17', 0.04637736570139749)	('chr18', 0.017365754963023745)	('chr19', 0.03845213566617746)	('chr2', 0.07006684128696343)	('chr20', 0.024288010422413072)	('chr21', 0.011199023316505595)	('chr22', 0.01674095702674372)	('chr3', 0.05762540747403638)	('chr4', 0.04264514742118299)	('chr5', 0.04616391306030656)	('chr6', 0.05124362421538116)	('chr7', 0.04939851156382356)	('chr8', 0.03509852374898229)	('chr9', 0.044345333334545885)	('chr16_KI270853v1_alt', 0.0008702299982937979)	('chr17_KI270857v1_alt', 0.0011921628312964324)	('chr15_KI270905v1_alt', 0.0009769013542095526)	('chrX', 0.04754075704743241)	('chrY', 0.0006767545017106042)
