You are an expert in bioinformatics, sequencing technologies, genomics data analysis, and adjacent fields.

You are given findings from a MultiQC report, generated by a bioinformatics workflow.
MultiQC supports various bioinformatics tools that output QC metrics, and aggregates those metrics
into a single report. It outputs a "General Statistics" table with key metrics for each sample across
all tools. That table is followed by more detailed sections from specific tools, that can include tables,
as well as plots of different types (bar plot, line plot, scatter plot, heatmap, etc.)

You are given data from such a report. Your task is to analyse the data, and
give 1-2 bullet points of a very short and concise overall summary for the results.
Don't waste words: mention only the important QC issues. If there are no issues, just say so.
Just print one or two bullet points, nothing else.
Please do not add any extra headers to the response.

Use markdown to format your reponse for readability. Use directives with pre-defined classes
.text-green, .text-red, and .text-yellow to highlight severity, e.g. :span[39.2%]{.text-red}.
Highlight any mentioned sample names or sample named prefixes or suffixes with a sample directive,
and make sure to use the same color classes for severity, e.g. :sample[A1001.2003]{.text-yellow}
or :sample[A1001]{.text-yellow}. Do not put multiple sample names inside one directive.

You must use only multiples of 4 spaces to indent nested lists.



Two examples of short summaries:

- :span[11/13 samples]{.text-green} show consistent metrics within expected ranges.
- :sample[A1001.2003]{.text-red} and :sample[A1001.2004]{.text-red} exhibit extremely high percentage of :span[duplicates]{.text-red} (:span[65.54%]{.text-red} and :span[83.14%]{.text-red}, respectively).

- All samples show good quality metrics with :span[75.7-77.0%]{.text-green} CpG methylation and :span[76.3-86.0%]{.text-green} alignment rates
- :sample[2wk]{.text-yellow} samples show slightly higher duplication (:span[11-15%]{.text-yellow}) compared to :sample[1wk]{.text-green} samples (:span[6-9%]{.text-green})'



----------------------

Tools used in the report:

1. Samtools
Description: <p>Toolkit for interacting with BAM/CRAM files.</p>
Links: http://www.htslib.org

----------------------

----------------------

Tool: Samtools
Section: Percent mapped
Section description: Alignment metrics from <code>samtools stats</code>; mapped vs. unmapped reads vs. reads mapped with MQ0.
Section help text: For a set of samples that have come from the same multiplexed library,
similar numbers of reads for each sample are expected. Large differences in numbers might
indicate issues during the library preparation process. Whilst large differences in read
numbers may be controlled for in downstream processings (e.g. read count normalisation),
you may wish to consider whether the read depths achieved have fallen below recommended
levels depending on the applications.
Low alignment rates could indicate contamination of samples (e.g. adapter sequences),
low sequencing quality or other artefacts. These can be further investigated in the
sequence level QC (e.g. from FastQC).
Reads mapped with MQ0 often indicate that the reads are ambiguously mapped to multiple
locations in the reference sequence. This can be due to repetitive regions in the genome,
the presence of alternative contigs in the reference, or due to reads that are too short
to be uniquely mapped. These reads are often filtered out in downstream analyses.
Title: Samtools: stats: Alignment Scores

Plot type: bar plot
Values: # Reads

|Sample|Mapped (with MQ>0)|MQ0|Unmapped|
|---|---|---|---|
|NA21092|54,444,305|5,201,627|43,012|
|NA20900|49,982,144|4,602,186|4,918|
|NA20864|99,425,372|6,611,610|23,278|
|NA20761|81,597,555|5,119,212|129,047|
|NA20511|53,300,655|5,023,098|9,085|
|NA20507|47,998,952|6,053,307|89,927|
|NA20506|43,824,346|5,226,688|84,770|
|NA20503|67,080,264|7,709,695|69,087|
|NA20355|41,757,579|4,150,717|7,204|
|NA20351|71,060,518|8,093,849|123,215|
|NA20342|46,359,017|4,354,007|12,746|
|NA20339|64,895,333|7,330,778|106,317|
|NA20274|45,175,045|4,274,111|8,296|
|NA19922|59,113,534|6,389,766|16,662|
|NA19372|64,283,298|7,722,811|29,391|
|NA19347|117,120,968|12,184,876|188,428|
|NA19324|45,812,722|4,578,464|10,232|
|NA19307|66,978,082|7,830,530|112,626|
|NA19201|47,809,985|4,864,849|24,942|
|NA19184|56,362,838|6,629,414|60,340|
|NA19175|48,507,868|5,954,503|27,513|
|NA19036|52,702,314|6,619,947|36,421|
|NA19020|41,296,165|5,041,173|86,660|
|NA19001|222,383|25,813|448|
|NA18993|57,454,489|6,556,208|125,427|
|NA18946|137,428|16,229|213|
|NA18870|124,518,958|12,842,041|33,751|
|NA18858|115,680,674|7,360,550|40,254|
|NA18645|41,319,842|5,124,497|40,641|
|NA18530|106,640,216|6,692,170|18,642|
|NA18526|91,703,419|5,781,367|59,420|
|NA18499|534,114|55,511|67|
|NA18498|71,703,112|7,431,343|239,635|
|NA18488|164,829,819|16,170,086|350,003|
|NA12347|105,957,929|6,766,369|21,212|
|NA12234|57,846,892|6,869,001|49,491|
|NA12046|43,966,885|5,564,803|348,058|
|NA11840|44,612,074|4,113,094|40,014|
|NA06989|431,695|40,828|3,099|
|HG03814|42,563,019|3,716,384|5,655|
|HG03790|66,338,349|6,364,712|3,165|
|HG03723|57,023,923|5,139,025|2,912|
|HG03672|50,187,220|4,826,411|1,947|
|HG03619|136,661,274|12,563,958|46,580|
|HG03603|75,868,013|7,229,954|11,171|
|HG03572|2,822,460|324,748|918|
|HG03558|23,830,784|4,060,039|13,263|
|HG03446|60,921,651|5,896,574|13,023|
|HG03437|3,147,384|358,613|1,157|
|HG03436|3,484,504|403,270|382|
|HG03303|58,567,057|5,203,072|20,715|
|HG03267|58,004,235|5,379,377|7,024|
|HG03157|62,882,606|5,958,295|6,449|
|HG03139|59,119,333|5,556,373|4,370|
|HG03105|56,582,157|5,263,583|5,182|
|HG03078|6,262,467|759,320|31,555|
|HG03076|7,883,020|908,888|1,246|
|HG02982|325,537|31,620|23|
